,Position,Su13.BD.MLB.DD.MAG1-A,Su13.BD.MLB.DD.MAG1-C,Su13.BD.MLB.DD.MAG1-G,Su13.BD.MLB.DD.MAG1-T,Sp13.BD.MM15.DD.A.MAG1-A,Sp13.BD.MM15.DD.A.MAG1-C,Sp13.BD.MM15.DD.A.MAG1-G,Sp13.BD.MM15.DD.A.MAG1-T,Fa13.BD.MLB.SN.MAG1-A,Fa13.BD.MLB.SN.MAG1-C,Fa13.BD.MLB.SN.MAG1-G,Fa13.BD.MLB.SN.MAG1-T,Sp13.BD.MM110.DD.MAG1-A,Sp13.BD.MM110.DD.MAG1-C,Sp13.BD.MM110.DD.MAG1-G,Sp13.BD.MM110.DD.MAG1-T,Su13.BD.MM110.SN.C.MAG1-A,Su13.BD.MM110.SN.C.MAG1-C,Su13.BD.MM110.SN.C.MAG1-G,Su13.BD.MM110.SN.C.MAG1-T,Fa13.BD.MM15.DN.MAG1-A,Fa13.BD.MM15.DN.MAG1-C,Fa13.BD.MM15.DN.MAG1-G,Fa13.BD.MM15.DN.MAG1-T,Su13.BD.MM15.DN.MAG1-A,Su13.BD.MM15.DN.MAG1-C,Su13.BD.MM15.DN.MAG1-G,Su13.BD.MM15.DN.MAG1-T,Sp13.BD.MM110.SD.MAG1-A,Sp13.BD.MM110.SD.MAG1-C,Sp13.BD.MM110.SD.MAG1-G,Sp13.BD.MM110.SD.MAG1-T,Su13.BD.MM110.SD.MAG1-A,Su13.BD.MM110.SD.MAG1-C,Su13.BD.MM110.SD.MAG1-G,Su13.BD.MM110.SD.MAG1-T,Fa13.BD.MM15.SD.MAG1-A,Fa13.BD.MM15.SD.MAG1-C,Fa13.BD.MM15.SD.MAG1-G,Fa13.BD.MM15.SD.MAG1-T,Fa13.BD.MM110.SN.MAG1-A,Fa13.BD.MM110.SN.MAG1-C,Fa13.BD.MM110.SN.MAG1-G,Fa13.BD.MM110.SN.MAG1-T,Su13.BD.MM15.SN.C.MAG1-A,Su13.BD.MM15.SN.C.MAG1-C,Su13.BD.MM15.SN.C.MAG1-G,Su13.BD.MM15.SN.C.MAG1-T,Fa13.BD.MM110.SD.MAG1-A,Fa13.BD.MM110.SD.MAG1-C,Fa13.BD.MM110.SD.MAG1-G,Fa13.BD.MM110.SD.MAG1-T,Fa13.BD.MM110.DN.MAG1-A,Fa13.BD.MM110.DN.MAG1-C,Fa13.BD.MM110.DN.MAG1-G,Fa13.BD.MM110.DN.MAG1-T,Sp13.BD.MM15.SD.MAG1-A,Sp13.BD.MM15.SD.MAG1-C,Sp13.BD.MM15.SD.MAG1-G,Sp13.BD.MM15.SD.MAG1-T,Sp13.BD.MLB.SN.MAG1-A,Sp13.BD.MLB.SN.MAG1-C,Sp13.BD.MLB.SN.MAG1-G,Sp13.BD.MLB.SN.MAG1-T,Sp13.BD.MM15.SN.MAG1-A,Sp13.BD.MM15.SN.MAG1-C,Sp13.BD.MM15.SN.MAG1-G,Sp13.BD.MM15.SN.MAG1-T,Fa13.BD.MLB.DN.MAG1-A,Fa13.BD.MLB.DN.MAG1-C,Fa13.BD.MLB.DN.MAG1-G,Fa13.BD.MLB.DN.MAG1-T,Su13.BD.MLB.SD.C.MAG1-A,Su13.BD.MLB.SD.C.MAG1-C,Su13.BD.MLB.SD.C.MAG1-G,Su13.BD.MLB.SD.C.MAG1-T,Su13.BD.MM15.SD.MAG1-A,Su13.BD.MM15.SD.MAG1-C,Su13.BD.MM15.SD.MAG1-G,Su13.BD.MM15.SD.MAG1-T,Sp13.BD.MM110.SN.MAG1-A,Sp13.BD.MM110.SN.MAG1-C,Sp13.BD.MM110.SN.MAG1-G,Sp13.BD.MM110.SN.MAG1-T,Fa13.BD.MM15.SN.MAG1-A,Fa13.BD.MM15.SN.MAG1-C,Fa13.BD.MM15.SN.MAG1-G,Fa13.BD.MM15.SN.MAG1-T
contig_19657_2,7,0,7,0,0,1,2,0,0,3,51,0,0,1,3,0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,1,19,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
contig_19657_2,9,0,7,0,0,0,3,0,0,0,52,0,1,0,3,0,1,0,0,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,3,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
contig_19657_2,16,0,7,0,0,0,3,0,0,0,56,0,0,0,4,0,1,0,2,0,0,0,2,0,2,0,10,0,0,0,4,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,2,0,1,0,19,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0
contig_19657_2,18,0,0,0,7,0,0,0,3,0,0,0,56,1,0,0,3,0,0,0,2,2,0,0,2,0,0,0,10,0,0,0,4,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,21,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1
contig_19657_2,22,0,0,0,7,0,1,0,0,0,0,0,55,0,0,0,4,0,0,0,2,0,0,0,4,0,1,0,11,0,2,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,3,0,1,0,17,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1
contig_19657_2,28,0,0,7,0,1,0,0,0,6,0,53,0,0,0,9,0,0,0,4,0,0,0,4,0,1,0,11,0,2,0,3,0,0,0,8,0,0,0,4,0,0,0,2,0,0,0,5,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,2,0,2,0,16,0,1,0,1,0,0,0,6,0,0,0,4,0,0,0,1,0
contig_19657_2,31,0,0,7,0,1,0,0,0,2,0,55,0,0,0,9,0,0,0,2,0,0,0,4,0,1,0,11,0,2,0,3,0,0,0,6,0,0,0,4,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,2,0,1,0,17,0,1,0,1,0,0,0,4,0,0,0,4,0,0,0,1,0
contig_19657_2,32,0,7,0,0,0,1,0,0,0,50,0,5,0,9,0,0,0,2,0,0,0,4,0,0,0,10,0,0,0,5,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,1,0,1,0,13,0,6,0,2,0,0,0,4,0,0,0,4,0,0,0,1,0,0
contig_19657_2,40,0,6,0,0,0,1,0,0,4,51,0,0,4,3,0,0,0,2,0,0,0,4,0,0,0,5,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,4,0,0,0,2,0,0,0,26,0,0,0,2,0,0,0,4,0,0,3,2,0,0,0,1,0,0
contig_19657_2,42,1,4,0,0,0,1,0,0,1,53,0,0,2,4,1,0,0,2,0,0,0,2,2,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,2,0,0,2,3,1,0,0,0,0,0,0,1,2,0,0,1,1,0,2,3,0,0,0,2,0,0,1,25,0,0,0,2,0,0,0,4,0,0,0,5,0,0,0,1,0,0
contig_19657_2,43,0,0,6,0,1,0,0,0,1,0,53,0,1,0,6,0,0,0,2,0,0,0,2,0,1,0,2,0,2,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,5,0,0,0,2,0,0,0,24,0,1,0,1,0,0,0,4,0,0,0,5,0,0,0,1,0
contig_19657_2,49,0,0,1,5,1,0,0,0,1,0,4,50,1,0,4,2,0,0,0,0,0,0,0,2,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,2,0,1,0,1,0,1,0,0,0,2,3,0,0,0,2,0,0,0,24,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1
contig_19657_2,52,0,0,6,0,0,0,2,0,4,0,50,0,4,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,4,0,0,0,2,0,0,0,24,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0
contig_19657_2,55,0,6,0,0,0,2,0,0,0,54,0,0,0,6,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,5,0,0,0,2,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0
contig_19657_2,58,0,5,0,1,0,2,0,0,0,45,0,5,0,7,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,0,0,2,0,0,0,23,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0
contig_19657_2,61,0,0,4,0,0,1,1,0,0,5,47,0,0,4,3,0,0,0,2,0,0,0,2,0,0,1,3,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2,0,0,1,2,0,0,1,4,0,0,0,2,0,0,0,25,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0
contig_19657_2,67,2,0,2,0,1,0,1,0,41,0,7,1,0,0,6,0,2,0,0,0,1,0,0,0,3,0,1,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,3,0,1,0,0,0,22,0,3,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
contig_19657_2,78,5,0,0,0,1,0,1,0,45,0,5,0,4,0,3,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,4,0,1,0,4,0,1,0,1,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0
contig_19657_2,85,0,5,0,0,0,2,0,0,0,46,0,2,0,4,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,1,0,4,0,1,0,5,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,1,0,0
contig_19657_2,87,5,0,0,0,1,0,1,0,46,0,3,0,4,0,2,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,1,0,4,0,1,0,5,0,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0
contig_19657_2,91,0,5,0,0,0,6,0,1,0,44,0,3,0,7,0,2,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,1,0,4,0,1,0,7,0,0,0,2,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,2,0,0
