,Position,value
contig_21315_3,0,0.226306872934
contig_21315_3,1,1.0
contig_21315_3,2,1.0
contig_21315_3,3,0.128141781361
contig_21315_3,4,1.0
contig_21315_3,5,1.0
contig_21315_3,6,1.0
contig_21315_3,7,1.0
contig_21315_3,8,1.0
contig_21315_3,9,1.0
contig_21315_3,10,1.0
contig_21315_3,11,1.0
contig_21315_3,12,1.0
contig_21315_3,13,0.542875853587
contig_21315_3,14,1.0
contig_21315_3,15,1.0
contig_21315_3,16,0.0
contig_21315_3,17,1.0
contig_21315_3,18,1.0
contig_21315_3,19,1.0
contig_21315_3,20,1.0
contig_21315_3,21,1.0
contig_21315_3,22,0.000839404348225
contig_21315_3,23,1.0
contig_21315_3,24,1.0
contig_21315_3,25,0.0
contig_21315_3,26,1.0
contig_21315_3,27,1.0
contig_21315_3,28,0.270507601822
contig_21315_3,29,1.0
contig_21315_3,30,1.0
contig_21315_3,31,0.0
contig_21315_3,32,1.0
contig_21315_3,33,1.0
contig_21315_3,34,0.0
contig_21315_3,35,1.0
contig_21315_3,36,1.0
contig_21315_3,37,0.0
contig_21315_3,38,1.0
contig_21315_3,39,1.0
contig_21315_3,40,0.0
contig_21315_3,41,3.61824126216e-10
contig_21315_3,42,2.61407299373e-06
contig_21315_3,43,0.000170924138227
contig_21315_3,44,1.0
contig_21315_3,45,1.0
contig_21315_3,46,0.0
contig_21315_3,47,5.15459541717e-09
contig_21315_3,48,7.20246084995e-12
contig_21315_3,49,2.99760216649e-15
contig_21315_3,50,1.0
contig_21315_3,51,0.604879585309
contig_21315_3,52,5.82001482019e-06
contig_21315_3,53,1.0
contig_21315_3,54,1.0
contig_21315_3,55,3.31768446049e-09
contig_21315_3,56,0.194202613256
contig_21315_3,57,0.513045734106
contig_21315_3,58,0.0
contig_21315_3,59,1.0
contig_21315_3,60,1.0
contig_21315_3,61,0.0
contig_21315_3,62,1.0
contig_21315_3,63,1.0
contig_21315_3,64,7.00420943467e-08
contig_21315_3,65,1.0
