,Position,value
contig_19336_2,0,1.0
contig_19336_2,1,9.8305151233e-06
contig_19336_2,2,1.0
contig_19336_2,3,1.0
contig_19336_2,4,1.0
contig_19336_2,5,1.0
contig_19336_2,6,1.0
contig_19336_2,7,1.0
contig_19336_2,8,1.0
contig_19336_2,9,1.0
contig_19336_2,10,1.0
contig_19336_2,11,1.0
contig_19336_2,12,1.0
contig_19336_2,13,1.0
contig_19336_2,14,1.0
contig_19336_2,15,1.0
contig_19336_2,16,1.0
contig_19336_2,17,1.0
contig_19336_2,18,1.0
contig_19336_2,19,1.0
contig_19336_2,20,1.0
contig_19336_2,21,1.0
contig_19336_2,22,1.0
contig_19336_2,23,1.0
contig_19336_2,24,1.0
contig_19336_2,25,1.0
contig_19336_2,26,1.0
contig_19336_2,27,1.0
contig_19336_2,28,1.0
contig_19336_2,29,1.0
contig_19336_2,30,1.0
contig_19336_2,31,1.0
contig_19336_2,32,1.0
contig_19336_2,33,1.0
contig_19336_2,34,1.0
contig_19336_2,35,1.0
contig_19336_2,36,1.0
contig_19336_2,37,1.0
contig_19336_2,38,1.0
contig_19336_2,39,1.0
contig_19336_2,40,0.285691636009
contig_19336_2,41,1.0
contig_19336_2,42,1.0
contig_19336_2,43,1.0
contig_19336_2,44,1.0
contig_19336_2,45,1.0
contig_19336_2,46,1.0
contig_19336_2,47,1.0
contig_19336_2,48,1.0
contig_19336_2,49,1.0
contig_19336_2,50,0.361042859835
contig_19336_2,51,1.0
contig_19336_2,52,1.0
contig_19336_2,53,1.0
contig_19336_2,54,0.249186466371
contig_19336_2,55,1.0
contig_19336_2,56,1.0
contig_19336_2,57,1.0
contig_19336_2,58,1.0
contig_19336_2,59,1.0
contig_19336_2,60,1.0
contig_19336_2,61,1.0
contig_19336_2,62,1.0
contig_19336_2,63,0.242384543056
contig_19336_2,64,1.0
contig_19336_2,65,1.0
contig_19336_2,66,0.728160806676
contig_19336_2,67,1.0
contig_19336_2,68,1.0
contig_19336_2,69,1.0
contig_19336_2,70,1.0
contig_19336_2,71,1.0
contig_19336_2,72,0.0
contig_19336_2,73,1.0
contig_19336_2,74,1.0
contig_19336_2,75,1.0
contig_19336_2,76,1.0
contig_19336_2,77,1.0
contig_19336_2,78,1.0
contig_19336_2,79,1.0
contig_19336_2,80,1.0
contig_19336_2,81,0.5237916445
contig_19336_2,82,1.0
contig_19336_2,83,1.0
contig_19336_2,84,0.91491137439
contig_19336_2,85,0.485401694774
contig_19336_2,86,1.0
contig_19336_2,87,0.255168315154
contig_19336_2,88,1.0
contig_19336_2,89,1.0
contig_19336_2,90,1.0
contig_19336_2,91,1.0
contig_19336_2,92,1.0
contig_19336_2,93,1.0
contig_19336_2,94,1.0
contig_19336_2,95,1.0
contig_19336_2,96,0.0789004117928
contig_19336_2,97,1.0
contig_19336_2,98,1.0
contig_19336_2,99,1.0
contig_19336_2,100,1.0
contig_19336_2,101,1.0
contig_19336_2,102,1.0
contig_19336_2,103,1.0
contig_19336_2,104,1.0
contig_19336_2,105,1.0
contig_19336_2,106,1.0
contig_19336_2,107,1.0
contig_19336_2,108,1.55636857599e-08
contig_19336_2,109,0.00422248901801
contig_19336_2,110,1.0
contig_19336_2,111,1.07265083397e-08
contig_19336_2,112,9.37843917589e-13
contig_19336_2,113,1.0
contig_19336_2,114,1.0
contig_19336_2,115,0.00866827681605
contig_19336_2,116,1.0
contig_19336_2,117,1.0
contig_19336_2,118,1.0
contig_19336_2,119,1.0
contig_19336_2,120,0.788215985105
contig_19336_2,121,1.0
contig_19336_2,122,1.0
contig_19336_2,123,1.0
contig_19336_2,124,1.0
contig_19336_2,125,1.0
contig_19336_2,126,7.10658608442e-08
contig_19336_2,127,1.0
contig_19336_2,128,1.0
contig_19336_2,129,0.0
contig_19336_2,130,0.311588525373
contig_19336_2,131,1.0
contig_19336_2,132,1.0
contig_19336_2,133,0.0
contig_19336_2,134,1.0
contig_19336_2,135,1.0
contig_19336_2,136,0.0
contig_19336_2,137,1.0
contig_19336_2,138,0.0259542202555
contig_19336_2,139,1.0
contig_19336_2,140,1.0
contig_19336_2,141,0.0
contig_19336_2,142,1.0
contig_19336_2,143,0.932339135624
contig_19336_2,144,1.0
contig_19336_2,145,1.0
contig_19336_2,146,1.0
contig_19336_2,147,1.0
contig_19336_2,148,1.0
contig_19336_2,149,0.277966749396
contig_19336_2,150,0.588818603971
contig_19336_2,151,1.0
contig_19336_2,152,1.0
contig_19336_2,153,1.0
contig_19336_2,154,1.0
contig_19336_2,155,1.0
contig_19336_2,156,1.0
contig_19336_2,157,1.0
contig_19336_2,158,1.0
contig_19336_2,159,1.0
contig_19336_2,160,1.0
contig_19336_2,161,1.0
contig_19336_2,162,1.0
contig_19336_2,163,0.0
contig_19336_2,164,0.00325276766213
contig_19336_2,165,1.0
contig_19336_2,166,1.0
contig_19336_2,167,0.0124707234461
contig_19336_2,168,1.0
contig_19336_2,169,1.88610562583e-08
contig_19336_2,170,9.22767393065e-12
contig_19336_2,171,1.0
contig_19336_2,172,1.0
contig_19336_2,173,1.0
contig_19336_2,174,1.0
contig_19336_2,175,1.0
contig_19336_2,176,1.0
contig_19336_2,177,1.0
contig_19336_2,178,1.0
contig_19336_2,179,1.0
contig_19336_2,180,1.0
contig_19336_2,181,1.0
contig_19336_2,182,1.0
contig_19336_2,183,0.000701490668225
contig_19336_2,184,1.0
contig_19336_2,185,1.0
contig_19336_2,186,6.19697909705e-08
contig_19336_2,187,1.0
contig_19336_2,188,1.0
contig_19336_2,189,1.91112300019e-09
contig_19336_2,190,1.0
contig_19336_2,191,1.0
contig_19336_2,192,1.0
contig_19336_2,193,0.957648027717
contig_19336_2,194,1.0
contig_19336_2,195,1.0
contig_19336_2,196,1.0
contig_19336_2,197,1.0
contig_19336_2,198,1.0
contig_19336_2,199,1.0
contig_19336_2,200,1.0
contig_19336_2,201,1.58058526655e-09
contig_19336_2,202,0.217561881613
contig_19336_2,203,1.0
contig_19336_2,204,1.0
contig_19336_2,205,1.0
contig_19336_2,206,1.0
contig_19336_2,207,1.0
contig_19336_2,208,1.0
contig_19336_2,209,1.0
contig_19336_2,210,1.0
contig_19336_2,211,1.0
contig_19336_2,212,0.405809782211
contig_19336_2,213,1.0
contig_19336_2,214,1.0
contig_19336_2,215,1.0
contig_19336_2,216,2.56597046546e-07
contig_19336_2,217,1.0
contig_19336_2,218,1.0
contig_19336_2,219,0.000169098590679
contig_19336_2,220,9.63111590188e-10
contig_19336_2,221,1.0
contig_19336_2,222,0.0
contig_19336_2,223,1.0
contig_19336_2,224,0.315034191306
contig_19336_2,225,0.157162674099
contig_19336_2,226,1.0
contig_19336_2,227,0.357453979536
contig_19336_2,228,1.95144975277e-08
contig_19336_2,229,1.0
contig_19336_2,230,1.0
contig_19336_2,231,1.0
contig_19336_2,232,1.0
contig_19336_2,233,1.0
contig_19336_2,234,1.0
contig_19336_2,235,1.0
contig_19336_2,236,1.0
contig_19336_2,237,1.0
contig_19336_2,238,1.0
contig_19336_2,239,1.0
contig_19336_2,240,1.0
contig_19336_2,241,1.0
contig_19336_2,242,1.0
contig_19336_2,243,1.0
contig_19336_2,244,0.544831441238
contig_19336_2,245,1.0
contig_19336_2,246,1.0
contig_19336_2,247,1.0
contig_19336_2,248,1.0
contig_19336_2,249,0.54337801613
contig_19336_2,250,1.0
contig_19336_2,251,1.0
contig_19336_2,252,1.0
contig_19336_2,253,1.0
contig_19336_2,254,1.0
contig_19336_2,255,1.0
contig_19336_2,256,1.0
contig_19336_2,257,1.0
contig_19336_2,258,1.0
contig_19336_2,259,1.0
contig_19336_2,260,1.0
contig_19336_2,261,1.0
contig_19336_2,262,1.0
contig_19336_2,263,1.0
contig_19336_2,264,0.000145465225984
contig_19336_2,265,1.0
contig_19336_2,266,1.0
contig_19336_2,267,1.0
contig_19439_3,0,1.89288311886e-09
contig_19439_3,1,1.0
contig_19439_3,2,1.0
contig_19439_3,3,1.0
contig_19439_3,4,1.0
contig_19439_3,5,1.0
contig_19439_3,6,0.153340231523
contig_19439_3,7,1.0
contig_19439_3,8,0.331307042392
contig_19439_3,9,0.443399857723
contig_19439_3,10,1.0
contig_19439_3,11,1.0
contig_19439_3,12,1.0
contig_19439_3,13,1.0
contig_19439_3,14,1.0
contig_19439_3,15,1.0
contig_19439_3,16,1.0
contig_19439_3,17,1.0
contig_19439_3,18,1.0
contig_19439_3,19,1.0
contig_19439_3,20,0.00124995091774
contig_19439_3,21,1.0
contig_19439_3,22,1.0
contig_19439_3,23,1.0
contig_19439_3,24,4.19337955063e-07
contig_19439_3,25,1.0
contig_19439_3,26,0.84189356595
contig_19439_3,27,0.84189356595
contig_19439_3,28,1.0
contig_19439_3,29,1.0
contig_19439_3,30,0.443399857723
contig_19439_3,31,1.0
contig_19439_3,32,1.0
contig_19439_3,33,0.440929228289
contig_19439_3,34,1.0
contig_19439_3,35,1.0
contig_19439_3,36,0.0
contig_19439_3,37,1.0
contig_19439_3,38,1.0
contig_19439_3,39,0.312689776245
contig_19439_3,40,1.0
contig_19439_3,41,1.0
contig_19439_3,42,1.0
contig_19439_3,43,1.0
contig_19439_3,44,1.0
contig_19439_3,45,1.0
contig_19439_3,46,1.0
contig_19439_3,47,1.0
contig_19439_3,48,0.0
contig_19439_3,49,1.0
contig_19439_3,50,0.432257256145
contig_19439_3,51,1.0
contig_19439_3,52,1.0
contig_19439_3,53,0.0
contig_19439_3,54,1.0
contig_19439_3,55,1.0
contig_19439_3,56,1.0
contig_19439_3,57,1.0
contig_19439_3,58,1.0
contig_19439_3,59,1.0
contig_19439_3,60,0.0
contig_19439_3,61,0.0
contig_19439_3,62,1.0
contig_19439_3,63,0.0505335014756
contig_19439_3,64,1.0
contig_19439_3,65,1.0
contig_19439_3,66,0.0
contig_19439_3,67,1.0
contig_19439_3,68,1.0
contig_19439_3,69,0.0
contig_19439_3,70,0.0
contig_19439_3,71,1.0
contig_19439_3,72,1.0
contig_19439_3,73,1.0
contig_19439_3,74,1.0
