,0,1,2,3
contig_18214_2,0.0,3.0,0.0,1.0
contig_18214_3,0.0,3.0,0.0,1.0
contig_18214_1,0.0,2.0,0.0,0.0
contig_18214_4,0.0,1.0,0.0,0.0
contig_18214_5,0.0,0.0,0.0,0.0
contig_18252_1,0.0,2.0,0.0,0.0
contig_18252_2,0.0,1.0,0.0,0.0
contig_18216_1,13.0,3.0,2.0,0.0
contig_18216_2,0.0,2.0,0.0,1.0
contig_18090_26,0.0,0.0,0.0,0.0
contig_18090_25,0.0,0.0,0.0,0.0
contig_18090_24,0.0,0.0,0.0,0.0
contig_18190_3,0.0,2.0,0.0,0.0
contig_18090_22,0.0,2.0,0.0,0.0
contig_18090_21,0.0,2.0,0.0,0.0
contig_18090_20,0.0,3.0,11.0,2.0
contig_18145_13,0.0,3.0,0.0,0.0
contig_18145_12,0.0,2.0,0.0,0.0
contig_18210_4,0.0,0.0,0.0,0.0
contig_18210_5,0.0,0.0,0.0,0.0
contig_18210_2,0.0,0.0,0.0,0.0
contig_18210_3,0.0,0.0,0.0,0.0
contig_18145_15,0.0,2.0,0.0,0.0
contig_18210_1,0.0,0.0,0.0,0.0
contig_18145_18,0.0,2.0,0.0,2.0
contig_18089_25,0.0,0.0,0.0,0.0
contig_18089_24,0.0,0.0,0.0,1.0
contig_18089_27,0.0,0.0,0.0,0.0
contig_18089_26,0.0,0.0,0.0,0.0
contig_18089_21,0.0,0.0,0.0,0.0
contig_18089_20,0.0,0.0,0.0,0.0
contig_18089_23,0.0,0.0,0.0,0.0
contig_18089_22,0.0,0.0,0.0,0.0
contig_18212_1,4.0,4.0,0.0,1.0
contig_18212_2,0.0,3.0,0.0,3.0
contig_18212_3,0.0,3.0,2.0,0.0
contig_18212_4,0.0,4.0,0.0,0.0
contig_18089_28,0.0,0.0,0.0,0.0
contig_18084_28,0.0,2.0,0.0,0.0
contig_18084_29,0.0,3.0,2.0,0.0
contig_18084_26,0.0,3.0,0.0,0.0
contig_18084_27,0.0,2.0,0.0,0.0
contig_18084_24,0.0,3.0,0.0,0.0
contig_18084_25,0.0,2.0,0.0,0.0
contig_18084_22,11.0,3.0,0.0,2.0
contig_18084_23,0.0,2.0,0.0,0.0
contig_18084_20,1.0,4.0,0.0,4.0
contig_18084_21,0.0,3.0,0.0,2.0
contig_18081_32,0.0,3.0,1.0,0.0
contig_18081_33,11.0,4.0,0.0,3.0
contig_18193_1,0.0,2.0,0.0,0.0
contig_18068_11,0.0,0.0,0.0,0.0
contig_18068_10,0.0,0.0,0.0,0.0
contig_18068_13,0.0,3.0,0.0,0.0
contig_18068_12,0.0,0.0,0.0,0.0
contig_18068_15,0.0,0.0,0.0,0.0
contig_18068_14,0.0,0.0,0.0,0.0
contig_18068_17,0.0,0.0,0.0,0.0
contig_18068_16,0.0,0.0,0.0,0.0
contig_18068_19,0.0,0.0,0.0,0.0
contig_18068_18,0.0,0.0,0.0,0.0
contig_18142_6,0.0,2.0,0.0,0.0
contig_18081_34,0.0,2.0,0.0,0.0
contig_18250_1,0.0,3.0,0.0,1.0
contig_18064_28,0.0,0.0,0.0,0.0
contig_18064_29,0.0,0.0,0.0,0.0
contig_18080_27,0.0,0.0,0.0,0.0
contig_18064_20,0.0,3.0,2.0,3.0
contig_18064_21,0.0,0.0,0.0,0.0
contig_18064_22,0.0,0.0,0.0,0.0
contig_18064_23,0.0,0.0,0.0,0.0
contig_18064_24,0.0,0.0,0.0,0.0
contig_18064_25,0.0,0.0,0.0,0.0
contig_18064_26,0.0,0.0,0.0,0.0
contig_18064_27,0.0,2.0,0.0,1.0
contig_18109_8,0.0,3.0,0.0,0.0
contig_18237_4,3.0,1.0,0.0,0.0
contig_18090_23,0.0,0.0,0.0,0.0
contig_18254_3,0.0,2.0,20.0,0.0
contig_18088_22,0.0,0.0,0.0,0.0
contig_18088_23,0.0,0.0,0.0,0.0
contig_18088_20,1.0,3.0,0.0,2.0
contig_18088_21,0.0,1.0,0.0,0.0
contig_18088_26,0.0,0.0,0.0,0.0
contig_18088_27,0.0,1.0,3.0,0.0
contig_18088_24,0.0,0.0,0.0,0.0
contig_18088_25,0.0,0.0,0.0,0.0
contig_18145_11,0.0,1.0,0.0,0.0
contig_18145_10,0.0,0.0,0.0,0.0
contig_18145_17,0.0,2.0,0.0,0.0
contig_18145_16,0.0,3.0,0.0,0.0
contig_18065_23,0.0,0.0,0.0,0.0
contig_18065_22,0.0,0.0,0.0,0.0
contig_18065_21,0.0,1.0,0.0,0.0
contig_18065_20,0.0,0.0,0.0,0.0
contig_18065_27,0.0,0.0,0.0,0.0
contig_18065_26,0.0,0.0,0.0,0.0
contig_18065_25,0.0,0.0,0.0,0.0
contig_18065_24,0.0,0.0,0.0,0.0
contig_18257_1,2.0,3.0,2.0,0.0
contig_18065_29,0.0,1.0,0.0,0.0
contig_18065_28,0.0,0.0,0.0,0.0
contig_18257_5,6.0,3.0,1.0,0.0
contig_18257_4,0.0,2.0,2.0,0.0
contig_18079_28,0.0,0.0,0.0,0.0
contig_18259_1,1.0,3.0,0.0,1.0
contig_18102_20,0.0,4.0,1.0,0.0
contig_18126_14,0.0,1.0,0.0,0.0
contig_18126_15,0.0,0.0,0.0,0.0
contig_18126_16,0.0,0.0,0.0,0.0
contig_18126_10,0.0,0.0,0.0,0.0
contig_18126_11,0.0,0.0,0.0,0.0
contig_18126_12,0.0,0.0,0.0,0.0
contig_18126_13,1.0,3.0,0.0,2.0
contig_18188_2,2.0,3.0,0.0,2.0
contig_18188_3,0.0,1.0,0.0,1.0
contig_18188_1,0.0,2.0,0.0,0.0
contig_18188_4,0.0,0.0,0.0,0.0
contig_18057_80,0.0,0.0,0.0,0.0
contig_18057_81,0.0,0.0,0.0,0.0
contig_18057_82,0.0,1.0,0.0,0.0
contig_18057_83,0.0,4.0,0.0,0.0
contig_18057_84,0.0,3.0,0.0,0.0
contig_18057_85,0.0,4.0,0.0,0.0
contig_18057_86,0.0,3.0,0.0,0.0
contig_18057_87,0.0,2.0,0.0,0.0
contig_18057_88,0.0,1.0,0.0,0.0
contig_18057_89,0.0,0.0,0.0,0.0
