,0,1,2
contig_18610_21,0.0,1.0,1.0
contig_18610_20,0.0,1.0,1.0
contig_18615_17,0.0,0.0,1.0
contig_18615_16,0.0,0.0,1.0
contig_18615_15,0.0,2.0,1.0
contig_18615_14,0.0,0.0,1.0
contig_18615_13,0.0,0.0,1.0
contig_18615_12,0.0,0.0,1.0
contig_18615_11,0.0,0.0,1.0
contig_18615_10,0.0,0.0,1.0
contig_18615_18,0.0,0.0,0.0
contig_18620_13,0.0,2.0,0.0
contig_18620_12,0.0,0.0,1.0
contig_18620_11,0.0,0.0,1.0
contig_18620_10,0.0,0.0,1.0
contig_18620_17,0.0,0.0,1.0
contig_18620_16,0.0,0.0,1.0
contig_18620_15,0.0,0.0,1.0
contig_18620_14,0.0,0.0,1.0
contig_18620_19,0.0,2.0,1.0
contig_18620_18,0.0,0.0,1.0
contig_18606_20,0.0,0.0,1.0
contig_18606_21,0.0,0.0,1.0
contig_18577_67,0.0,0.0,1.0
contig_18577_66,0.0,0.0,1.0
contig_18577_65,0.0,0.0,1.0
contig_18577_64,0.0,0.0,1.0
contig_18577_63,0.0,0.0,1.0
contig_18577_62,0.0,0.0,1.0
contig_18577_61,0.0,0.0,1.0
contig_18577_60,0.0,0.0,1.0
contig_18577_69,0.0,0.0,1.0
contig_18577_68,0.0,0.0,1.0
contig_18609_4,0.0,0.0,1.0
contig_18609_5,0.0,0.0,1.0
contig_18580_65,0.0,0.0,1.0
contig_18580_64,0.0,0.0,1.0
contig_18605_20,0.0,1.0,0.0
contig_18640_5,0.0,0.0,1.0
contig_18640_4,0.0,0.0,1.0
contig_18594_22,0.0,0.0,1.0
contig_18594_23,3.0,0.0,1.0
contig_18640_11,0.0,0.0,1.0
contig_18640_10,0.0,1.0,1.0
contig_18640_13,0.0,0.0,1.0
contig_18640_12,0.0,0.0,1.0
contig_18640_14,0.0,0.0,1.0
contig_18578_66,0.0,0.0,0.0
contig_18578_64,0.0,0.0,1.0
contig_18578_65,0.0,0.0,1.0
contig_18578_62,1.0,0.0,1.0
contig_18578_63,0.0,0.0,1.0
contig_18578_60,0.0,0.0,1.0
contig_18578_61,1.0,0.0,1.0
contig_18594_27,0.0,0.0,1.0
contig_18580_69,0.0,0.0,1.0
contig_18580_68,0.0,0.0,1.0
contig_18642_11,0.0,1.0,1.0
contig_18642_10,0.0,1.0,1.0
contig_18629_10,0.0,0.0,1.0
contig_18695_4,0.0,0.0,1.0
contig_18646_15,0.0,5.0,0.0
contig_18646_14,0.0,12.0,0.0
contig_18646_13,0.0,3.0,1.0
contig_18646_12,0.0,7.0,0.0
contig_18646_11,0.0,0.0,1.0
contig_18646_10,0.0,0.0,1.0
contig_18587_17,0.0,0.0,1.0
contig_18678_1,0.0,1.0,1.0
contig_18678_2,0.0,0.0,1.0
contig_18678_3,0.0,1.0,1.0
contig_18678_4,0.0,2.0,1.0
contig_18678_5,0.0,0.0,1.0
contig_18588_36,0.0,0.0,1.0
contig_18588_37,0.0,0.0,1.0
contig_18588_34,0.0,0.0,1.0
contig_18588_35,0.0,0.0,1.0
contig_18588_32,0.0,0.0,1.0
contig_18588_33,0.0,0.0,1.0
contig_18588_30,0.0,0.0,1.0
contig_18588_31,0.0,0.0,1.0
contig_18588_38,0.0,0.0,0.0
contig_18588_39,0.0,0.0,0.0
contig_18639_5,0.0,0.0,1.0
contig_18639_4,0.0,0.0,1.0
contig_18639_7,0.0,0.0,1.0
contig_18639_6,0.0,0.0,1.0
contig_18639_1,0.0,0.0,1.0
contig_18639_3,0.0,0.0,1.0
contig_18639_2,0.0,0.0,1.0
contig_18639_9,0.0,1.0,1.0
contig_18639_8,0.0,0.0,1.0
contig_18613_11,0.0,0.0,1.0
contig_18613_10,0.0,1.0,1.0
contig_18613_13,1.0,1.0,1.0
contig_18613_12,0.0,1.0,1.0
contig_18613_15,0.0,0.0,1.0
contig_18613_14,0.0,0.0,1.0
contig_18627_12,0.0,0.0,0.0
contig_18627_13,0.0,0.0,0.0
contig_18627_10,0.0,0.0,1.0
contig_18627_11,0.0,0.0,1.0
contig_18627_16,0.0,0.0,1.0
contig_18627_14,0.0,0.0,1.0
contig_18627_15,0.0,0.0,1.0
contig_18625_14,0.0,0.0,1.0
contig_18625_15,0.0,0.0,1.0
contig_18625_16,0.0,1.0,0.0
contig_18625_17,0.0,0.0,1.0
contig_18625_10,0.0,0.0,1.0
contig_18625_11,0.0,0.0,1.0
contig_18625_12,0.0,0.0,1.0
contig_18625_13,0.0,0.0,1.0
