,0,1,2
contig_18610_21,1.0,1.0,1.0
contig_18610_20,1.0,1.0,1.0
contig_18615_17,1.0,0.0,1.0
contig_18615_16,1.0,0.0,1.0
contig_18615_15,1.0,1.0,1.0
contig_18615_14,1.0,1.0,1.0
contig_18615_13,1.0,0.0,1.0
contig_18615_12,1.0,1.0,1.0
contig_18615_11,1.0,1.0,1.0
contig_18615_10,1.0,1.0,1.0
contig_18615_18,1.0,1.0,0.0
contig_18620_13,1.0,1.0,1.0
contig_18620_12,1.0,1.0,1.0
contig_18620_11,1.0,1.0,1.0
contig_18620_10,0.0,1.0,1.0
contig_18620_17,1.0,0.0,1.0
contig_18620_16,0.0,0.0,1.0
contig_18620_15,1.0,1.0,1.0
contig_18620_14,1.0,1.0,1.0
contig_18620_19,1.0,1.0,1.0
contig_18620_18,1.0,0.0,1.0
contig_18606_20,1.0,1.0,1.0
contig_18606_21,1.0,1.0,1.0
contig_18577_67,1.0,1.0,1.0
contig_18577_66,1.0,1.0,1.0
contig_18577_65,1.0,1.0,1.0
contig_18577_64,1.0,1.0,1.0
contig_18577_63,1.0,1.0,1.0
contig_18577_62,1.0,1.0,1.0
contig_18577_61,1.0,1.0,1.0
contig_18577_60,1.0,1.0,1.0
contig_18577_69,1.0,1.0,1.0
contig_18577_68,1.0,0.0,1.0
contig_18609_4,1.0,0.0,1.0
contig_18609_5,1.0,1.0,1.0
contig_18580_65,1.0,0.0,1.0
contig_18580_64,1.0,1.0,1.0
contig_18605_20,1.0,1.0,1.0
contig_18640_5,1.0,1.0,1.0
contig_18640_4,1.0,1.0,1.0
contig_18594_22,1.0,1.0,1.0
contig_18594_23,1.0,1.0,1.0
contig_18640_11,1.0,0.0,1.0
contig_18640_10,1.0,0.0,1.0
contig_18640_13,1.0,1.0,1.0
contig_18640_12,1.0,1.0,1.0
contig_18640_14,1.0,1.0,1.0
contig_18578_66,0.0,1.0,1.0
contig_18578_64,1.0,0.0,1.0
contig_18578_65,1.0,1.0,1.0
contig_18578_62,1.0,1.0,1.0
contig_18578_63,1.0,1.0,1.0
contig_18578_60,1.0,0.0,1.0
contig_18578_61,1.0,1.0,1.0
contig_18594_27,1.0,1.0,1.0
contig_18580_69,1.0,1.0,1.0
contig_18580_68,1.0,0.0,1.0
contig_18642_11,1.0,1.0,1.0
contig_18642_10,1.0,1.0,1.0
contig_18629_10,1.0,0.0,1.0
contig_18695_4,1.0,0.0,1.0
contig_18646_15,1.0,1.0,1.0
contig_18646_14,1.0,1.0,1.0
contig_18646_13,1.0,1.0,1.0
contig_18646_12,1.0,1.0,1.0
contig_18646_11,1.0,0.0,1.0
contig_18646_10,1.0,1.0,1.0
contig_18587_17,1.0,1.0,1.0
contig_18678_1,1.0,1.0,1.0
contig_18678_2,1.0,1.0,1.0
contig_18678_3,1.0,1.0,1.0
contig_18678_4,1.0,1.0,1.0
contig_18678_5,1.0,1.0,1.0
contig_18588_36,1.0,1.0,1.0
contig_18588_37,1.0,1.0,1.0
contig_18588_34,1.0,1.0,1.0
contig_18588_35,1.0,1.0,1.0
contig_18588_32,1.0,0.0,1.0
contig_18588_33,1.0,1.0,1.0
contig_18588_30,1.0,0.0,1.0
contig_18588_31,1.0,1.0,1.0
contig_18588_38,1.0,1.0,0.0
contig_18588_39,1.0,1.0,0.0
contig_18639_5,1.0,1.0,1.0
contig_18639_4,1.0,1.0,1.0
contig_18639_7,1.0,0.0,1.0
contig_18639_6,1.0,0.0,1.0
contig_18639_1,1.0,1.0,1.0
contig_18639_3,1.0,1.0,1.0
contig_18639_2,1.0,1.0,1.0
contig_18639_9,1.0,1.0,1.0
contig_18639_8,1.0,1.0,1.0
contig_18613_11,1.0,1.0,1.0
contig_18613_10,1.0,1.0,1.0
contig_18613_13,1.0,1.0,1.0
contig_18613_12,1.0,1.0,1.0
contig_18613_15,1.0,1.0,1.0
contig_18613_14,1.0,1.0,1.0
contig_18627_12,1.0,1.0,1.0
contig_18627_13,1.0,1.0,1.0
contig_18627_10,1.0,0.0,1.0
contig_18627_11,1.0,0.0,1.0
contig_18627_16,1.0,0.0,1.0
contig_18627_14,1.0,1.0,1.0
contig_18627_15,1.0,1.0,1.0
contig_18625_14,1.0,0.0,1.0
contig_18625_15,1.0,0.0,1.0
contig_18625_16,1.0,1.0,1.0
contig_18625_17,1.0,1.0,1.0
contig_18625_10,1.0,0.0,1.0
contig_18625_11,1.0,0.0,1.0
contig_18625_12,1.0,1.0,1.0
contig_18625_13,1.0,0.0,1.0
contig_18625_18,1.0,1.0,1.0
contig_18625_19,1.0,1.0,1.0
contig_18632_2,1.0,1.0,1.0
contig_18632_3,1.0,1.0,1.0
contig_18632_1,1.0,1.0,1.0
contig_18632_6,1.0,1.0,1.0
contig_18632_7,1.0,1.0,1.0
contig_18632_4,1.0,1.0,1.0
contig_18632_5,1.0,1.0,1.0
contig_18632_8,1.0,1.0,1.0
contig_18632_9,1.0,1.0,1.0
contig_18630_4,1.0,1.0,1.0
contig_18630_5,1.0,1.0,1.0
contig_18630_6,1.0,1.0,1.0
contig_18630_7,1.0,1.0,1.0
contig_18630_1,1.0,1.0,1.0
contig_18630_2,1.0,1.0,1.0
contig_18630_3,1.0,1.0,1.0
contig_18630_8,1.0,1.0,1.0
contig_18630_9,1.0,1.0,1.0
contig_18636_6,1.0,1.0,1.0
contig_18636_7,1.0,1.0,1.0
contig_18636_4,1.0,1.0,1.0
contig_18636_5,1.0,0.0,1.0
contig_18636_2,1.0,1.0,1.0
contig_18636_3,1.0,1.0,1.0
contig_18636_1,1.0,1.0,1.0
contig_18636_8,1.0,1.0,1.0
contig_18636_9,1.0,1.0,1.0
contig_18634_8,1.0,0.0,1.0
contig_18634_9,1.0,0.0,1.0
contig_18611_19,1.0,1.0,1.0
contig_18611_18,1.0,1.0,1.0
contig_18611_13,1.0,1.0,1.0
contig_18634_1,1.0,0.0,1.0
contig_18634_2,1.0,1.0,1.0
contig_18634_3,1.0,1.0,1.0
contig_18634_4,1.0,0.0,1.0
contig_18634_5,1.0,0.0,1.0
contig_18634_6,1.0,1.0,1.0
contig_18634_7,1.0,1.0,1.0
contig_18731_4,1.0,1.0,1.0
contig_18731_5,1.0,1.0,0.0
contig_18673_5,1.0,1.0,1.0
contig_18673_4,1.0,0.0,1.0
contig_18673_3,1.0,1.0,1.0
contig_18731_1,1.0,1.0,1.0
contig_18731_2,1.0,1.0,1.0
contig_18731_3,1.0,1.0,1.0
