,0,1
contig_20067_5,0.0,0.0
contig_20067_4,0.0,0.0
contig_20067_7,0.0,0.0
contig_20067_6,0.0,1.0
contig_20067_1,0.0,0.0
contig_20067_3,0.0,1.0
contig_20067_2,0.0,0.0
contig_20028_2,0.0,1.0
contig_20028_3,4.0,1.0
contig_20028_1,0.0,1.0
contig_20117_1,0.0,0.0
contig_20117_3,0.0,0.0
contig_20117_2,0.0,0.0
contig_20061_5,0.0,1.0
contig_20061_4,0.0,0.0
contig_20061_3,0.0,0.0
contig_20061_2,0.0,0.0
contig_20061_1,1.0,0.0
contig_20111_4,0.0,1.0
contig_20111_3,0.0,0.0
contig_20111_2,0.0,0.0
contig_20111_1,0.0,0.0
contig_20280_2,0.0,1.0
contig_20280_3,0.0,1.0
contig_20280_1,0.0,1.0
contig_20280_4,0.0,1.0
contig_20280_5,3.0,1.0
contig_20042_4,0.0,1.0
contig_20282_4,1.0,1.0
contig_20113_3,0.0,0.0
contig_20113_2,0.0,0.0
contig_20113_5,0.0,0.0
contig_20282_1,3.0,1.0
contig_20282_2,4.0,1.0
contig_20282_3,2.0,1.0
contig_20042_2,1.0,1.0
contig_20042_3,2.0,1.0
contig_20027_1,0.0,0.0
contig_20027_3,0.0,0.0
contig_20027_2,0.0,1.0
contig_20027_5,1.0,1.0
contig_20027_4,0.0,0.0
contig_20027_7,1.0,1.0
contig_20027_6,1.0,0.0
contig_20027_9,0.0,1.0
contig_20027_8,0.0,1.0
contig_20267_4,1.0,1.0
contig_20202_1,0.0,1.0
contig_20202_2,0.0,1.0
contig_20202_3,0.0,1.0
contig_20028_4,0.0,1.0
contig_20204_6,1.0,1.0
contig_20204_4,5.0,1.0
contig_20204_5,0.0,1.0
contig_20204_2,12.0,0.0
contig_20204_3,8.0,1.0
contig_20204_1,5.0,1.0
contig_20065_3,0.0,1.0
contig_20065_2,0.0,0.0
contig_20065_1,0.0,0.0
contig_20065_7,0.0,1.0
contig_20065_6,0.0,1.0
contig_20065_5,0.0,1.0
contig_20065_4,0.0,1.0
contig_20115_3,3.0,1.0
contig_20115_2,0.0,1.0
contig_20115_1,0.0,1.0
contig_20065_8,1.0,1.0
contig_20115_5,0.0,0.0
contig_20115_4,0.0,0.0
contig_20007_3,0.0,0.0
contig_20068_6,2.0,1.0
contig_20068_7,0.0,1.0
contig_20068_4,1.0,1.0
contig_20068_5,0.0,1.0
contig_20068_2,0.0,1.0
contig_20068_3,2.0,1.0
contig_20068_1,0.0,1.0
contig_20025_4,0.0,0.0
contig_20025_3,0.0,1.0
contig_20025_2,1.0,1.0
contig_20025_1,2.0,1.0
contig_19950_2,0.0,0.0
contig_19950_3,0.0,0.0
contig_20273_3,0.0,0.0
contig_19950_6,0.0,0.0
contig_19950_7,0.0,0.0
contig_19950_4,0.0,0.0
contig_19950_5,0.0,0.0
contig_20200_2,0.0,1.0
contig_20273_4,0.0,0.0
contig_19950_8,0.0,0.0
contig_20200_1,0.0,1.0
contig_19958_8,0.0,0.0
contig_19958_9,0.0,0.0
contig_19958_2,0.0,0.0
contig_19958_3,5.0,1.0
contig_19958_1,0.0,0.0
contig_19958_6,0.0,0.0
contig_19958_7,0.0,0.0
contig_19958_4,6.0,1.0
contig_19958_5,0.0,0.0
contig_20062_1,1.0,0.0
contig_20062_2,0.0,0.0
contig_20062_3,0.0,0.0
contig_20062_4,0.0,0.0
contig_20062_5,0.0,0.0
contig_20062_6,0.0,0.0
contig_20062_7,0.0,0.0
contig_20160_3,0.0,0.0
contig_20160_2,0.0,0.0
contig_20160_5,0.0,0.0
contig_20160_4,0.0,0.0
contig_20289_3,16.0,1.0
contig_20289_2,17.0,0.0
contig_20289_1,25.0,0.0
contig_20289_4,24.0,0.0
contig_20162_5,0.0,0.0
contig_20162_4,0.0,1.0
contig_20162_1,0.0,1.0
contig_20162_3,1.0,1.0
contig_20162_2,0.0,1.0
contig_20113_1,0.0,0.0
contig_20207_1,0.0,1.0
contig_20207_3,0.0,1.0
contig_20207_2,0.0,1.0
contig_20207_5,1.0,0.0
contig_20207_4,0.0,1.0
contig_20209_3,1.0,0.0
contig_20209_2,0.0,1.0
contig_20209_1,0.0,1.0
contig_20113_4,0.0,0.0
contig_20168_3,0.0,0.0
contig_20168_2,0.0,0.0
contig_20168_1,0.0,1.0
contig_20113_7,0.0,0.0
contig_20127_4,4.0,1.0
contig_20127_5,0.0,0.0
contig_20127_6,0.0,0.0
contig_20113_6,0.0,0.0
contig_20127_1,0.0,0.0
contig_20127_2,0.0,0.0
contig_20127_3,0.0,1.0
contig_20121_6,0.0,1.0
contig_20121_4,1.0,1.0
contig_20121_5,2.0,1.0
contig_20121_2,0.0,1.0
contig_20121_3,0.0,1.0
contig_20121_1,2.0,1.0
contig_20262_1,0.0,0.0
contig_20329_1,0.0,0.0
contig_20329_2,0.0,0.0
contig_20167_1,0.0,1.0
contig_20167_2,0.0,1.0
contig_20167_3,0.0,1.0
contig_20167_4,0.0,1.0
contig_20327_2,0.0,0.0
contig_20327_3,0.0,0.0
contig_20327_1,0.0,1.0
contig_20327_4,0.0,0.0
contig_20202_4,0.0,0.0
contig_20125_2,0.0,1.0
contig_20125_3,0.0,1.0
contig_20125_1,0.0,0.0
contig_20125_4,0.0,1.0
contig_20125_5,0.0,0.0
contig_20368_1,0.0,1.0
contig_20368_3,0.0,0.0
contig_20368_2,0.0,1.0
contig_20268_1,0.0,0.0
contig_20128_5,0.0,0.0
contig_20128_4,0.0,0.0
contig_20128_3,0.0,0.0
contig_20128_2,0.0,0.0
contig_20128_1,0.0,0.0
contig_20163_4,0.0,0.0
contig_20163_5,0.0,0.0
contig_20163_1,2.0,1.0
contig_20163_2,1.0,1.0
contig_20163_3,2.0,1.0
contig_20268_5,0.0,0.0
contig_20165_4,0.0,0.0
contig_20165_5,0.0,0.0
contig_20165_2,0.0,0.0
contig_20165_3,0.0,0.0
contig_20165_1,0.0,0.0
contig_20320_1,19.0,0.0
contig_20320_3,9.0,1.0
contig_20320_2,11.0,1.0
contig_20320_4,2.0,1.0
contig_20122_1,0.0,1.0
contig_20122_3,5.0,1.0
contig_20122_2,3.0,1.0
contig_20122_5,3.0,1.0
contig_20122_4,3.0,1.0
contig_20122_7,2.0,0.0
contig_20122_6,8.0,1.0
contig_20363_2,1.0,0.0
contig_20363_3,1.0,0.0
contig_20363_1,0.0,1.0
contig_20361_1,1.0,0.0
contig_20361_2,1.0,0.0
contig_20361_3,0.0,0.0
contig_20367_2,0.0,0.0
contig_20367_1,0.0,0.0
contig_20322_4,7.0,1.0
contig_20322_3,11.0,1.0
contig_20322_2,17.0,0.0
contig_20322_1,4.0,1.0
contig_20365_2,3.0,1.0
contig_20365_3,0.0,1.0
contig_20365_4,0.0,1.0
contig_20365_5,0.0,1.0
contig_19982_9,3.0,0.0
contig_19982_8,0.0,0.0
contig_19955_9,1.0,1.0
contig_19955_8,0.0,1.0
contig_19982_3,0.0,1.0
contig_19982_2,1.0,1.0
contig_19982_1,5.0,1.0
contig_19955_4,0.0,0.0
contig_19982_7,0.0,0.0
contig_19982_6,0.0,0.0
contig_19982_5,0.0,0.0
contig_19982_4,1.0,1.0
contig_19980_8,0.0,0.0
contig_19980_5,0.0,0.0
contig_19980_4,0.0,0.0
contig_19980_7,0.0,0.0
contig_19980_6,0.0,0.0
contig_19980_1,0.0,1.0
contig_19980_3,0.0,0.0
contig_19980_2,1.0,1.0
contig_19957_1,0.0,0.0
contig_19957_3,1.0,0.0
contig_19957_2,0.0,0.0
contig_19957_5,0.0,0.0
contig_19957_4,0.0,0.0
contig_19957_7,0.0,0.0
contig_19957_6,0.0,0.0
contig_19957_9,0.0,1.0
contig_19957_8,0.0,0.0
contig_19949_12,0.0,0.0
contig_19949_13,1.0,0.0
contig_19949_10,0.0,0.0
contig_19949_11,0.0,0.0
