,0,1,2,3,4,5,6,7,8,9,10
contig_21022_4,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0
contig_20818_3,0.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_20818_2,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
contig_20818_1,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0
contig_20818_7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0
contig_20818_6,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0
contig_20818_5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
contig_20818_4,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_20818_9,4.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
contig_20818_8,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0
contig_20799_15,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0
contig_20799_14,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_20799_16,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0
contig_20799_11,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,8.0,0.0
contig_20799_10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_20799_13,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
contig_20799_12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
contig_21074_2,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
contig_21074_3,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21074_1,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20977_3,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
contig_20977_2,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0
contig_20977_1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0
contig_21076_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20975_8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
contig_21076_1,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
contig_21076_2,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
contig_21076_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20975_1,5.0,0.0,13.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0
contig_20975_3,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0
contig_20975_2,0.0,0.0,14.0,1.0,3.0,1.0,1.0,1.0,0.0,8.0,0.0
contig_20975_5,0.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
contig_20975_4,0.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
contig_20975_7,2.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0
contig_20975_6,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0
contig_21070_4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_20981_2,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
contig_21070_2,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
contig_21070_3,4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
contig_21070_1,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0
contig_21065_5,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_20823_11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
contig_20823_10,0.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
contig_21089_3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0
contig_20979_5,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
contig_21072_1,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
contig_20817_10,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
contig_21072_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0
contig_21072_4,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0
contig_20979_3,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
contig_20979_2,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
contig_20826_1,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
contig_20994_2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0,0.0
contig_20994_3,3.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,5.0,0.0
contig_20994_1,0.0,0.0,7.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_20994_4,7.0,0.0,10.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
contig_20994_5,1.0,0.0,8.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0
contig_20973_3,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0
contig_20973_2,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0
contig_20973_1,4.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0
contig_20973_4,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21089_1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
contig_20971_4,0.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0,1.0
contig_20971_1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_20971_3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_20971_2,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0
contig_20954_6,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
contig_20828_3,5.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
contig_20998_4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
contig_20998_2,7.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0
contig_20998_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
contig_20954_5,4.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
contig_20993_1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20993_3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20993_2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20993_5,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20993_4,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20954_1,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
contig_21188_2,0.0,0.0,17.0,0.0,3.0,1.0,2.0,0.0,0.0,12.0,0.0
contig_21188_3,2.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,6.0,1.0
contig_21188_1,7.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,8.0,1.0
contig_21188_4,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0
contig_20894_7,3.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
contig_21001_2,2.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
contig_21001_3,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
contig_21001_1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_21001_4,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
contig_21001_5,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21200_2,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21191_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_20894_6,3.0,0.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
contig_20991_4,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_20991_3,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0
contig_20991_2,10.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0
contig_20991_1,9.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0
contig_21046_4,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21046_1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21046_3,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
contig_21046_2,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21009_2,0.0,0.0,7.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0
contig_21009_3,6.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0
contig_21009_1,1.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0
contig_21009_4,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
contig_20977_4,3.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
contig_21040_3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
contig_21040_2,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
contig_21040_1,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0
contig_20894_4,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
contig_21006_1,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
contig_21006_3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21006_2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0
contig_21006_5,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21006_4,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21006_6,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
contig_20933_6,2.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0
contig_20933_5,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0
contig_20933_4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
contig_20933_3,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
