,0,1,2,3,4,5,6
contig_21729_6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_22115_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_22194_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_22115_3,1.0,7.0,6.0,0.0,7.0,1.0,0.0
contig_22115_2,0.0,7.0,0.0,1.0,5.0,1.0,0.0
contig_21621_10,0.0,3.0,0.0,1.0,0.0,1.0,0.0
contig_21621_11,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21621_12,0.0,5.0,0.0,1.0,2.0,1.0,0.0
contig_21621_13,0.0,2.0,0.0,0.0,1.0,1.0,0.0
contig_21961_2,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_22194_2,0.0,1.0,0.0,0.0,1.0,1.0,0.0
contig_21629_10,0.0,8.0,5.0,0.0,0.0,0.0,3.0
contig_22194_3,1.0,7.0,1.0,0.0,0.0,0.0,1.0
contig_21629_11,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_21614_8,0.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_21665_8,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_22190_1,0.0,2.0,0.0,1.0,1.0,1.0,0.0
contig_22190_2,0.0,0.0,0.0,1.0,0.0,1.0,2.0
contig_21614_9,29.0,0.0,32.0,0.0,4.0,7.0,0.0
contig_21721_7,0.0,0.0,0.0,1.0,1.0,1.0,0.0
contig_21721_6,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_21721_5,0.0,1.0,0.0,1.0,1.0,1.0,0.0
contig_21721_4,0.0,3.0,0.0,1.0,0.0,1.0,0.0
contig_21721_3,0.0,3.0,0.0,1.0,0.0,1.0,0.0
contig_21721_2,1.0,9.0,1.0,1.0,0.0,1.0,0.0
contig_21721_1,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21816_1,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_21723_1,0.0,4.0,2.0,0.0,4.0,1.0,2.0
contig_21814_1,1.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_21723_3,0.0,2.0,0.0,2.0,6.0,1.0,0.0
contig_21723_2,0.0,2.0,0.0,1.0,4.0,1.0,0.0
contig_21723_5,0.0,0.0,0.0,1.0,4.0,1.0,0.0
contig_21723_4,0.0,1.0,0.0,1.0,4.0,1.0,0.0
contig_21723_7,0.0,2.0,0.0,1.0,3.0,1.0,0.0
contig_21723_6,0.0,2.0,0.0,1.0,6.0,1.0,0.0
contig_21672_7,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_21672_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21736_4,0.0,7.0,0.0,1.0,0.0,1.0,0.0
contig_21614_4,0.0,4.0,0.0,0.0,0.0,1.0,0.0
contig_21736_3,0.0,6.0,1.0,1.0,1.0,0.0,0.0
contig_21672_3,1.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_21648_11,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21648_10,0.0,2.0,0.0,1.0,0.0,0.0,0.0
