,Position,value
contig_21315_3,0,0.87536639212
contig_21315_3,1,1.0
contig_21315_3,2,1.0
contig_21315_3,3,0.543024213703
contig_21315_3,4,1.0
contig_21315_3,5,1.0
contig_21315_3,6,1.0
contig_21315_3,7,1.0
contig_21315_3,8,1.0
contig_21315_3,9,1.0
contig_21315_3,10,1.0
contig_21315_3,11,1.0
contig_21315_3,12,1.0
contig_21315_3,13,1.0
contig_21315_3,14,1.0
contig_21315_3,15,1.0
contig_21315_3,16,0.0
contig_21315_3,17,1.0
contig_21315_3,18,1.0
contig_21315_3,19,1.0
contig_21315_3,20,1.0
contig_21315_3,21,1.0
contig_21315_3,22,0.00544551830382
contig_21315_3,23,1.0
contig_21315_3,24,1.0
contig_21315_3,25,0.0
contig_21315_3,26,1.0
contig_21315_3,27,1.0
contig_21315_3,28,1.0
contig_21315_3,29,1.0
contig_21315_3,30,1.0
contig_21315_3,31,0.0
contig_21315_3,32,1.0
contig_21315_3,33,1.0
contig_21315_3,34,0.0
contig_21315_3,35,1.0
contig_21315_3,36,1.0
contig_21315_3,37,0.0
contig_21315_3,38,1.0
contig_21315_3,39,1.0
contig_21315_3,40,0.0
contig_21315_3,41,3.59162642472e-09
contig_21315_3,42,2.08779074714e-05
contig_21315_3,43,0.00118130086525
contig_21315_3,44,1.0
contig_21315_3,45,1.0
contig_21315_3,46,0.0
contig_21315_3,47,4.80012115766e-08
contig_21315_3,48,7.79179835143e-11
contig_21315_3,49,3.67746585534e-14
contig_21315_3,50,1.0
contig_21315_3,51,1.0
contig_21315_3,52,4.52141498736e-05
contig_21315_3,53,1.0
contig_21315_3,54,1.0
contig_21315_3,55,3.12861641834e-08
contig_21315_3,56,0.771194243509
contig_21315_3,57,1.0
contig_21315_3,58,0.0
contig_21315_3,59,1.0
contig_21315_3,60,1.0
contig_21315_3,61,0.0
contig_21315_3,62,1.0
contig_21315_3,63,1.0
contig_21315_3,64,6.152856032e-07
contig_21315_3,65,1.0
contig_21315_3,66,1.0
contig_21315_3,67,1.0
contig_21315_3,68,0.000123857576327
contig_21315_3,69,2.851168892e-07
contig_21315_3,70,4.34108544659e-05
contig_21315_3,71,1.0
contig_21315_3,72,1.0
contig_21315_3,73,0.0
contig_21315_3,74,1.0
contig_21315_3,75,1.0
contig_21315_3,76,1.0
contig_21315_3,77,1.0
contig_21315_3,78,1.0
contig_21315_3,79,0.0
contig_21315_3,80,1.0
contig_21315_3,81,1.0
contig_21315_3,82,0.000767087773984
contig_21315_3,83,1.0
contig_21315_3,84,1.0
contig_21315_3,85,0.000234696894184
contig_21315_3,86,1.0
contig_21315_3,87,1.0
contig_21315_3,88,0.610548059391
contig_21315_3,89,1.0
contig_21315_3,90,1.0
contig_21315_3,91,1.0
contig_21315_3,92,1.0
contig_21315_3,93,1.0
contig_21315_3,94,0.0
contig_21315_3,95,1.0
contig_21315_3,96,1.0
contig_21315_3,97,6.22067935766e-11
contig_21315_3,98,1.0
contig_21315_3,99,1.0
contig_21315_3,100,2.71506153242e-11
contig_21315_3,101,1.0
contig_21315_3,102,1.0
contig_21315_3,103,1.12584550766e-12
contig_21315_3,104,1.0
contig_21315_3,105,1.0
contig_21315_3,106,0.0
contig_21315_3,107,1.0
contig_21315_3,108,1.0
contig_21315_3,109,0.0536487498397
contig_21315_3,110,1.0
contig_21315_3,111,0.0
contig_21315_3,112,0.0
contig_21315_3,113,1.0
contig_21315_3,114,1.0
contig_21315_3,115,0.0
contig_21315_3,116,1.0
contig_21315_3,117,1.0
contig_21315_3,118,0.0
contig_21315_3,119,1.0
contig_21315_3,120,1.0
contig_21315_3,121,3.1131307935e-08
contig_21315_3,122,1.0
contig_21315_3,123,1.0
contig_21315_3,124,5.93903769559e-11
contig_21315_3,125,1.0
contig_21315_3,126,1.0
contig_21315_3,127,4.26701111929e-12
contig_21315_3,128,1.0
contig_21315_3,129,1.0
contig_21315_3,130,0.11066701988
contig_21315_3,131,1.0
contig_21315_3,132,1.0
contig_21315_3,133,0.0
contig_21315_3,134,1.0
contig_21315_3,135,2.69407596535e-13
contig_21315_3,136,0.00703637853695
contig_21315_3,137,1.0
contig_21315_3,138,0.000253171910309
contig_21315_3,139,0.131754431191
contig_21315_3,140,1.0
contig_21315_3,141,1.0
contig_21315_3,142,4.56942735339e-07
contig_21315_3,143,1.0
contig_21315_3,144,0.00114543992454
contig_21315_3,145,0.0
contig_21315_3,146,3.96190871904e-06
contig_21315_3,147,3.61070290531e-07
contig_21315_3,148,1.0
contig_21315_3,149,0.745356387495
contig_21315_3,150,0.00326007888452
contig_21315_3,151,2.92864067213e-07
contig_21315_3,152,1.0
contig_21315_3,153,1.0
contig_21315_3,154,5.81568515783e-14
contig_21315_3,155,1.0
contig_21315_3,156,1.0
contig_21315_3,157,4.61280766381e-14
contig_21315_3,158,1.0
contig_21315_3,159,0.559986015075
contig_21315_3,160,0.000780480769603
contig_21315_3,161,1.0
contig_21315_3,162,1.0
contig_21315_3,163,1.0
contig_21315_3,164,1.0
contig_21315_3,165,1.0
contig_21315_3,166,0.0631106371847
contig_21315_3,167,1.0
contig_21315_3,168,1.0
contig_21315_3,169,1.0
contig_21315_3,170,1.0
contig_21315_3,171,1.0
contig_21315_3,172,1.628189091e-07
contig_21315_3,173,0.518632637093
contig_21315_3,174,1.0
contig_21315_3,175,0.484255378649
contig_21315_3,176,0.084283716653
contig_21315_3,177,0.0806937110043
contig_21315_3,178,3.12202333198e-10
contig_21315_3,179,1.0
contig_21315_3,180,1.0
contig_21315_3,181,1.0
contig_21315_3,182,1.0
contig_21315_3,183,1.0
contig_21315_3,184,0.0
contig_21315_3,185,1.0
contig_21315_3,186,0.0484362406634
contig_21315_3,187,4.18781475361e-15
contig_21315_3,188,1.0
contig_21315_3,189,1.0
contig_21315_3,190,1.25473307443e-07
contig_21315_3,191,1.0
contig_21315_3,192,0.404494954996
contig_21315_3,193,0.396485694796
contig_21315_3,194,1.0
contig_21315_3,195,1.0
contig_21315_3,196,0.189215714972
contig_21315_3,197,1.0
contig_21315_3,198,1.0
contig_21315_3,199,0.332785000276
contig_21315_3,200,1.0
contig_21315_3,201,1.0
contig_21315_3,202,0.0
contig_21315_3,203,1.0
contig_21315_3,204,1.0
contig_21315_3,205,1.0
contig_21315_3,206,1.0
contig_21315_3,207,1.0
contig_21315_3,208,0.970848734776
contig_21315_3,209,1.0
contig_21315_3,210,1.0
contig_21315_3,211,0.0149106032128
contig_21315_3,212,1.0
contig_21315_3,213,1.0
contig_21315_3,214,0.0145306359907
contig_21315_3,215,1.0
contig_21315_3,216,0.329968552714
contig_21315_3,217,1.0
contig_21315_3,218,1.0
contig_21315_3,219,1.0
contig_21315_3,220,1.0
contig_21315_3,221,1.0
contig_21315_3,222,1.0
contig_21315_3,223,0.341604307607
contig_21315_3,224,1.0
contig_21315_3,225,1.0
contig_21315_3,226,5.25168054332e-06
contig_21315_3,227,1.0
contig_21315_3,228,1.0
contig_21315_3,229,0.00176286702572
contig_21315_3,230,1.0
contig_21315_3,231,1.0
contig_21315_3,232,1.0
contig_21315_3,233,1.0
contig_21315_3,234,0.0417895685263
contig_21315_3,235,0.334135273685
contig_21315_3,236,1.0
contig_21315_3,237,1.0
contig_21315_3,238,0.0
contig_21315_3,239,1.0
contig_21315_3,240,0.87536639212
contig_21315_3,241,0.0
contig_21315_3,242,1.0
contig_21315_3,243,1.0
contig_21315_3,244,0.00151488970894
contig_21315_3,245,1.0
contig_21315_3,246,1.0
