,Position,Fa13.BD.MLB.DN.MAG5-A,Fa13.BD.MLB.DN.MAG5-C,Fa13.BD.MLB.DN.MAG5-G,Fa13.BD.MLB.DN.MAG5-T,Fa13.BD.MLB.SN.MAG5-A,Fa13.BD.MLB.SN.MAG5-C,Fa13.BD.MLB.SN.MAG5-G,Fa13.BD.MLB.SN.MAG5-T,Sp13.BD.MM15.SD.MAG5-A,Sp13.BD.MM15.SD.MAG5-C,Sp13.BD.MM15.SD.MAG5-G,Sp13.BD.MM15.SD.MAG5-T,Su13.BD.MM15.SN.C.MAG5-A,Su13.BD.MM15.SN.C.MAG5-C,Su13.BD.MM15.SN.C.MAG5-G,Su13.BD.MM15.SN.C.MAG5-T,Fa13.BD.MM15.DN.MAG5-A,Fa13.BD.MM15.DN.MAG5-C,Fa13.BD.MM15.DN.MAG5-G,Fa13.BD.MM15.DN.MAG5-T,Fa13.BD.MM110.SN.MAG5-A,Fa13.BD.MM110.SN.MAG5-C,Fa13.BD.MM110.SN.MAG5-G,Fa13.BD.MM110.SN.MAG5-T,Su13.BD.MM110.SD.MAG5-A,Su13.BD.MM110.SD.MAG5-C,Su13.BD.MM110.SD.MAG5-G,Su13.BD.MM110.SD.MAG5-T,Su13.BD.MM110.SN.C.MAG5-A,Su13.BD.MM110.SN.C.MAG5-C,Su13.BD.MM110.SN.C.MAG5-G,Su13.BD.MM110.SN.C.MAG5-T,Su13.BD.MM15.DN.MAG5-A,Su13.BD.MM15.DN.MAG5-C,Su13.BD.MM15.DN.MAG5-G,Su13.BD.MM15.DN.MAG5-T,Sp13.BD.MLB.SN.MAG5-A,Sp13.BD.MLB.SN.MAG5-C,Sp13.BD.MLB.SN.MAG5-G,Sp13.BD.MLB.SN.MAG5-T,Sp13.BD.MM15.SN.MAG5-A,Sp13.BD.MM15.SN.MAG5-C,Sp13.BD.MM15.SN.MAG5-G,Sp13.BD.MM15.SN.MAG5-T,Fa13.BD.MM110.DN.MAG5-A,Fa13.BD.MM110.DN.MAG5-C,Fa13.BD.MM110.DN.MAG5-G,Fa13.BD.MM110.DN.MAG5-T,Fa13.BD.MM15.SN.MAG5-A,Fa13.BD.MM15.SN.MAG5-C,Fa13.BD.MM15.SN.MAG5-G,Fa13.BD.MM15.SN.MAG5-T,Sp13.BD.MM110.SD.MAG5-A,Sp13.BD.MM110.SD.MAG5-C,Sp13.BD.MM110.SD.MAG5-G,Sp13.BD.MM110.SD.MAG5-T,Fa13.BD.MM15.SD.MAG5-A,Fa13.BD.MM15.SD.MAG5-C,Fa13.BD.MM15.SD.MAG5-G,Fa13.BD.MM15.SD.MAG5-T,Su13.BD.MLB.SD.C.MAG5-A,Su13.BD.MLB.SD.C.MAG5-C,Su13.BD.MLB.SD.C.MAG5-G,Su13.BD.MLB.SD.C.MAG5-T,Sp13.BD.MM110.DD.MAG5-A,Sp13.BD.MM110.DD.MAG5-C,Sp13.BD.MM110.DD.MAG5-G,Sp13.BD.MM110.DD.MAG5-T,Su13.BD.MM110.DCMD.MAG5-A,Su13.BD.MM110.DCMD.MAG5-C,Su13.BD.MM110.DCMD.MAG5-G,Su13.BD.MM110.DCMD.MAG5-T,Sp13.BD.MM110.SN.MAG5-A,Sp13.BD.MM110.SN.MAG5-C,Sp13.BD.MM110.SN.MAG5-G,Sp13.BD.MM110.SN.MAG5-T,Su13.BD.MM15.SD.MAG5-A,Su13.BD.MM15.SD.MAG5-C,Su13.BD.MM15.SD.MAG5-G,Su13.BD.MM15.SD.MAG5-T,Sp13.BD.MM15.DD.A.MAG5-A,Sp13.BD.MM15.DD.A.MAG5-C,Sp13.BD.MM15.DD.A.MAG5-G,Sp13.BD.MM15.DD.A.MAG5-T,Fa13.BD.MM110.SD.MAG5-A,Fa13.BD.MM110.SD.MAG5-C,Fa13.BD.MM110.SD.MAG5-G,Fa13.BD.MM110.SD.MAG5-T,Su13.BD.MLB.DD.MAG5-A,Su13.BD.MLB.DD.MAG5-C,Su13.BD.MLB.DD.MAG5-G,Su13.BD.MLB.DD.MAG5-T
contig_19336_2,1,5,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
contig_19336_2,72,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,2,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,1,0,0,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contig_19336_2,108,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,1,0,4,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_19336_2,111,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,1,0,2,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_19336_2,112,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,13,0,0,0,2,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_19336_2,126,0,0,0,3,0,1,0,4,0,0,0,0,0,1,0,0,0,6,0,0,0,4,0,0,0,2,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_19336_2,129,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,4,0,0,0,2,0,0,0,5,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_19336_2,133,0,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,6,0,0,4,0,0,0,2,0,0,0,4,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_19336_2,136,0,0,4,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,6,0,0,4,0,0,0,2,0,0,0,4,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_19336_2,141,4,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,4,0,0,0,2,0,1,0,4,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
