,Position,Fa13.BD.MM110.SD.MAG9-A,Fa13.BD.MM110.SD.MAG9-C,Fa13.BD.MM110.SD.MAG9-G,Fa13.BD.MM110.SD.MAG9-T,Sp13.BD.MM110.SD.MAG9-A,Sp13.BD.MM110.SD.MAG9-C,Sp13.BD.MM110.SD.MAG9-G,Sp13.BD.MM110.SD.MAG9-T,Sp13.BD.MM15.SN.MAG9-A,Sp13.BD.MM15.SN.MAG9-C,Sp13.BD.MM15.SN.MAG9-G,Sp13.BD.MM15.SN.MAG9-T,Su13.BD.MLB.DD.MAG9-A,Su13.BD.MLB.DD.MAG9-C,Su13.BD.MLB.DD.MAG9-G,Su13.BD.MLB.DD.MAG9-T,Sp13.BD.MM15.DD.A.MAG9-A,Sp13.BD.MM15.DD.A.MAG9-C,Sp13.BD.MM15.DD.A.MAG9-G,Sp13.BD.MM15.DD.A.MAG9-T,Sp13.BD.MM110.SN.MAG9-A,Sp13.BD.MM110.SN.MAG9-C,Sp13.BD.MM110.SN.MAG9-G,Sp13.BD.MM110.SN.MAG9-T,Fa13.BD.MM15.DN.MAG9-A,Fa13.BD.MM15.DN.MAG9-C,Fa13.BD.MM15.DN.MAG9-G,Fa13.BD.MM15.DN.MAG9-T,Sp13.BD.MM110.DD.MAG9-A,Sp13.BD.MM110.DD.MAG9-C,Sp13.BD.MM110.DD.MAG9-G,Sp13.BD.MM110.DD.MAG9-T,Su13.BD.MM110.DCMD.MAG9-A,Su13.BD.MM110.DCMD.MAG9-C,Su13.BD.MM110.DCMD.MAG9-G,Su13.BD.MM110.DCMD.MAG9-T,Su13.BD.MLB.SD.C.MAG9-A,Su13.BD.MLB.SD.C.MAG9-C,Su13.BD.MLB.SD.C.MAG9-G,Su13.BD.MLB.SD.C.MAG9-T,Su13.BD.MM110.SD.MAG9-A,Su13.BD.MM110.SD.MAG9-C,Su13.BD.MM110.SD.MAG9-G,Su13.BD.MM110.SD.MAG9-T,Sp13.BD.MM15.SD.MAG9-A,Sp13.BD.MM15.SD.MAG9-C,Sp13.BD.MM15.SD.MAG9-G,Sp13.BD.MM15.SD.MAG9-T,Sp13.BD.MLB.SN.MAG9-A,Sp13.BD.MLB.SN.MAG9-C,Sp13.BD.MLB.SN.MAG9-G,Sp13.BD.MLB.SN.MAG9-T,Fa13.BD.MM15.SN.MAG9-A,Fa13.BD.MM15.SN.MAG9-C,Fa13.BD.MM15.SN.MAG9-G,Fa13.BD.MM15.SN.MAG9-T,Fa13.BD.MLB.DN.MAG9-A,Fa13.BD.MLB.DN.MAG9-C,Fa13.BD.MLB.DN.MAG9-G,Fa13.BD.MLB.DN.MAG9-T,Su13.BD.MM15.SN.C.MAG9-A,Su13.BD.MM15.SN.C.MAG9-C,Su13.BD.MM15.SN.C.MAG9-G,Su13.BD.MM15.SN.C.MAG9-T,Fa13.BD.MM15.SD.MAG9-A,Fa13.BD.MM15.SD.MAG9-C,Fa13.BD.MM15.SD.MAG9-G,Fa13.BD.MM15.SD.MAG9-T,Su13.BD.MM15.DN.MAG9-A,Su13.BD.MM15.DN.MAG9-C,Su13.BD.MM15.DN.MAG9-G,Su13.BD.MM15.DN.MAG9-T,Fa13.BD.MLB.SN.MAG9-A,Fa13.BD.MLB.SN.MAG9-C,Fa13.BD.MLB.SN.MAG9-G,Fa13.BD.MLB.SN.MAG9-T,Su13.BD.MM110.SN.C.MAG9-A,Su13.BD.MM110.SN.C.MAG9-C,Su13.BD.MM110.SN.C.MAG9-G,Su13.BD.MM110.SN.C.MAG9-T,Fa13.BD.MM110.DN.MAG9-A,Fa13.BD.MM110.DN.MAG9-C,Fa13.BD.MM110.DN.MAG9-G,Fa13.BD.MM110.DN.MAG9-T,Fa13.BD.MM110.SN.MAG9-A,Fa13.BD.MM110.SN.MAG9-C,Fa13.BD.MM110.SN.MAG9-G,Fa13.BD.MM110.SN.MAG9-T,Su13.BD.MM15.SD.MAG9-A,Su13.BD.MM15.SD.MAG9-C,Su13.BD.MM15.SD.MAG9-G,Su13.BD.MM15.SD.MAG9-T
contig_21633_8,0,0,0,0,0,0,17,0,0,0,17,1,0,0,4,0,0,0,9,1,1,1,9,0,0,0,3,0,0,2,15,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,17,2,0,3,8,6,1,0,5,0,0,0,2,0,1,0,22,0,0,0,1,0,0,0,6,0,0,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,1,0
contig_21633_8,1,6,0,0,0,19,0,0,0,22,0,0,0,4,0,0,0,14,0,0,0,10,0,0,0,4,0,0,0,25,0,0,1,0,0,0,0,9,0,0,0,3,0,0,0,18,0,0,0,42,0,0,0,5,0,0,0,3,0,0,0,23,0,0,0,3,0,0,0,6,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
contig_21633_8,2,0,0,0,6,0,0,0,19,0,0,0,22,0,0,0,4,0,0,0,14,0,0,0,10,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,18,0,0,0,44,0,0,0,5,0,0,0,3,0,0,0,23,0,0,0,3,0,0,0,6,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9
contig_21633_8,3,0,0,6,0,0,0,17,0,0,0,22,0,0,0,4,0,0,0,14,0,0,0,10,0,0,0,4,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,18,0,0,0,44,0,0,0,5,0,0,0,3,0,0,0,23,0,0,0,3,0,0,0,6,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9,0
contig_21633_8,4,0,0,6,0,0,0,17,0,0,0,22,0,0,0,4,0,0,0,14,0,0,0,10,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,17,0,0,0,44,0,0,0,5,0,0,0,3,0,0,0,23,0,0,0,4,0,0,0,6,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9,0
contig_21633_8,5,0,6,0,0,0,17,0,0,0,22,0,0,0,4,0,0,0,13,0,0,0,10,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,17,0,0,0,43,0,0,0,3,0,0,0,3,0,0,0,23,0,0,0,4,0,0,0,6,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,6,0,6,0,0,0,17,0,0,0,23,0,0,0,2,0,2,0,13,0,0,0,10,0,0,0,3,0,0,1,26,0,0,0,0,0,0,0,8,0,1,0,3,0,0,0,16,0,0,0,43,0,0,0,3,0,0,0,3,0,0,0,23,0,0,0,4,0,0,0,6,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,7,0,0,0,6,0,0,0,17,0,0,0,23,0,0,0,4,0,0,0,12,0,0,0,10,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,15,0,0,0,43,0,0,0,3,0,0,0,3,0,0,0,24,0,0,0,4,0,0,0,6,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9
contig_21633_8,8,0,6,0,0,0,17,0,0,0,23,0,0,0,4,0,0,0,12,0,0,0,10,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,14,0,0,0,43,0,0,0,3,0,0,0,3,0,0,0,24,0,0,0,4,0,0,0,6,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,9,0,6,0,0,2,14,0,0,4,19,0,0,0,4,0,0,4,8,0,0,1,9,0,0,0,4,0,0,9,18,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,14,0,0,27,16,0,0,0,3,0,0,1,2,0,0,0,23,0,0,0,4,0,0,0,7,0,0,4,6,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,9,0,0
