contig contig_geneID GC Genome
Ga0194086_1001 Ga0194086_10011 0.639 133656.assembled.gff
Ga0194086_1001 Ga0194086_10012 0.591 133656.assembled.gff
Ga0194086_1001 Ga0194086_10013 0.661 133656.assembled.gff
Ga0194086_1001 Ga0194086_10014 0.627 133656.assembled.gff
Ga0194086_1001 Ga0194086_10015 0.626 133656.assembled.gff
Ga0194086_1001 Ga0194086_10016 0.615 133656.assembled.gff
Ga0194086_1001 Ga0194086_10017 0.639 133656.assembled.gff
Ga0194086_1001 Ga0194086_10018 0.636 133656.assembled.gff
Ga0194086_1002 Ga0194086_10021 0.685 133656.assembled.gff
Ga0194086_1002 Ga0194086_10022 0.505 133656.assembled.gff
Ga0194086_1002 Ga0194086_10023 0.58 133656.assembled.gff
Ga0194086_1002 Ga0194086_10024 0.502 133656.assembled.gff
Ga0194086_1002 Ga0194086_10025 0.648 133656.assembled.gff
Ga0194086_1003 Ga0194086_10031 0.645 133656.assembled.gff
Ga0194086_1003 Ga0194086_10032 0.647 133656.assembled.gff
Ga0194086_1003 Ga0194086_10033 0.665 133656.assembled.gff
Ga0194086_1003 Ga0194086_10034 0.599 133656.assembled.gff
Ga0194086_1003 Ga0194086_10035 0.659 133656.assembled.gff
Ga0194086_1003 Ga0194086_10036 0.609 133656.assembled.gff
Ga0194086_1004 Ga0194086_10041 0.619 133656.assembled.gff
Ga0194086_1004 Ga0194086_10042 0.65 133656.assembled.gff
Ga0194086_1004 Ga0194086_10043 0.598 133656.assembled.gff
Ga0194086_1004 Ga0194086_10044 0.643 133656.assembled.gff
Ga0194086_1004 Ga0194086_10045 0.59 133656.assembled.gff
Ga0194086_1005 Ga0194086_10051 0.567 133656.assembled.gff
Ga0194086_1005 Ga0194086_10052 0.552 133656.assembled.gff
Ga0194086_1005 Ga0194086_10053 0.536 133656.assembled.gff
Ga0194086_1005 Ga0194086_10054 0.485 133656.assembled.gff
Ga0194086_1006 Ga0194086_10061 0.572 133656.assembled.gff
Ga0194086_1006 Ga0194086_10062 0.553 133656.assembled.gff
Ga0194086_1006 Ga0194086_10063 0.559 133656.assembled.gff
Ga0194086_1006 Ga0194086_10064 0.581 133656.assembled.gff
Ga0194086_1006 Ga0194086_10065 0.595 133656.assembled.gff
Ga0194086_1006 Ga0194086_10066 0.608 133656.assembled.gff
Ga0194086_1007 Ga0194086_10071 0.594 133656.assembled.gff
Ga0194086_1007 Ga0194086_10072 0.609 133656.assembled.gff
Ga0194086_1007 Ga0194086_10073 0.648 133656.assembled.gff
Ga0194086_1007 Ga0194086_10074 0.605 133656.assembled.gff
Ga0194086_1007 Ga0194086_10076 0.544 133656.assembled.gff
Ga0194086_1007 Ga0194086_10077 0.553 133656.assembled.gff
Ga0194086_1007 Ga0194086_10078 0.541 133656.assembled.gff
Ga0194086_1007 Ga0194086_10079 0.537 133656.assembled.gff
Ga0194086_1007 Ga0194086_100710 0.535 133656.assembled.gff
Ga0194086_1008 Ga0194086_10081 0.643 133656.assembled.gff
Ga0194086_1008 Ga0194086_10082 0.521 133656.assembled.gff
Ga0194086_1008 Ga0194086_10083 0.553 133656.assembled.gff
Ga0194086_1008 Ga0194086_10084 0.622 133656.assembled.gff
Ga0194086_1008 Ga0194086_10085 0.657 133656.assembled.gff
Ga0194086_1009 Ga0194086_10091 0.533 133656.assembled.gff
Ga0194086_1009 Ga0194086_10092 0.635 133656.assembled.gff
Ga0194086_1009 Ga0194086_10093 0.638 133656.assembled.gff
Ga0194086_1009 Ga0194086_10094 0.612 133656.assembled.gff
Ga0194086_1010 Ga0194086_10101 0.582 133656.assembled.gff
Ga0194086_1010 Ga0194086_10102 0.587 133656.assembled.gff
Ga0194086_1010 Ga0194086_10103 0.609 133656.assembled.gff
Ga0194086_1010 Ga0194086_10104 0.642 133656.assembled.gff
Ga0194086_1010 Ga0194086_10105 0.603 133656.assembled.gff
Ga0194086_1011 Ga0194086_10111 0.607 133656.assembled.gff
Ga0194086_1011 Ga0194086_10112 0.624 133656.assembled.gff
Ga0194086_1011 Ga0194086_10113 0.644 133656.assembled.gff
Ga0194086_1011 Ga0194086_10114 0.616 133656.assembled.gff
Ga0194086_1012 Ga0194086_10121 0.668 133656.assembled.gff
Ga0194086_1012 Ga0194086_10122 0.64 133656.assembled.gff
Ga0194086_1012 Ga0194086_10124 0.619 133656.assembled.gff
Ga0194086_1012 Ga0194086_10125 0.629 133656.assembled.gff
Ga0194086_1012 Ga0194086_10126 0.628 133656.assembled.gff
Ga0194086_1013 Ga0194086_10131 0.641 133656.assembled.gff
Ga0194086_1013 Ga0194086_10132 0.653 133656.assembled.gff
Ga0194086_1013 Ga0194086_10133 0.655 133656.assembled.gff
Ga0194086_1013 Ga0194086_10134 0.628 133656.assembled.gff
Ga0194086_1014 Ga0194086_10141 0.597 133656.assembled.gff
Ga0194086_1014 Ga0194086_10142 0.636 133656.assembled.gff
Ga0194086_1014 Ga0194086_10143 0.579 133656.assembled.gff
Ga0194086_1014 Ga0194086_10144 0.598 133656.assembled.gff
Ga0194086_1014 Ga0194086_10145 0.57 133656.assembled.gff
Ga0194086_1014 Ga0194086_10146 0.598 133656.assembled.gff
Ga0194086_1015 Ga0194086_10151 0.641 133656.assembled.gff
Ga0194086_1015 Ga0194086_10152 0.629 133656.assembled.gff
Ga0194086_1015 Ga0194086_10153 0.601 133656.assembled.gff
Ga0194086_1015 Ga0194086_10154 0.625 133656.assembled.gff
Ga0194086_1015 Ga0194086_10155 0.594 133656.assembled.gff
