bins	Fa13_BD_MLB_DN	Fa13_BD_MLB_SN	Fa13_BD_MM110_DN	Fa13_BD_MM110_SD	Fa13_BD_MM110_SN	Fa13_BD_MM15_DN	Fa13_BD_MM15_SD	Fa13_BD_MM15_SN	Sp13_BD_MLB_SN	Sp13_BD_MM110_DD	Sp13_BD_MM110_SD	Sp13_BD_MM110_SN	Sp13_BD_MM15_SD	Sp13_BD_MM15_SN	Su13_BD_MLB_DD	Su13_BD_MLB_SD_C	Su13_BD_MM110_DCMD	Su13_BD_MM110_SD	Su13_BD_MM110_SN_C	Su13_BD_MM15_DN	Su13_BD_MM15_SD	Su13_BD_MM15_SN_C
Fa13.BD.MLB.DN.fa_MC	22.7528775658	41.7041071384	5.9262686818	3.11242740286	2.52600860811	5.56123765343	3.56857180237	4.61707396789	8.25493509953	14.6568575951	14.7230137773	9.39410203412	6.87351331289	8.01907622235	6.49157219097	7.60117194728	0.891606288276	3.35142101357	2.70108531538	5.00929025699	3.83516992755	6.93847313993
Sp13.BD.MM110.DD.fa_MC	3.63964997936	5.02211964828	4.31835422131	2.27319978332	1.85064094206	5.10336974695	2.26566090709	2.64197634371	7.18018193838	17.821135803	15.8393521375	9.00660084364	5.61338238694	6.46501071364	1.80456716588	3.06640046277	0.836040641012	2.3376590663	1.97137002772	6.59379382873	2.55183297526	4.86081239207
Su13.BD.MLB.SD.C_bin2.fa	14.9829820135	23.5760172152	5.39992009709	4.69422156835	3.90530714326	5.69202769047	4.34653921344	4.63778188205	21.4398515111	13.5128296991	12.3686922127	7.59884636417	9.55147599343	13.1003332135	8.26084389001	36.6423803051	1.25080531026	4.2101243081	3.49901574969	6.34323500808	4.95307376909	10.1068796407
Su13.BD.MM110.DCMD_bin2.fa	61.3718275493	105.416079551	144.15568465	249.280254377	221.221874364	204.63645841	225.362821887	217.080157268	49.8725166586	303.240684371	354.759728888	218.458745498	110.242211279	89.2108183986	34.2572902781	45.7353835784	23.2673905914	168.987495166	164.315151443	227.13213932	161.532421853	280.58320781
Su13.BD.MM15.SN.C_bin1_bin2_bin6_bin10_MC1	6.14384928989	9.30363063383	5.79744419858	5.11270191871	4.37793547961	7.71668799942	5.11980416307	5.32294688272	21.8792863436	34.7787953428	29.6560144855	12.7904375714	18.3677011245	21.2575314225	3.67224628957	10.392663497	1.86529013048	6.94450249943	5.79095936672	15.1777919178	9.07372610987	19.3630078431
Su13.BD.MM15.SN.C_bin1_bin2_bin6_bin10_MC2	9.182286641	15.4296558716	12.6797484758	8.05847686964	7.35773825084	11.0251868683	8.36668134287	8.36699028712	6.78539471023	26.457212964	30.3210262162	20.7590402794	8.09822030012	7.97738390557	3.71054824478	3.81799502966	1.24894435821	11.9164881284	11.8217672305	10.5283217553	9.55057551086	17.6346726741
bin13_Fa13.BD.MLB.SN.fa	12.1612333755	20.4049555272	3.91333075892	2.69910742895	2.12462096249	3.29390385009	2.28966790821	2.60470090913	6.25725225034	3.90788035536	4.23412490275	2.98475082907	2.73529468225	3.57597786744	4.66526568396	9.14562863018	1.04451302982	2.23167291573	1.66975859748	2.65939521151	1.91716773466	3.23702217316
bin15_Fa13.BD.MLB.SN.fa	11.3240178158	17.17247673	5.86617087137	8.50960365914	6.33000953545	7.59211178939	8.00219849197	7.61110692388	6.23175968904	6.33517911203	6.50257589663	4.36729181036	4.05223091991	4.74019899719	4.14152587686	1.9596467572	1.0332205745	3.95080946597	3.63794468454	3.6022809812	2.75714596145	4.3806237996
bin19_Fa13.BD.MLB.SN.fa	40.227752712	79.7765488711	1.51855817521	1.80216104336	1.22788287381	2.94310697658	2.2553026487	2.93926900555	1.24602300831	0.935999847079	1.22687045049	1.15760390902	1.00717789489	1.2557231939	1.96595779451	2.89987636159	0.689983807281	1.47077142416	0.933652101989	1.52569695212	1.78348633915	2.99422639158
bin31_Fa13.BD.MM110.DN.fa	10.3809554963	17.0851751605	28.1253467728	5.9677512322	4.83501954781	16.7010517582	7.59318908211	10.4691295031	7.29277149334	46.6486287232	64.6466889273	50.4050922539	14.0426737986	11.9470173121	3.54199156456	3.31371743748	1.32749579464	7.10517863987	6.49121170815	8.07543964165	4.687386717	8.33970165051
bin37_Sp13.BD.MM15.SD.fa	8.00784804145	13.4128772747	20.5174309241	3.28879036307	2.7105006571	10.001290966	4.39261460428	5.47192361248	6.13534095112	48.8820132775	51.0158517034	34.0253558211	13.5506179806	11.8357576257	3.27645906994	3.56150403472	1.11810667194	3.41325837487	3.12909309603	9.36650677638	3.91125064832	7.79275268982
bin63_Sp13.BD.MM110.SD.fa	4.42972125627	5.85048064791	3.94274300769	3.00822265081	2.43135818909	6.47843444925	2.92216398678	3.38119544754	10.0187310795	15.4848811048	15.2518871243	8.95208463912	4.73555976128	5.99279357033	2.19367503463	3.70919428706	0.969467084887	2.41212687667	2.03860448843	7.4905829205	2.39923328317	4.65964469925
