bins	Fa13_BD_MLB_DN	Fa13_BD_MLB_SN	Fa13_BD_MM110_DN	Fa13_BD_MM110_SD	Fa13_BD_MM110_SN	Fa13_BD_MM15_DN	Fa13_BD_MM15_SD	Fa13_BD_MM15_SN	Sp13_BD_MLB_SN	Sp13_BD_MM110_DD	Sp13_BD_MM110_SD	Sp13_BD_MM110_SN	Sp13_BD_MM15_SD	Sp13_BD_MM15_SN	Su13_BD_MLB_DD	Su13_BD_MLB_SD_C	Su13_BD_MM110_DCMD	Su13_BD_MM110_SD	Su13_BD_MM110_SN_C	Su13_BD_MM15_DN	Su13_BD_MM15_SD	Su13_BD_MM15_SN_C
B21_Fa13.BD.MLB.SN_rebin4	6.6140571792	9.04264399146	14.6644993316	12.5019100992	9.93146805216	10.4882276388	10.7613637586	9.96552844753	9.82490864453	13.9681013971	14.8174049996	10.6331235869	6.84254815437	7.47947824783	4.6698021878	3.92838271838	3.16497327071	7.88689674851	6.41046607047	8.55816000898	5.31160075996	7.55699251212
B22_Fa13.BD.MLB.SN_rebin5	8.21490525166	10.4430322997	13.2746430622	8.58067847981	6.77103489979	8.48066801395	6.37387466209	6.41412080308	11.4462061704	8.68366325971	10.389651451	8.07838237537	5.77719966044	6.72499361316	5.86357655576	6.81833495173	3.84820239511	7.48409959381	5.33193004714	8.07621624056	5.85154800975	7.62848587643
B28_Fa13.BD.MM110.DN_rebin2	8.27824463463	12.3292288617	19.1100061235	10.9678144831	8.55656892194	12.0371318198	8.88611508254	9.46387329965	10.1257073132	21.8166361176	26.229266189	19.555310793	9.37145893736	8.56531639521	5.6371212078	5.35125495699	3.64959538976	13.5468591846	10.7548690126	10.5335584593	7.84336019178	11.7268142454
B2_Fa13.BD.MLB.DN_rebin10	12.2326525417	15.2061672149	7.41667262566	8.03887643043	5.9521771263	7.45920203109	5.29452175652	5.21451620382	4.27019745012	5.30286442976	6.839114737	6.44097669077	4.4349342243	4.57794475342	4.7885591341	4.2912509147	3.54207794515	7.90217973157	4.95985467073	7.37634165577	5.71012502423	7.22323362645
B38_Sp13.BD.MM110.DD_rebin5	6.46137534228	8.30776195074	15.1264252793	9.11979454423	7.22039921864	10.0949596804	6.7438555823	6.67995726025	21.0026139052	14.942388486	15.6129167609	11.1938500554	7.7877537896	9.93056740903	5.87773308335	6.85068499733	3.91379508403	7.17627643934	5.58281424653	9.52851539284	5.44591000902	8.34419462661
B4_Fa13.BD.MLB.DN_rebin2	8.68176952109	12.1814411227	12.1380618137	7.16703988911	5.68776196808	7.45463427241	5.65266682766	5.75427620101	10.9575942255	17.3399850858	18.6099326937	13.0719847923	6.5277558392	6.82631674065	4.52010214101	5.09193850046	2.54326684216	7.77329038296	6.4339388106	7.19937094407	5.04024672254	7.55492503265
B52_Sp13.BD.MM15.SD_rebin1	5.99198858332	9.18809516176	11.8499673151	5.58156623892	4.6198186749	7.05997907352	4.94682745317	4.9948768012	8.31603721631	19.1965531558	20.0789662757	14.2047665971	6.64709995199	6.67860368385	3.36489589776	3.67184915371	2.05018048071	5.62481556574	4.65966453165	6.68769962577	4.13894898795	6.39254440917
B58_Su13.BD.MLB.SD.C_rebin3	8.39389683747	11.8129315953	12.9894756649	10.2066445809	8.28730408882	10.1801527056	8.16451354954	7.99113129649	23.0519598087	18.424221845	18.8426213917	12.7970713308	9.94670004433	12.5406651203	5.81117025625	9.98456553752	3.13922958138	8.33613397734	6.40031191616	11.1973001943	7.13628669276	11.2982284241
B63_Su13.BD.MM110.DCMD_rebin1	30.4777523714	49.0354216721	35.1388920901	53.9883139955	48.0221666962	47.3568329857	48.7518650238	49.0843908087	21.1717616334	72.5544099616	78.9783349962	48.3084266289	32.8542780087	30.2383792395	16.8998021577	22.9054391782	6.97982835365	39.4611475816	27.9599003171	52.6578690879	38.3163377802	48.5589281441
B72-73_Su13.BD.MM15.SN.C_rebin5-6_refined1	6.73687974393	9.67864955631	14.134266343	9.83619255362	7.94801441712	9.77420557619	7.62333534053	7.37479288668	22.1835554076	20.5016548533	19.9127515578	12.3744200278	11.5070540765	14.2219305712	5.1840079545	9.77870730748	3.47791127573	9.15904728024	7.07032054304	11.0298953845	7.51202193495	11.2299536753
B72-73_Su13.BD.MM15.SN.C_rebin5-6_refined2	7.77363897536	12.1189732075	13.4332106043	8.32030895554	6.82446385019	9.42756751572	7.05120490537	7.19286380082	9.97873756731	21.6249938079	23.6207476221	16.1689748747	7.65144530868	7.64860563617	4.22607835369	4.45934831719	2.9107772395	10.0372330585	8.73041497238	9.2861726355	6.88996602771	9.72063563225
