bins	Fa13_BD_MLB_DN	Fa13_BD_MLB_SN	Fa13_BD_MM110_DN	Fa13_BD_MM110_SD	Fa13_BD_MM110_SN	Fa13_BD_MM15_DN	Fa13_BD_MM15_SD	Fa13_BD_MM15_SN	Sp13_BD_MLB_SN	Sp13_BD_MM110_DD	Sp13_BD_MM110_SD	Sp13_BD_MM110_SN	Sp13_BD_MM15_SD	Sp13_BD_MM15_SN	Su13_BD_MLB_DD	Su13_BD_MLB_SD_C	Su13_BD_MM110_DCMD	Su13_BD_MM110_SD	Su13_BD_MM110_SN_C	Su13_BD_MM15_DN	Su13_BD_MM15_SD	Su13_BD_MM15_SN_C
Fa13.BD.MLB.DN.fa_MC	0.188230674343	0.265843741744	0.0157477021097	0.00491903252048	0.00446756884306	0.021570168789	0.0144602821643	0.0235028905774	0.0423055159001	0.0369546098788	0.0298525446825	0.0252839349184	0.0362398663714	0.0460620145771	0.082583951573	0.0778735029463	0.0017035245556	0.00582044775768	0.00533382887246	0.0181272508479	0.02174701718	0.0313699288483
Sp13.BD.MM110.DD.fa_MC	0.0396579634166	0.0412081731746	0.0264444958992	0.00805524688262	0.00729665692187	0.0528220715446	0.0156891614263	0.0236549415609	0.0510486784423	0.155051456528	0.113527822884	0.0872490092547	0.0709568870335	0.0755191928458	0.0188181613401	0.0362377288478	0.00480611909484	0.0119326584815	0.0135856146866	0.0773251704334	0.0257986973494	0.0433140919514
Su13.BD.MLB.SD.C_bin2.fa	0.0960903851993	0.115451676016	0.00551013442581	0.00457463024691	0.00411033737088	0.00936222936855	0.00655469330025	0.00878279755431	0.076169738345	0.0188942538552	0.0114280541047	0.00821979899183	0.0388834575649	0.054908711226	0.0884814105953	0.376587069299	0.00209882964896	0.00540204693959	0.00520971143328	0.011500169828	0.0182968742849	0.0334829904013
Su13.BD.MM110.DCMD_bin2.fa	0.0160852609554	0.0214178338627	0.0412757770439	0.0652645142063	0.0697617464378	0.0522107371686	0.0707924003193	0.0670673066431	0.0144799515393	0.0563522517163	0.0568314964769	0.0500824719821	0.0403017527798	0.0316534029379	0.0149821402495	0.0161595030265	0.0244510280591	0.046608211218	0.063575977795	0.0597936917286	0.0536513113226	0.0672012325313
Su13.BD.MM15.SN.C_bin1_bin2_bin6_bin10_MC1	0.0221452750766	0.0248787219331	0.00949415181714	0.0118137145133	0.0126000571065	0.0250258119119	0.0173273118164	0.0181703109707	0.083961606097	0.106102589723	0.0742965248775	0.0391219000287	0.0986793206875	0.106706486827	0.0196182829395	0.056353942016	0.0152556707529	0.0271978477647	0.0300866767355	0.0667686742137	0.0514128097321	0.0829823124594
Su13.BD.MM15.SN.C_bin1_bin2_bin6_bin10_MC2	0.0431423143575	0.0552669438735	0.0481437149536	0.0329625306634	0.0374635215221	0.0446192981683	0.0425363826453	0.0409991571369	0.0237035729096	0.0672520709532	0.068203185469	0.0672012422613	0.0359923460776	0.0341802764597	0.0266036583695	0.0210153448884	0.00693850283862	0.0541681058846	0.076635692652	0.0436824413669	0.0548970152862	0.0743926812626
bin13_Fa13.BD.MLB.SN.fa	0.222485536649	0.292439419504	0.00655352050015	0.00455920593968	0.0033613353567	0.0123663158605	0.00725923299766	0.0137251795018	0.0363747733472	0.00516860824527	0.00394547896062	0.00298864988176	0.0121788363999	0.0212650671344	0.111193802888	0.209001017862	0.0015835476227	0.00302583045399	0.00230889535207	0.00555274028628	0.00644721025371	0.0162157950028
bin15_Fa13.BD.MLB.SN.fa	0.172435640035	0.203169757899	0.0263799345836	0.052961882493	0.0426152975518	0.0491140675389	0.0619231073102	0.0607579145847	0.0397642245355	0.00971208600443	0.00829244010224	0.00760821975486	0.0244681693659	0.0294022956012	0.0919216068913	0.0148019092831	0.00506380517844	0.0201297556364	0.0262797656964	0.00903800457563	0.0196984898589	0.0244616255194
bin19_Fa13.BD.MLB.SN.fa	0.350434658622	0.535994120912	5.39285887774e-05	0.00241685493496	0.000641283230542	0.0121469426751	0.0125192381679	0.0194063775283	0.00192196453832	1.17358670054e-05	1.40931899044e-05	6.62355095916e-06	0.000182151101492	0.00140370542532	0.0146341503094	0.0268878864541	1.87925463297e-05	0.000575915456797	0.000156263772034	0.000508852802586	0.00742238412736	0.012642076198
bin31_Fa13.BD.MM110.DN.fa	0.0411535496146	0.0493747755344	0.113937177172	0.0104376630512	0.00991907990795	0.0571571576647	0.0229592450549	0.0365459796138	0.0199788085731	0.117045988799	0.145406124864	0.165599236009	0.0591063136173	0.0475893185603	0.0173718627498	0.0102808757059	0.00470234258877	0.00893757938095	0.0113385778828	0.022606868366	0.011723785271	0.0168276900175
bin37_Sp13.BD.MM15.SD.fa	0.0352186919007	0.0450454917036	0.0932986617181	0.00584054302397	0.00515189575913	0.0399833510727	0.0157011000777	0.0222708520129	0.0250308788243	0.158251048241	0.14041438203	0.132258968847	0.0774633032546	0.0626767381605	0.0224551079749	0.0195255523849	0.0065470845396	0.00529534853192	0.00638713793019	0.0393497125834	0.01603164911	0.0258025003186
bin63_Sp13.BD.MM110.SD.fa	0.0569813833046	0.0524247833666	0.0156610631425	0.00741912771903	0.00554735651522	0.0784146715803	0.0175901493553	0.0300123047297	0.0592700447685	0.139255235255	0.119145724545	0.0942036717299	0.044737884151	0.0574712754002	0.0197669560401	0.0404825181813	0.00242152273341	0.00462876040173	0.00414310736834	0.0992239012256	0.0168869767671	0.0343115817197
