sample	Total_reads
Fa13_BD_MLB_DN	92997214
Fa13_BD_MLB_SN	157328910
Fa13_BD_MM110_DN	112278917
Fa13_BD_MM110_SD	104618168
Fa13_BD_MM110_SN	86579549
Fa13_BD_MM15_DN	132166665
Fa13_BD_MM15_SD	79011239
Fa13_BD_MM15_SN	86842071
Sp13_BD_MLB_SN	128820561
Sp13_BD_MM110_DD	118136928
Sp13_BD_MM110_SD	155191081
Sp13_BD_MM110_SN	128769337
Sp13_BD_MM15_SD	141401141
Sp13_BD_MM15_SN	137466869
Su13_BD_MLB_DD	99256773
Su13_BD_MLB_SD	97106787
Su13_BD_MM110_DCMD	87641601
Su13_BD_MM110_SD	105104602
Su13_BD_MM110_SN	77559906
Su13_BD_MM15_DN	114175419
Su13_BD_MM15_SD	94063010
Su13_BD_MM15_SN	126234865
