bins	Fa13_BD_MLB_DN	Fa13_BD_MLB_SN	Fa13_BD_MM110_DN	Fa13_BD_MM110_SD	Fa13_BD_MM110_SN	Fa13_BD_MM15_DN	Fa13_BD_MM15_SD	Fa13_BD_MM15_SN	Sp13_BD_MLB_SN	Sp13_BD_MM110_DD	Sp13_BD_MM110_SD	Sp13_BD_MM110_SN	Sp13_BD_MM15_SD	Sp13_BD_MM15_SN	Su13_BD_MLB_DD	Su13_BD_MLB_SD_C	Su13_BD_MM110_DCMD	Su13_BD_MM110_SD	Su13_BD_MM110_SN_C	Su13_BD_MM15_DN	Su13_BD_MM15_SD	Su13_BD_MM15_SN_C
Fa13.BD.MLB.DN.fa_MC	8.86333702883	12.05724253	12.1752849579	8.6599478212	6.93761868719	8.7498556246	6.96378562686	7.20646984315	11.1134200714	18.9157512572	20.2725229878	13.9869660882	8.16260947929	8.17053003765	4.78103532355	5.61546801204	2.6222854796	8.77816705556	6.9493147305	8.65691438773	5.93165651358	8.69268706302
Sp13.BD.MM110.DD.fa_MC	4.52987119423	6.00609143248	9.68442541122	5.93941451546	4.69044987786	6.4042437494	4.49839410298	4.50186950657	11.4469370424	11.4040210468	11.3923122472	7.88384821022	5.75185015002	6.86865313929	3.78026691562	4.76819472666	2.42080911851	5.3887485314	4.20967637393	6.62124829026	4.23785957613	6.25450539498
Su13.BD.MLB.SD.C_bin2.fa	9.55150504469	13.7180922559	14.5687433492	12.1347663072	9.80218379684	11.5336438396	9.7898264332	9.72194907855	27.2449097974	22.022090578	22.7625226274	15.0688454243	11.5265346652	14.6851374825	6.40296793068	10.9385157517	3.3334610419	10.2680727665	8.13585537181	12.6789296934	8.45415812867	13.451642804
Su13.BD.MM110.DCMD_bin2.fa	32.6144540895	53.5264700589	36.1362490085	52.8258356975	47.0840662361	46.8793552813	48.027379697	48.3120885008	22.2743198959	74.561535116	81.072632677	49.2925426327	31.668979412	29.0561829498	18.197421021	24.8029663244	6.94871898631	39.9137099855	27.4398116623	52.3506092836	38.6742463298	47.8234832156
Su13.BD.MM15.SN.C_bin1_bin2_bin6_bin10_MC1	7.68864449622	11.3743222574	15.1036529282	11.1663918728	9.13353304228	10.7990068351	8.91555831897	8.65765659921	24.250900241	23.3089767572	22.8328701107	14.0646603827	12.7712439537	15.5599828042	5.66819103793	11.2907811238	3.56307809761	10.3587266087	8.41448741965	11.9857415107	8.21561743991	12.8101155066
Su13.BD.MM15.SN.C_bin1_bin2_bin6_bin10_MC2	7.945607077	13.1768591157	13.7886931508	8.96721083192	7.24119582819	9.80940080274	7.44095561489	7.57276093302	9.68644921485	22.4871689582	24.3812972841	16.7689995153	8.08854636547	7.90073098293	4.52477884549	4.53397497669	3.29417506145	10.5455101335	9.19232031629	8.96477049682	7.2285232886	10.4474162346
bin13_Fa13.BD.MLB.SN.fa	9.17929515488	11.8944168816	13.9466135184	10.0514371087	7.95834855663	9.91049888241	7.56795632785	7.78510273669	13.0262438688	10.7377962127	12.642739669	9.61521278261	6.81740323952	7.73696230635	6.8046168033	7.8035166333	4.3078504198	9.27734066422	6.64761244335	9.73505358621	7.24168033539	9.51945469168
bin15_Fa13.BD.MLB.SN.fa	6.71944585001	9.41474221791	14.3349414687	13.3887915023	10.644511158	11.0723987059	11.7028147819	10.8125465343	10.3883049308	14.2315565052	14.8463009619	10.3589041987	6.91698076412	7.66023820866	4.70076715486	4.03286509811	3.07516620816	8.07374013012	6.93586742699	8.77406468932	5.4478331506	7.96966032354
bin19_Fa13.BD.MLB.SN.fa	11.4491849149	13.7758258928	8.04895833261	7.7041069948	5.60722032887	7.07619878644	4.893402525	4.66107410062	3.61575655273	4.44725486276	6.02707755303	6.15312154634	3.74311501439	3.94582922114	4.90447497937	4.0936977593	3.24354949972	7.6577046739	5.02077217275	6.52611609696	5.25699132724	7.25712751065
bin31_Fa13.BD.MM110.DN.fa	9.26551841398	14.2671046024	16.3375887922	12.9909312843	10.2310271352	14.1507965918	11.1745087364	12.1374277748	11.521069476	27.0521693651	31.1395938334	21.8811373514	11.3436314871	10.1052172026	6.18820738258	6.01758327028	3.90588212039	17.5376385538	14.7299122273	11.9164196202	9.66040108178	14.6777902214
bin37_Sp13.BD.MM15.SD.fa	6.62349898844	10.2931260178	12.248885303	6.55639806378	5.40227280319	7.90560905525	5.81775463535	6.04984964811	8.32596631584	20.8719866675	22.1100002372	15.5019024333	7.30072315722	7.19240352325	3.47190999125	3.85231553947	2.20255201537	6.8797530889	5.98072675883	7.15917921073	4.82975294417	7.55636161283
bin63_Sp13.BD.MM110.SD.fa	5.53891172717	7.42211855432	10.5104699268	7.90082151325	6.33964882625	8.23528849978	6.21653125196	6.20052449557	15.2262158736	14.1980738942	14.7805100203	10.0663878109	6.60512512607	7.77953046992	4.43204477437	5.58096495267	2.87956651141	6.6634942734	5.37265278748	8.40774007393	4.99494280939	7.98218898327
