gene_oid	gene_length	feature_type	start_coord	end_coord
2757587566	305	cleavage	30	31
2757587569	252	cleavage	21	22
2757587571	108	cleavage	18	19
2757587572	288	cleavage	23	24
2757587575	156	cleavage	19	20
2757587591	326	cleavage	26	27
2757587598	334	cleavage	34	35
2757587639	134	cleavage	28	29
2757587673	122	cleavage	22	23
2757587675	265	cleavage	29	30
2757587728	165	cleavage	30	31
2757587745	126	cleavage	35	36
2757587751	339	cleavage	40	41
2757587754	325	cleavage	26	27
2757587761	338	cleavage	20	21
2757587818	130	cleavage	23	24
2757587819	407	cleavage	29	30
2757587820	81	cleavage	21	22
2757587840	336	cleavage	28	29
2757587851	343	cleavage	33	34
2757587869	153	cleavage	28	29
2757587894	293	cleavage	28	29
2757587902	343	cleavage	29	30
2757587909	194	cleavage	30	31
2757587930	340	cleavage	28	29
2757587931	343	cleavage	23	24
2757587955	543	cleavage	28	29
2757587978	439	cleavage	22	23
2757587983	54	cleavage	22	23
2757588003	162	cleavage	34	35
2757588008	433	cleavage	33	34
2757588009	175	cleavage	24	25
2757588010	271	cleavage	27	28
2757588040	85	cleavage	29	30
2757588048	323	cleavage	22	23
2757588058	595	cleavage	21	22
2757588077	325	cleavage	24	25
2757588082	319	cleavage	18	19
2757588101	225	cleavage	22	23
2757588106	332	cleavage	32	33
2757588109	192	cleavage	26	27
2757588171	371	cleavage	47	48
2757588181	586	cleavage	22	23
2757588184	609	cleavage	24	25
2757588221	215	cleavage	30	31
2757588224	334	cleavage	25	26
2757588231	313	cleavage	22	23
2757588262	376	cleavage	29	30
2757588277	277	cleavage	32	33
2757588291	529	cleavage	25	26
2757588308	182	cleavage	25	26
2757588312	327	cleavage	26	27
2757588315	300	cleavage	23	24
2757588333	320	cleavage	23	24
2757588374	403	cleavage	24	25
2757588396	280	cleavage	24	25
2757588412	326	cleavage	25	26
2757588414	327	cleavage	25	26
2757588416	109	cleavage	19	20
2757588424	179	cleavage	28	29
2757588426	204	cleavage	28	29
2757588445	418	cleavage	24	25
2757588492	81	cleavage	28	29
2757588520	325	cleavage	26	27
2757588521	328	cleavage	29	30
2757588529	352	cleavage	24	25
2757588556	323	cleavage	24	25
2757588557	163	cleavage	27	28
2757588562	450	cleavage	21	22
2757588610	74	cleavage	42	43
2757588618	76	cleavage	27	28
2757588619	439	cleavage	18	19
2757588620	162	cleavage	18	19
2757588621	357	cleavage	21	22
2757588624	445	cleavage	19	20
2757588628	139	cleavage	30	31
2757588639	235	cleavage	26	27
2757588643	82	cleavage	27	28
2757588647	270	cleavage	20	21
2757588663	385	cleavage	32	33
2757588693	349	cleavage	28	29
2757588752	250	cleavage	22	23
2757588754	508	cleavage	22	23
2757588772	328	cleavage	24	25
2757588773	170	cleavage	27	28
2757588780	210	cleavage	23	24
2757588797	169	cleavage	25	26
2757588824	322	cleavage	27	28
2757588862	316	cleavage	22	23
2757588864	296	cleavage	22	23
2757588876	291	cleavage	23	24
2757588927	197	cleavage	24	25
2757588933	159	cleavage	24	25
2757588935	395	cleavage	30	31
2757589025	327	cleavage	24	25
2757589055	506	cleavage	34	35
2757589069	404	cleavage	22	23
2757589082	382	cleavage	28	29
2757589087	319	cleavage	18	19
2757589096	67	cleavage	18	19
2757589121	142	cleavage	27	28
2757589172	26	cleavage	17	18
2757589187	255	cleavage	23	24
2757589211	212	cleavage	27	28
2757589212	266	cleavage	26	27
2757589214	671	cleavage	26	27
2757589230	220	cleavage	28	29
2757589231	203	cleavage	22	23
2757589275	151	cleavage	20	21
2757589276	151	cleavage	18	19
2757589285	300	cleavage	22	23
2757589293	617	cleavage	42	43
2757589322	172	cleavage	25	26
2757589341	436	cleavage	22	23
2757589352	717	cleavage	37	38
2757589358	164	cleavage	28	29
2757589372	429	cleavage	22	23
2757589395	331	cleavage	30	31
2757589424	343	cleavage	22	23
2757589441	322	cleavage	25	26
2757589446	272	cleavage	41	42
2757589457	93	cleavage	23	24
2757589484	208	cleavage	30	31
2757589505	142	cleavage	23	24
2757589507	268	cleavage	20	21
2757589565	327	cleavage	27	28
2757589593	330	cleavage	22	23
2757589614	420	cleavage	20	21
2757589638	257	cleavage	20	21
2757589648	162	cleavage	19	20
2757589649	78	cleavage	19	20
2757589650	54	cleavage	21	22
2757589654	340	cleavage	22	23
2757589660	360	cleavage	21	22
2757589676	475	cleavage	26	27
2757589706	329	cleavage	22	23
2757589712	667	cleavage	25	26
2757589776	196	cleavage	17	18
2757589798	250	cleavage	25	26
2757589806	325	cleavage	24	25
2757589819	357	cleavage	25	26
2757589859	102	cleavage	20	21
2757589867	151	cleavage	32	33
2757589882	355	cleavage	26	27
2757589888	326	cleavage	27	28
2757589891	332	cleavage	26	27
