,Position,value
contig_19657_2,0,-2.21117401188
contig_19657_2,1,-2.21117401188
contig_19657_2,2,2.96010997414
contig_19657_2,3,-2.27088172207
contig_19657_2,4,-2.2457032247
contig_19657_2,5,2.71736743073
contig_19657_2,6,-2.23074341383
contig_19657_2,7,126.24705981
contig_19657_2,8,-2.19049652837
contig_19657_2,9,39.4928051936
contig_19657_2,10,0.719062074045
contig_19657_2,11,2.30326789897
contig_19657_2,12,-2.49200165149
contig_19657_2,13,-2.48631428449
contig_19657_2,14,-2.512098439
contig_19657_2,15,-2.72692534428
contig_19657_2,16,51.4406366288
contig_19657_2,17,-2.72692534428
contig_19657_2,18,42.0601055988
contig_19657_2,19,9.67143112867
contig_19657_2,20,-2.65340881425
contig_19657_2,21,-2.65277595159
contig_19657_2,22,28.3648414858
contig_19657_2,23,2.13106220685
contig_19657_2,24,1.29631465037
contig_19657_2,25,-0.061691109599
contig_19657_2,26,-2.82717995253
contig_19657_2,27,1.11429005792
contig_19657_2,28,55.6031327503
contig_19657_2,29,-3.24824930716
contig_19657_2,30,1.74697798674
contig_19657_2,31,27.5299104781
contig_19657_2,32,73.3942764417
contig_19657_2,33,-2.97503412507
contig_19657_2,34,-3.10789285562
contig_19657_2,35,-2.89393740173
contig_19657_2,36,-2.91403418924
contig_19657_2,37,-2.93413097675
contig_19657_2,38,-2.95415586854
contig_19657_2,39,8.97046045471
contig_19657_2,40,127.018102551
contig_19657_2,41,-2.87377067483
contig_19657_2,42,64.2407654548
contig_19657_2,43,59.5653927074
contig_19657_2,44,-2.80712903088
contig_19657_2,45,-2.81355025168
contig_19657_2,46,-2.51269774077
contig_19657_2,47,-2.51269774077
contig_19657_2,48,-2.50636520614
contig_19657_2,49,185.703224447
contig_19657_2,50,-2.54646704944
contig_19657_2,51,-2.55222990003
contig_19657_2,52,76.3383058555
contig_19657_2,53,-2.5321336016
contig_19657_2,54,2.73532541146
contig_19657_2,55,23.3334457196
contig_19657_2,56,-2.49259615884
contig_19657_2,57,-2.512098439
contig_19657_2,58,37.0130298495
contig_19657_2,59,-2.63267916407
contig_19657_2,60,-2.64672165769
contig_19657_2,61,161.524883053
contig_19657_2,62,-2.60661981439
contig_19657_2,63,-2.61258237656
contig_19657_2,64,1.53594579137
contig_19657_2,65,-2.60661981439
contig_19657_2,66,-2.57232619845
contig_19657_2,67,299.448159
contig_19657_2,68,-2.49194100475
contig_19657_2,69,-2.49194100475
contig_19657_2,70,-2.56651797109
contig_19657_2,71,-2.60661981439
contig_19657_2,72,14.3768479122
contig_19657_2,73,2.62393968724
contig_19657_2,74,-2.57300248655
contig_19657_2,75,-2.60661981439
contig_19657_2,76,-2.61258237656
contig_19657_2,77,-2.47184470633
contig_19657_2,78,106.885134881
contig_19657_2,79,-2.52641612779
contig_19657_2,80,-2.41218983114
contig_19657_2,81,-2.39151771393
contig_19657_2,82,-2.41218983114
contig_19657_2,83,2.74448909192
contig_19657_2,84,-2.45180807647
contig_19657_2,85,53.9200403773
contig_19657_2,86,-2.39145951262
contig_19657_2,87,69.9345831838
contig_19657_2,88,3.00364050513
contig_19657_2,89,1.79697076921
contig_19657_2,90,3.5220729719
contig_19657_2,91,85.5538343783
contig_19657_2,92,-2.59310406847
contig_19657_2,93,-2.61258237656
contig_19657_2,94,85.551223801
contig_19657_2,95,-2.61258237656
contig_19657_2,96,-2.61258237656
contig_19657_2,97,1.47570925802
contig_19657_2,98,-2.6125187953
contig_19657_2,99,-2.63267916407
contig_19657_2,100,6.85466820953
contig_19657_2,101,-2.75325988915
contig_19657_2,102,-2.75325988915
contig_19657_2,103,6.73015491097
contig_19657_2,104,-2.73309658586
contig_19657_2,105,-2.73381514196
contig_19657_2,106,-2.74697626593
contig_19657_2,107,-2.71300028743
contig_19657_2,108,-2.71300028743
contig_19657_2,109,-0.101792952897
contig_19657_2,110,3.37192827041
contig_19657_2,111,-2.71300028743
contig_19657_2,112,0.296380481302
contig_19657_2,113,-2.73309658586
contig_19657_2,114,-2.69296952661
contig_19657_2,115,-2.65277595159
contig_19657_2,116,-2.60661981439
contig_19657_2,117,-2.54646704944
contig_19657_2,118,-2.41161450144
contig_19657_2,119,-2.39145951262
contig_19657_2,120,-2.41161450144
contig_19657_2,121,-2.34595783295
contig_19657_2,122,2.60467786195
contig_19657_2,123,-2.05036135647
contig_19657_2,124,94.0889334661
contig_19657_2,125,-2.10534677316
contig_19657_2,126,3.0605939117
contig_19657_2,127,3.21787461055
contig_19657_2,128,-2.15035626379
contig_19657_2,129,-2.21064662632
contig_19657_2,130,79.4092930355
contig_19657_2,131,-2.12539769481
contig_19657_2,132,1.97768036926
contig_19657_2,133,53.4075549091
contig_19657_2,134,104.265336651
contig_19657_2,135,-2.1508692661
contig_19657_2,136,-2.16549953811
contig_19657_2,137,-2.1704530513
contig_19657_2,138,-2.18555045976
contig_19657_2,139,-2.19107242995
contig_19657_2,140,-2.19107242995
contig_19657_2,141,-2.20560138141
contig_19657_2,142,-2.20560138141
contig_19657_2,143,-2.19054983881
contig_19657_2,144,-2.20560138141
contig_19657_2,145,47.7568896929
contig_19657_2,146,-2.13076768417
contig_19657_2,147,1.97768036926
contig_19657_2,148,54.5942337228
contig_19657_2,149,107.343147916
contig_19657_2,150,0.439581931629
contig_19657_2,151,250.168291691
contig_19657_2,152,-2.26575414635
contig_19657_2,153,-2.27088172207
contig_19657_2,154,-2.39151771393
contig_19657_2,155,-2.37142092642
contig_19657_2,156,-2.3713632142
contig_19657_2,157,-2.39151771393
contig_19657_2,158,-2.41155581105
contig_19657_2,159,33.8649719158
contig_19657_2,160,-3.00763824737
contig_19657_2,161,2.22753189652
contig_19657_2,162,-3.15519563939
contig_19657_2,163,12.8412044945
contig_19657_2,164,-3.09482995751
contig_19657_2,165,-3.09564361663
contig_19657_2,166,1.57988398782
contig_19657_2,167,-3.08784193397
contig_19657_2,168,-3.09490527685
contig_19657_2,169,173.164728321
contig_19657_2,170,-3.64926774014
contig_19657_2,171,-3.65761532719
contig_19657_2,172,6.27258640683
contig_19657_2,173,-3.637430015
contig_19657_2,174,1.59545663382
contig_19657_2,175,14.2545476275
contig_19657_2,176,-3.61733371657
contig_19657_2,177,-3.61742175216
contig_19657_2,178,11.4972809931
contig_19657_2,179,1.45165032116
contig_19657_2,180,-3.53703460211
contig_19657_2,181,331.153968179
contig_19657_2,182,-3.35616351451
contig_19657_2,183,-3.31596993948
contig_19657_2,184,0.772949702268
contig_19657_2,185,-3.27655785396
contig_19657_2,186,-3.31676101781
contig_19657_2,187,-3.36855483706
contig_19657_2,188,-3.30840207211
contig_19657_2,189,-3.29587315197
contig_19657_2,190,26.2579155222
contig_19657_2,191,-3.24824930716
contig_19657_2,192,-3.27655785396
contig_19657_2,193,1.50807564656
contig_19657_2,194,-3.23558278943
contig_19657_2,195,-3.21548600192
contig_19657_2,196,14.4048267565
contig_19657_2,197,-3.13584678048
contig_19657_2,198,-3.13509885187
contig_19657_2,199,8.701362471
contig_19657_2,200,-3.05463736066
contig_19657_2,201,-3.06779101232
contig_19657_2,202,41.7268173889
contig_19657_2,203,-3.11574519855
contig_19657_2,204,2.10155893365
contig_19657_2,205,6.39588422809
contig_19657_2,206,1.45932000263
contig_19657_2,207,-3.23635469011
contig_19657_2,208,6.13963491013
contig_19657_2,209,-0.322826893475
contig_19657_2,210,-3.23558278943
contig_19657_2,211,-3.24824930716
contig_19657_2,212,-3.25560034492
contig_19657_2,213,-3.25645627204
contig_19657_2,214,-2.95422776427
contig_19657_2,215,-2.93405957011
contig_19657_2,216,181.324807832
contig_19657_2,217,25.317727478
contig_19657_2,218,-3.03461491431
contig_19657_2,219,2.17633526117
contig_19657_2,220,91.2111881243
contig_19657_2,221,-2.98758732572
contig_19657_2,222,-3.01523728892
contig_19657_2,223,1.97400976321
contig_19657_2,224,-2.97425216696
contig_19657_2,225,-2.92743456077
contig_19657_2,226,21.2768787744
contig_19657_2,227,1.27492081352
contig_19657_2,228,2.15482649314
contig_19657_2,229,34.8761161987
contig_19657_2,230,-2.67280769058
contig_19657_2,231,25.8940731129
contig_19657_2,232,125.474752525
contig_19657_2,233,-2.52641612779
contig_19657_2,234,16.9248775129
contig_19657_2,235,67.993770393
contig_19657_2,236,83.4365683526
contig_19657_2,237,95.7425480883
contig_19657_2,238,15.2046547043
contig_19657_2,239,-2.41218983114
contig_19657_2,240,-2.41161450144
contig_19657_2,241,41.2231218237
contig_19657_2,242,-2.39145951262
contig_19657_2,243,-2.3713632142
contig_19657_2,244,0.239072715138
contig_19657_2,245,-2.3660087546
contig_19657_2,246,2.96010997414
contig_19657_2,247,2.7374581785
contig_19657_2,248,1.67788236777
contig_19657_2,249,79.3961199511
contig_19657_2,250,81.6738792727
contig_19657_2,251,-2.4517484079
contig_19657_2,252,2.49636920525
contig_19657_2,253,-2.43171128895
contig_19657_2,254,-2.41218983114
contig_19657_2,255,-2.42616151955
contig_19657_2,256,19.7353016143
contig_19657_2,257,-2.46626336284
contig_19657_2,258,17.1103151962
contig_19657_2,259,7.85978438411
contig_19657_2,260,-2.49194100475
contig_19657_2,261,-2.50636520614
contig_19657_2,262,80.0366174191
contig_19657_2,263,-2.46626336284
contig_19657_2,264,-2.47190486398
contig_19657_2,265,-2.46626336284
contig_19657_2,266,-2.49259615884
contig_19657_2,267,-2.45239299499
contig_19657_2,268,114.447129507
contig_19657_2,269,-2.39208824921
contig_19657_2,270,-2.44621244119
contig_19657_2,271,86.9616622711
contig_19657_2,272,2.51645995302
contig_19657_2,273,-2.47190486398
contig_19657_2,274,7.17292300357
contig_19657_2,275,-2.42616151955
contig_19657_2,276,-2.41218983114
contig_19657_2,277,0.19897087184
contig_19657_2,278,8.45070352525
contig_19657_2,279,-2.33178350343
contig_19657_2,280,27.797974602
contig_19657_2,281,-2.27093698886
contig_19657_2,282,-2.27093698886
contig_19657_2,283,15.6882737994
contig_19657_2,284,-2.21117401188
contig_19657_2,285,-2.21064662632
contig_19657_2,286,222.330667588
contig_19657_2,287,-2.15030393152
contig_19657_2,288,11.3133541175
contig_19657_2,289,144.212176755
contig_19657_2,290,3.91092844271
contig_19657_2,291,-2.21064662632
contig_19657_2,292,-2.19054983881
