gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2757587560	259	4	257	3.5e-87	278	TIGR02964	xanthine dehydrogenase accessory protein XdhC
2757587565	353	3	353	3.5e-110	354.7	TIGR01035	glutamyl-tRNA reductase
2757587579	521	1	517	0.0e+00	764.4	TIGR03140	alkyl hydroperoxide reductase subunit F
2757587582	180	25	112	8.6e-27	79.7	TIGR01841	phasin family protein
2757587584	221	1	221	9.6e-108	347.2	TIGR01792	urease, alpha subunit
2757587587	218	16	218	1.9e-99	317.4	TIGR00101	urease accessory protein UreG
2757587590	385	51	361	1.5e-106	342.3	TIGR03167	tRNA 2-selenouridine synthase
2757587594	395	21	380	8.1e-114	366.5	TIGR01891	amidohydrolase
2757587597	204	18	183	1.3e-57	180.2	TIGR01313	carbohydrate kinase, thermoresistant glucokinase family
2757587608	435	7	423	0.0e+00	620	TIGR01326	OAH/OAS sulfhydrylase
2757587611	439	15	261	5.2e-111	357.5	TIGR01346	isocitrate lyase
2757587614	866	6	857	0.0e+00	1384.6	TIGR03346	ATP-dependent chaperone ClpB
2757587617	82	3	82	9.1e-22	64	TIGR01682	molybdopterin converting factor, subunit 1, non-archaeal
2757587618	426	190	337	2.8e-31	94.6	TIGR00177	molybdenum cofactor synthesis domain
2757587619	481	64	449	7.7e-78	247.9	TIGR00260	threonine synthase
2757587626	477	31	470	0.0e+00	580	TIGR00665	replicative DNA helicase
2757587632	110	1	85	8.3e-22	63.2	TIGR02209	cell division protein FtsL
2757587633	310	1	306	2.0e-99	318.9	TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase
2757587634	104	5	103	9.9e-50	153.2	TIGR01049	ribosomal protein S10, bacterial/organelle
2757587635	220	8	211	7.7e-87	276.4	TIGR03625	50S ribosomal protein uL3, bacterial form
2757587636	206	16	203	2.3e-71	225.1	TIGR03953	50S ribosomal protein L4, bacterial/organelle
2757587641	251	3	249	1.2e-79	253.3	TIGR00755	ribosomal RNA small subunit methyltransferase A
2757587651	234	1	234	0.0e+00	442.1	TIGR03224	benzoyl-CoA oxygenase/reductase, BoxA protein
2757587661	255	27	253	2.5e-49	153.9	TIGR00121	birA, biotin-[acetyl-CoA-carboxylase] ligase region
2757587664	517	8	517	0.0e+00	791.1	TIGR00759	pyruvate dehydrogenase E1 component, homodimeric type
2757587665	469	340	466	1.1e-28	86.1	TIGR00229	PAS domain S-box
2757587670	420	4	420	0.0e+00	545.5	TIGR01347	2-oxoglutarate dehydrogenase complex dihydrolipoamide succinyltransferase (E2 component)
2757587671	475	4	475	0.0e+00	538.6	TIGR01350	dihydrolipoamide dehydrogenase
2757587675	265	7	253	1.7e-83	265.8	TIGR03302	outer membrane assembly lipoprotein YfiO
2757587676	340	39	333	3.0e-88	281.9	TIGR00005	pseudouridine synthase, RluA family
2757587677	226	5	176	3.6e-33	100.8	TIGR00281	segregation and condensation protein B
2757587678	385	117	278	6.2e-53	164.9	TIGR00093	pseudouridine synthase
2757587680	383	1	358	0.0e+00	426.9	TIGR00048	23S rRNA (adenine(2503)-C(2))-methyltransferase
2757587681	250	6	235	7.8e-39	119.6	TIGR02521	type IV pilus biogenesis/stability protein PilW
2757587683	316	23	316	3.1e-88	282.3	TIGR00612	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
2757587684	558	1	558	0.0e+00	833.8	TIGR00487	translation initiation factor IF-2
2757587684	558	59	219	6.0e-36	110.8	TIGR00231	small GTP-binding protein domain
2757587685	124	6	118	5.2e-29	87.3	TIGR00082	ribosome-binding factor A
2757587686	317	13	225	1.3e-80	256	TIGR00431	tRNA pseudouridine(55) synthase
2757587687	607	3	177	2.3e-29	89.4	TIGR00231	small GTP-binding protein domain
2757587687	607	5	603	0.0e+00	908.6	TIGR01394	GTP-binding protein TypA/BipA
2757587694	261	1	260	4.5e-79	252.6	TIGR00195	exodeoxyribonuclease III
2757587694	261	1	261	5.4e-78	249	TIGR00633	exodeoxyribonuclease III (xth)
2757587697	680	365	564	2.2e-44	138.6	TIGR02486	reductive dehalogenase
2757587704	340	60	317	1.1e-59	188	TIGR00157	ribosome small subunit-dependent GTPase A
2757587708	128	1	116	4.8e-52	161.1	TIGR01024	ribosomal protein L19, bacterial type
2757587709	264	1	241	1.0e-82	262.9	TIGR00088	tRNA (guanine-N1)-methyltransferase
2757587710	196	5	196	7.6e-41	125.4	TIGR02273	16S rRNA processing protein RimM
2757587711	83	2	81	1.6e-29	88	TIGR00002	ribosomal protein S16
2757587714	155	8	136	1.2e-38	118.3	TIGR01498	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
2757587715	483	27	480	0.0e+00	450	TIGR01942	poly(A) polymerase
2757587716	221	3	193	2.0e-28	86.6	TIGR01488	Haloacid Dehalogenase superfamily, subfamily IB, phosphoserine phosphatase-like
2757587716	221	3	205	2.3e-41	129.3	TIGR01490	HAD-superfamily subfamily IB hydrolase, TIGR01490
2757587717	228	3	226	1.4e-69	220.1	TIGR03420	DnaA regulatory inactivator Hda
2757587721	330	12	330	1.3e-82	263.8	TIGR00066	gamma-glutamyltranspeptidase
2757587723	216	9	214	1.2e-58	184.1	TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase
2757587725	346	9	346	3.0e-72	229.3	TIGR00179	UDP-N-acetylenolpyruvoylglucosamine reductase
2757587726	443	13	420	0.0e+00	519.6	TIGR00032	argininosuccinate synthase
2757587729	121	6	120	1.5e-27	82.4	TIGR01617	transcriptional regulator, Spx/MgsR family
2757587730	429	23	417	7.0e-102	327.7	TIGR01499	folylpolyglutamate synthase/dihydrofolate synthase
2757587733	506	2	468	0.0e+00	508.6	TIGR01134	amidophosphoribosyltransferase
2757587736	488	3	487	0.0e+00	750.5	TIGR01317	glutamate synthases, NADH/NADPH, small subunit
2757587738	260	7	260	1.1e-79	253.8	TIGR00056	ABC transport permease subunit
2757587739	116	2	116	1.8e-47	146.9	TIGR04430	outer membrane lipid asymmetry maintenance protein MlaD
2757587752	376	53	366	2.3e-120	387.3	TIGR01123	branched-chain amino acid aminotransferase, group II
2757587761	338	38	75	5.0e-10	25.5	TIGR02276	40-residue YVTN family beta-propeller repeat
2757587763	244	69	235	3.4e-44	136.5	TIGR00093	pseudouridine synthase
2757587764	553	2	552	0.0e+00	954.6	TIGR03719	ATP-binding cassette protein, ChvD family
2757587766	658	21	653	0.0e+00	500.7	TIGR01447	exodeoxyribonuclease V, alpha subunit
2757587780	583	5	582	0.0e+00	503.4	TIGR01417	phosphoenolpyruvate-protein phosphotransferase
2757587789	193	1	182	5.4e-68	215.3	TIGR01926	uncharacterized peroxidase-related enzyme
2757587789	193	63	112	7.4e-12	31.9	TIGR00778	alkylhydroperoxidase AhpD family core domain
2757587792	390	22	385	6.7e-97	310.6	TIGR00528	glycine cleavage system T protein
2757587793	123	1	123	1.3e-48	150.5	TIGR00527	glycine cleavage system H protein
2757587794	671	21	671	0.0e+00	946.9	TIGR00461	glycine dehydrogenase (decarboxylating)
2757587795	341	92	304	8.2e-46	142.3	TIGR00706	signal peptide peptidase SppA, 36K type
2757587797	204	13	198	1.8e-51	160.4	TIGR00172	MAF protein
2757587800	270	17	270	7.7e-86	273.6	TIGR01097	phosphonate ABC transporter, permease protein PhnE
2757587801	262	12	262	1.9e-83	265.8	TIGR01097	phosphonate ABC transporter, permease protein PhnE
2757587802	278	1	243	7.4e-100	319.3	TIGR02315	phosphonate ABC transporter, ATP-binding protein
2757587805	281	14	270	4.3e-86	274.7	TIGR03464	squalene synthase HpnC
2757587806	279	10	276	2.4e-118	380	TIGR03465	squalene synthase HpnD
2757587807	444	16	444	4.9e-101	325	TIGR03467	squalene-associated FAD-dependent desaturase
2757587808	232	55	196	3.6e-14	40.5	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
2757587808	232	92	202	2.5e-12	34.3	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
2757587809	366	12	336	8.4e-94	300.5	TIGR00109	ferrochelatase
2757587812	353	1	350	0.0e+00	495.2	TIGR00019	peptide chain release factor 1
2757587813	271	19	268	1.2e-84	270.7	TIGR03534	protein-(glutamine-N5) methyltransferase, release factor-specific
2757587813	271	3	271	5.1e-69	219.5	TIGR00536	HemK family putative methylases
2757587814	109	4	105	1.1e-47	146.4	TIGR00365	monothiol glutaredoxin, Grx4 family
2757587819	407	179	384	2.3e-54	170.5	TIGR01583	formate dehydrogenase, gamma subunit
2757587824	363	1	363	0.0e+00	503.1	TIGR00092	GTP-binding protein YchF
2757587827	347	3	324	1.3e-117	378.5	TIGR00737	putative TIM-barrel protein, nifR3 family
2757587832	314	2	314	3.9e-87	279.4	TIGR00634	DNA repair protein RecN
2757587847	417	1	417	0.0e+00	673.2	TIGR01345	malate synthase G
2757587848	321	6	318	2.1e-124	400.5	TIGR01380	glutathione synthetase, prokaryotic
2757587851	343	42	299	2.8e-68	216.1	TIGR00787	tripartite ATP-independent periplasmic transporter solute receptor, DctP family
2757587854	613	208	612	1.5e-86	276.7	TIGR00786	TRAP transporter, DctM subunit
2757587858	410	291	400	2.2e-45	139.8	TIGR02420	RNA polymerase-binding protein DksA
2757587860	599	2	596	0.0e+00	800.2	TIGR00459	aspartyl-tRNA synthetase, bacterial type
2757587862	114	1	52	7.5e-27	79.5	TIGR02605	putative regulatory protein, FmdB family
2757587863	482	30	427	3.0e-54	170.6	TIGR00813	transporter, SSS family
2757587864	523	4	445	0.0e+00	551.3	TIGR01982	2-polyprenylphenol 6-hydroxylase
2757587868	176	54	172	9.4e-24	70	TIGR00369	uncharacterized domain 1
2757587870	395	1	390	0.0e+00	679.5	TIGR02360	4-hydroxybenzoate 3-monooxygenase
2757587874	142	10	128	2.0e-23	68.9	TIGR00369	uncharacterized domain 1
2757587881	489	7	457	0.0e+00	628	TIGR01302	inosine-5'-monophosphate dehydrogenase
2757587887	250	2	225	2.9e-99	316.9	TIGR01011	ribosomal protein S2, bacterial type
2757587888	296	1	291	1.2e-91	292.9	TIGR00116	translation elongation factor Ts
2757587889	240	8	239	6.5e-103	329.4	TIGR02075	uridylate kinase
2757587890	186	11	186	4.6e-71	224.1	TIGR00496	ribosome recycling factor
2757587892	396	1	394	0.0e+00	487.4	TIGR00243	1-deoxy-D-xylulose 5-phosphate reductoisomerase
2757587893	367	1	170	5.1e-41	126.8	TIGR00054	RIP metalloprotease RseP
2757587894	293	32	293	4.3e-94	302.2	TIGR03303	outer membrane protein assembly complex, YaeT protein
2757587896	187	1	160	2.6e-32	99.9	TIGR00213	D,D-heptose 1,7-bisphosphate phosphatase
2757587896	187	2	147	2.7e-38	119.3	TIGR01662	HAD-superfamily hydrolase, subfamily IIIA
2757587896	187	2	148	2.5e-48	151.8	TIGR01656	histidinol-phosphate phosphatase family domain
2757587897	246	56	188	3.4e-30	90.6	TIGR00530	1-acyl-sn-glycerol-3-phosphate acyltransferases
2757587901	617	198	610	2.2e-91	292.6	TIGR00786	TRAP transporter, DctM subunit
2757587906	248	1	248	4.0e-71	225.8	TIGR01133	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
2757587907	428	56	419	3.6e-123	397.1	TIGR02614	cell division protein FtsW
2757587908	377	1	364	3.1e-93	299.2	TIGR01087	UDP-N-acetylmuramoylalanine--D-glutamate ligase
2757587909	194	4	194	2.5e-59	186.7	TIGR02122	TRAP transporter solute receptor, TAXI family
2757587910	161	34	152	1.5e-31	95.4	TIGR00494	protein CrcB
2757587914	254	1	234	1.3e-65	207.3	TIGR00087	5'/3'-nucleotidase SurE
2757587915	158	37	158	1.6e-34	105.6	TIGR00080	protein-L-isoaspartate(D-aspartate) O-methyltransferase
2757587916	246	1	235	1.4e-92	296.5	TIGR00407	gamma-glutamyl phosphate reductase
2757587917	431	17	424	0.0e+00	595	TIGR02049	glutamate--cysteine ligase, T. ferrooxidans family
2757587918	622	89	560	0.0e+00	483.7	TIGR00794	potassium uptake protein
2757587919	280	49	280	2.1e-82	261.9	TIGR00163	phosphatidylserine decarboxylase precursor
2757587927	200	14	159	1.1e-42	131.6	TIGR00177	molybdenum cofactor synthesis domain
2757587932	165	46	165	2.6e-58	183.7	TIGR00393	KpsF/GutQ family protein
2757587933	195	21	192	2.9e-69	218.6	TIGR01090	adenine phosphoribosyltransferase
2757587934	595	13	593	0.0e+00	742.5	TIGR02204	ABC transporter, permease/ATP-binding protein
2757587935	480	16	480	1.3e-96	311.3	TIGR00450	tRNA modification GTPase TrmE
2757587935	480	232	399	9.8e-21	61.3	TIGR00231	small GTP-binding protein domain
2757587936	567	374	553	2.3e-69	220.3	TIGR03592	membrane protein insertase, YidC/Oxa1 family, C-terminal domain
2757587936	567	4	373	1.0e-109	354.4	TIGR03593	membrane protein insertase, YidC/Oxa1 family, N-terminal domain
2757587937	94	6	79	2.0e-29	87.6	TIGR00278	putative membrane protein insertion efficiency factor
2757587938	106	9	100	9.6e-10	24.9	TIGR00188	ribonuclease P protein component, eubacterial
2757587939	44	1	44	2.4e-27	81.2	TIGR01030	ribosomal protein L34, bacterial type
2757587940	466	18	464	0.0e+00	557.7	TIGR00362	chromosomal replication initiator protein DnaA
2757587941	369	2	369	6.8e-98	313.9	TIGR00663	DNA polymerase III, beta subunit
2757587943	328	2	327	5.5e-71	225.5	TIGR00383	magnesium Mg(2+) and cobalt Co(2+) transport protein (corA)
