,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
contig_21633_8,0,0.064,0.904,0.024,0.008,0.0,0.016,0.98,0.004,0.844,0.156,0.0,0.0,0.0,1.0,0.0,0.0,0.168,0.464,0.0,0.368,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_21633_8,9,0.0,1.0,0.0,0.0,0.048,0.952,0.0,0.0,0.948,0.052,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_21633_8,15,0.0,1.0,0.0,0.0,0.0,0.0,0.992,0.008,0.0,0.0,0.988,0.012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21633_8,27,0.0,0.988,0.0,0.012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_21633_8,28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_21633_8,30,0.0,1.0,0.0,0.0,0.0,0.012,0.988,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.008,0.048,0.944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21633_8,42,0.004,0.0,0.996,0.0,0.02,0.0,0.98,0.0,0.872,0.0,0.128,0.0,0.0,0.0,1.0,0.0,0.028,0.008,0.964,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_21633_8,43,0.996,0.004,0.0,0.0,0.576,0.424,0.0,0.0,0.268,0.732,0.0,0.0,1.0,0.0,0.0,0.0,0.996,0.004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_21633_8,44,0.008,0.992,0.0,0.0,0.348,0.652,0.0,0.0,0.808,0.192,0.0,0.0,0.0,1.0,0.0,0.0,0.012,0.988,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_21633_8,46,0.784,0.216,0.0,0.0,0.78,0.22,0.0,0.0,0.004,0.996,0.0,0.0,1.0,0.0,0.0,0.0,0.084,0.916,0.0,0.0,1.0,0.0,0.0,0.0,0.212,0.788,0.0,0.0
