gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2737832233	62	1	62	21	66	4.4e-06	26.6	pfam00825	Ribonuclease_P	109
2737832234	44	1	44	1	44	8.0e-24	83.2	pfam00468	Ribosomal_L34	44
2737832235	468	15	79	3	63	1.6e-18	66.1	pfam11638	DnaA_N	64
2737832235	468	133	351	1	218	2.1e-81	272.8	pfam00308	Bac_DnaA	219
2737832235	468	377	445	1	69	8.6e-31	105.7	pfam08299	Bac_DnaA_C	69
2737832236	368	2	121	4	120	7.0e-27	93.8	pfam00712	DNA_pol3_beta	121
2737832236	368	131	245	2	116	5.0e-32	110.4	pfam02767	DNA_pol3_beta_2	116
2737832236	368	247	367	2	121	9.6e-33	112.5	pfam02768	DNA_pol3_beta_3	121
2737832237	249	64	224	2	110	3.6e-19	69.3	pfam02518	HATPase_c	111
2737832239	370	6	348	3	353	1.5e-53	181.7	pfam03739	YjgP_YjgQ	354
2737832240	373	6	372	1	349	4.1e-72	242.8	pfam03739	YjgP_YjgQ	354
2737832241	314	3	64	4	59	1.1e-12	47.6	pfam00126	HTH_1	60
2737832241	314	88	297	3	208	3.8e-41	140.6	pfam03466	LysR_substrate	209
2737832242	363	28	361	4	339	1.5e-53	182.2	pfam00155	Aminotran_1_2	363
2737832244	443	14	265	6	253	5.7e-60	203.1	pfam00463	ICL	526
2737832244	443	262	442	352	526	3.5e-52	177.5	pfam00463	ICL	526
2737832245	743	7	741	1	733	0.0e+00	1236.8	pfam03971	IDH	734
2737832246	635	2	84	1	60	4.1e-11	42.6	pfam02824	TGS	60
2737832246	635	169	218	1	44	6.8e-14	51.6	pfam07973	tRNA_SAD	44
2737832246	635	312	528	5	179	1.9e-42	145.2	pfam00587	tRNA-synt_2b	179
2737832246	635	540	630	1	92	5.2e-20	71.3	pfam03129	HGTP_anticodon	94
2737832247	180	1	65	7	70	1.4e-23	82.8	pfam05198	IF3_N	70
2737832247	180	72	157	1	85	1.3e-36	124.3	pfam00707	IF3_C	86
2737832249	125	1	88	67	145	4.2e-12	46.1	pfam01343	Peptidase_S49	154
2737832250	294	6	276	6	242	1.9e-25	89.8	pfam00483	NTP_transferase	248
2737832251	263	29	241	50	203	8.3e-08	32.3	pfam00590	TP_methylase	212
2737832252	198	9	193	2	165	1.1e-42	145.6	pfam02545	Maf	166
2737832253	186	75	183	2	121	7.3e-15	55	pfam02620	DUF177	121
2737832254	60	2	56	1	55	1.1e-19	70.3	pfam01783	Ribosomal_L32p	56
2737832256	321	86	250	4	166	1.3e-16	61.3	pfam04055	Radical_SAM	167
2737832257	213	31	167	23	94	1.2e-06	28.4	pfam03099	BPL_LplA_LipB	131
2737832258	95	11	95	2	84	3.3e-26	91.6	pfam04359	DUF493	84
2737832259	176	56	158	3	100	2.9e-11	43.5	pfam03899	ATP-synt_I	100
2737832260	289	40	283	2	210	2.8e-53	180.9	pfam00119	ATP-synt_A	211
2737832261	81	10	73	1	59	3.0e-12	46.6	pfam00137	ATP-synt_C	60
2737832262	156	6	137	1	131	2.5e-26	92.2	pfam00430	ATP-synt_B	132
2737832263	176	7	174	1	172	9.3e-47	159.2	pfam00213	OSCP	172
2737832264	518	24	97	2	69	7.8e-14	51.8	pfam02874	ATP-synt_ab_N	69
2737832264	518	154	380	1	213	8.5e-74	247.7	pfam00006	ATP-synt_ab	213
2737832264	518	387	512	1	126	1.4e-42	144.9	pfam00306	ATP-synt_ab_C	126
2737832265	179	3	179	3	173	5.4e-47	160.7	pfam00231	ATP-synt	279
2737832267	801	80	255	2	178	2.7e-62	209.2	pfam00912	Transgly	178
2737832267	801	340	444	1	112	3.1e-18	66.4	pfam17092	PCB_OB	112
2737832267	801	446	726	2	305	2.1e-34	119	pfam00905	Transpeptidase	306
2737832268	59	1	57	50	105	4.8e-11	42.6	pfam01491	Frataxin_Cyay	108
2737832269	874	16	461	12	312	1.6e-46	159.1	pfam00580	UvrD-helicase	315
2737832269	874	699	869	271	347	2.5e-11	43.5	pfam13361	UvrD_C	349
2737832270	205	2	197	88	255	1.2e-15	58	pfam12705	PDDEXK_1	255
2737832271	72	8	63	3	54	2.9e-10	39.8	pfam04879	Molybdop_Fe4S4	55
2737832272	228	15	61	1	45	8.1e-10	38.2	pfam00440	TetR_N	47
2737832272	228	64	210	1	144	3.9e-42	143.2	pfam13972	TetR	144
2737832273	177	15	147	7	124	1.7e-39	134.5	pfam05597	Phasin	126
2737832274	299	32	275	1	240	2.5e-43	148.3	pfam00696	AA_kinase	241
2737832275	213	33	79	1	47	3.6e-11	42.6	pfam00440	TetR_N	47
2737832276	76	29	73	1	43	6.1e-08	32.2	pfam00440	TetR_N	47
2737832277	324	1	279	97	367	2.3e-94	316.3	pfam11940	DUF3458	367
2737832278	335	5	195	2	189	8.5e-65	217.7	pfam00316	FBPase	189
2737832280	109	12	108	2	97	9.0e-22	77.1	pfam04519	Bactofilin	98
2737832281	158	1	152	1	76	4.5e-11	43.5	pfam00149	Metallophos	204
2737832282	471	7	106	1	87	6.5e-26	90.3	pfam01225	Mur_ligase	88
2737832282	471	110	293	1	192	7.3e-26	91.2	pfam08245	Mur_ligase_M	192
2737832282	471	313	405	1	87	4.8e-18	65.1	pfam02875	Mur_ligase_C	91
2737832283	358	6	144	2	138	6.7e-37	126.5	pfam03033	Glyco_transf_28	139
2737832283	358	182	347	2	157	1.8e-37	128.8	pfam04101	Glyco_tran_28_C	167
2737832284	417	45	410	4	358	3.7e-102	341.9	pfam01098	FTSW_RODA_SPOVE	359
2737832285	582	128	329	1	123	1.8e-21	76.9	pfam08245	Mur_ligase_M	192
2737832285	582	426	508	2	81	2.0e-08	34.2	pfam02875	Mur_ligase_C	91
2737832286	206	1	125	57	159	4.6e-28	98	pfam00953	Glycos_transf_4	160
2737832287	266	7	266	1	267	5.6e-84	282.6	pfam00330	Aconitase	462
2737832288	432	50	419	3	362	1.2e-125	419.3	pfam00285	Citrate_synt	362
2737832289	96	15	89	2	63	2.1e-21	75.5	pfam03937	Sdh5	73
2737832290	234	5	109	1	108	4.6e-31	106.9	pfam13085	Fer2_3	109
2737832290	234	144	217	1	61	1.7e-09	37.9	pfam13534	Fer4_17	61
2737832291	261	1	68	349	417	7.1e-18	64.8	pfam00890	FAD_binding_2	417
2737832291	261	123	261	3	127	2.1e-37	127.8	pfam02910	Succ_DH_flav_C	128
2737832293	215	4	166	2	163	5.5e-18	65.6	pfam13521	AAA_28	163
2737832294	94	13	92	1	77	1.8e-16	59.6	pfam04977	DivIC	80
2737832295	427	4	134	1	130	7.2e-59	197.5	pfam03952	Enolase_N	131
2737832295	427	139	426	3	293	0.0e+00	441.6	pfam00113	Enolase_C	296
2737832296	95	2	95	1	94	2.3e-34	117.5	pfam07045	DUF1330	94
2737832297	244	2	235	52	273	3.8e-53	180	pfam00793	DAHP_synth_1	275
2737832298	385	2	103	8	100	5.4e-16	58.2	pfam00383	dCMP_cyt_deam_1	101
2737832298	385	154	371	1	197	1.2e-38	132.8	pfam01872	RibD_C	200
2737832299	212	3	91	1	86	4.9e-13	48.7	pfam00677	Lum_binding	87
2737832299	212	104	192	1	87	2.1e-23	82	pfam00677	Lum_binding	87
2737832300	374	14	205	1	192	7.3e-78	260.4	pfam00926	DHBP_synthase	192
2737832300	374	214	371	3	162	7.6e-34	116.5	pfam00925	GTP_cyclohydro2	163
2737832301	154	16	151	2	139	1.5e-47	160.9	pfam00885	DMRL_synthase	141
2737832302	96	20	96	2	84	3.5e-09	36.8	pfam01029	NusB	134
2737832303	177	1	165	298	462	3.7e-60	203.6	pfam00171	Aldedh	462
2737832304	555	6	301	1	295	9.1e-94	314	pfam00732	GMC_oxred_N	296
2737832304	555	391	527	1	144	6.1e-43	146.6	pfam05199	GMC_oxred_C	144
2737832305	258	100	257	13	161	1.8e-19	70.4	pfam02668	TauD	269
2737832307	141	31	140	17	104	1.9e-10	40.7	pfam04143	Sulf_transp	310
2737832308	184	3	60	1	58	1.6e-16	59.9	pfam08207	EFP_N	58
2737832308	184	68	120	1	54	1.3e-17	63.4	pfam01132	EFP	54
2737832308	184	128	183	1	56	3.6e-23	80.9	pfam09285	Elong-fact-P_C	56
2737832309	289	151	281	1	132	2.7e-32	111.5	pfam03641	Lysine_decarbox	132
2737832310	419	5	417	2	417	0.0e+00	587.9	pfam07399	Na_H_antiport_3	419
2737832311	168	2	168	13	176	4.4e-18	65.2	pfam07690	MFS_1	353
2737832312	279	5	277	12	286	7.4e-80	268.2	pfam02219	MTHFR	287
2737832313	295	33	293	1	240	4.0e-67	225.8	pfam04378	RsmJ	245
2737832314	143	15	139	1	125	3.0e-53	179.2	pfam00572	Ribosomal_L13	125
2737832315	130	10	130	1	120	6.0e-44	149.3	pfam00380	Ribosomal_S9	120
2737832317	132	12	113	1	96	5.8e-25	87.3	pfam04519	Bactofilin	98
2737832318	121	14	117	3	110	1.0e-19	70.6	pfam01521	Fe-S_biosyn	111
2737832319	421	281	376	2	96	2.0e-33	114.3	pfam01551	Peptidase_M23	96
2737832320	421	54	341	5	289	1.1e-72	244.7	pfam00579	tRNA-synt_1b	293
2737832320	421	361	406	6	46	8.2e-08	31.7	pfam01479	S4	48
2737832321	130	13	130	1	117	1.3e-23	83.6	pfam01545	Cation_efflux	199
2737832322	642	1	465	50	513	0.0e+00	726.2	pfam01642	MM_CoA_mutase	513
2737832322	642	513	627	2	113	4.5e-17	62.1	pfam02310	B12-binding	121
2737832324	135	4	126	2	118	2.8e-05	24.5	pfam01850	PIN	122
2737832325	140	25	140	1	112	1.1e-46	158.9	pfam03308	ArgK	267
2737832326	557	26	508	1	203	3.1e-34	118.1	pfam04563	RNA_pol_Rpb2_1	203
2737832326	557	158	244	1	71	7.7e-08	32.1	pfam04561	RNA_pol_Rpb2_2	190
2737832326	557	324	462	98	190	5.4e-15	55.4	pfam04561	RNA_pol_Rpb2_2	190
2737832326	557	521	557	1	36	2.3e-09	37.1	pfam04565	RNA_pol_Rpb2_3	68
2737832327	125	4	55	2	46	1.4e-17	63	pfam16320	Ribosomal_L12_N	48
2737832327	125	59	125	1	67	9.9e-29	99.4	pfam00542	Ribosomal_L12	67
2737832328	166	3	100	2	100	1.4e-21	76.4	pfam00466	Ribosomal_L10	100
2737832329	231	30	220	2	205	3.3e-49	167.3	pfam00687	Ribosomal_L1	205
2737832330	143	9	67	1	58	5.0e-28	96.5	pfam03946	Ribosomal_L11_N	58
2737832330	143	72	140	1	70	8.4e-25	87	pfam00298	Ribosomal_L11	70
2737832331	191	17	122	1	94	4.3e-27	94.3	pfam02357	NusG	95
2737832331	191	140	175	2	30	1.5e-05	24.7	pfam00467	KOW	32
2737832332	126	68	125	2	51	8.9e-17	60.6	pfam00584	SecE	54
2737832334	32	1	31	75	110	1.5e-09	38	pfam03143	GTP_EFTU_D3	111
2737832336	664	40	189	7	109	5.9e-15	55.7	pfam02518	HATPase_c	111
2737832336	664	234	409	1	172	1.4e-33	115.7	pfam00204	DNA_gyraseB	175
2737832336	664	434	549	1	102	2.4e-12	46.9	pfam01751	Toprim	103
2737832336	664	589	654	2	63	3.8e-21	74.9	pfam00986	DNA_gyraseB_C	63
2737832337	358	39	358	1	255	8.1e-98	328	pfam00521	DNA_topoisoIV	427
2737832338	262	53	111	1	64	8.4e-09	35.4	pfam00288	GHMP_kinases_N	66
2737832340	324	8	125	2	116	7.8e-48	161.1	pfam13793	Pribosyltran_N	116
2737832340	324	200	318	75	184	9.3e-30	103.9	pfam14572	Pribosyl_synth	185
2737832341	209	4	90	4	81	1.0e-22	80.3	pfam01386	Ribosomal_L25p	81
2737832341	209	98	186	2	85	3.6e-27	94.4	pfam14693	Ribosomal_TL5_C	86
2737832342	209	4	187	1	156	1.2e-53	181.4	pfam01195	Pept_tRNA_hydro	160
2737832343	83	3	25	5	23	1.2e-05	24.7	pfam00037	Fer4	24
2737832344	166	13	144	2	142	9.4e-18	64.6	pfam01467	CTP_transf_like	143
2737832345	198	16	192	1	180	6.5e-46	156.1	pfam03602	Cons_hypoth95	182
2737832346	283	37	216	2	181	9.4e-24	84.3	pfam05193	Peptidase_M16_C	183
2737832347	93	44	93	1	50	5.3e-10	38.9	pfam13369	Transglut_core2	155
2737832348	521	28	485	1	443	2.0e-130	435.3	pfam03023	MVIN	452
2737832349	97	10	92	4	82	2.0e-23	82.7	pfam01649	Ribosomal_S20p	82
2737832350	94	5	94	3	87	1.5e-37	127.8	pfam12112	DUF3579	90
2737832351	327	9	322	7	330	2.3e-97	326.1	pfam00202	Aminotran_3	406
2737832352	548	1	204	128	334	1.0e-80	271.1	pfam00456	Transketolase_N	334
2737832352	548	223	406	2	176	8.8e-47	158.9	pfam02779	Transket_pyr	178
2737832352	548	426	537	7	124	4.2e-13	49.1	pfam02780	Transketolase_C	124
2737832353	335	3	105	2	100	3.2e-37	126.8	pfam00044	Gp_dh_N	101
2737832353	335	157	314	1	158	1.1e-63	213.4	pfam02800	Gp_dh_C	158
2737832356	84	5	84	3	83	1.3e-26	92.5	pfam00887	ACBP	85
2737832357	259	3	208	1	207	3.8e-52	177	pfam03309	Pan_kinase	208
2737832358	376	12	85	7	75	8.0e-08	32.4	pfam00753	Lactamase_B	197
2737832358	376	91	178	121	197	2.7e-06	27.4	pfam00753	Lactamase_B	197
2737832358	376	256	352	2	102	3.1e-05	24.3	pfam00581	Rhodanese	107
2737832359	81	9	77	2	51	6.8e-18	64.7	pfam02583	Trns_repr_metal	77
2737832362	480	36	203	1	175	4.8e-46	156.6	pfam00270	DEAD	176
2737832362	480	236	345	6	111	9.8e-23	80.5	pfam00271	Helicase_C	111
2737832362	480	402	473	1	71	4.1e-21	74.6	pfam03880	DbpA	72
2737832363	157	6	89	1	85	1.8e-17	63.2	pfam01985	CRS1_YhbY	85
2737832364	158	4	74	1	71	1.0e-31	108.7	pfam03449	GreA_GreB_N	71
2737832364	158	81	157	3	77	1.0e-27	95.7	pfam01272	GreA_GreB	77
2737832365	1000	42	249	1	210	6.2e-71	238.1	pfam02786	CPSase_L_D2	211
2737832365	1000	335	456	2	123	6.7e-41	139.3	pfam02787	CPSase_L_D3	123
2737832365	1000	586	794	1	209	1.7e-36	125.6	pfam02786	CPSase_L_D2	211
2737832365	1000	881	968	2	95	1.2e-19	70.2	pfam02142	MGS	95
2737832366	239	45	229	7	180	1.2e-34	119.4	pfam00211	Guanylate_cyc	183
2737832367	156	3	29	4	27	3.4e-10	38.9	pfam07963	N_methyl	27
2737832367	156	37	148	2	109	2.3e-07	31.5	pfam00114	Pilin	109
2737832368	494	268	397	1	131	9.3e-29	100.4	pfam00004	AAA	132
2737832369	172	18	153	1	129	4.9e-56	188.2	pfam01967	MoaC	129
2737832370	325	89	273	23	195	3.8e-26	91.9	pfam01435	Peptidase_M48	196
2737832372	130	8	109	15	82	2.3e-12	47.1	pfam01503	PRA-PH	83
2737832373	118	13	113	3	95	4.4e-24	84.9	pfam01230	HIT	98
2737832374	75	4	74	2	46	8.2e-13	47.3	pfam02416	MttA_Hcf106	53
