	Polynucleobacter_sp_VK13_2708742530	Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	B52_Sp13.BD.MM15.SD_rebin1	B38_Sp13.BD.MM110.DD_rebin5	Limnohabitans_sp_63ED37-2_NZ.CP011774.1	Chitinophaga_niabensis_2636416022	B4_Fa13.BD.MLB.DN_rebin2	B22_Fa13.BD.MLB.SN_rebin5	B58_Su13.BD.MLB.SD.C_rebin3	Limnohabitans_sp_Rim28_NZ.ALKN00000000.1	B63_Su13.BD.MM110.DCMD_rebin1	B21_Fa13.BD.MLB.SN_rebin4	Limnohabitans_sp_103DPR2_NZ.CP011834.1	Limnohabitans_sp_DM1_NZ.CXOO00000000.1	Polynucleobacter_sp_UB-Domo-W1_2710724123	Limnohabitans_sp_Rim47_2684622883	Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	Polynucleobacter_sp_AP-Melu-1000-B4_2710724120	Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	B72-73_Su13.BD.MM15.SN.C_rebin5-6_refined1	Polynucleobacter_necessarius_STIR1_2503982034	Limnohabitans_sp_Rim11_CXOM00000000.1	B72-73_Su13.BD.MM15.SN.C_rebin5-6_refined2	B28_Fa13.BD.MM110.DN_rebin2	Polynucleobacter_sp_QWL-P1DMWA-1_640427129
Polynucleobacter_sp_VK13_2708742530	1.0	0.6830139999999998	0.6792	0.6843688524590164	0.6859564285714288	0.6953	0.6859155844155845	0.6731218487394958	0.6894718309859157	0.6853704697986578	0.684889256198347	0.6812101851851854	0.6936508108108107	0.6819145038167942	0.7118375527426161	0.6877516778523495	0.688014084507042	0.7114765550239233	0.687977536231884	0.684037647058824	0.713749373433584	0.6933761904761899	0.6841771739130437	0.6839730434782609	0.7107848017621151
Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	0.6814468965517242	1.0	0.7435888888888887	0.7710189823874757	0.844060836820084	0.6737375	0.7438463343108507	0.7489960215053761	0.8105169109357381	0.8250520379146911	0.7474406249999997	0.7392050492610837	0.7508602150537631	0.8529630795406239	0.6893213114754095	0.8226454498714642	0.8401160458452729	0.6897931428571422	0.8480162174105175	0.8348927261227076	0.6892136094674558	0.7529756978653527	0.744165291262136	0.7360263736263731	0.6900837438423644
B52_Sp13.BD.MM15.SD_rebin1	0.6829550000000002	0.7455639777468696	1.0	0.7450569321533925	0.7449391428571422	0.0	0.8934847491638785	0.7462995312499997	0.7455343930635837	0.7445885964912273	0.7372450738916257	0.7377526515151513	0.7378940514469459	0.7492521354933726	0.689384482758621	0.7425880664652571	0.7444552325581394	0.6926721739130435	0.7506144776119399	0.7518758964143426	0.6930075471698116	0.7353761980830672	0.9238030998140104	0.7444266447368426	0.6944906976744187
B38_Sp13.BD.MM110.DD_rebin5	0.6779177777777775	0.7712483076923071	0.7428419825072885	1.0	0.7720783114992728	0.6503750000000001	0.741673218673219	0.7460106639839031	0.7685686046511627	0.7675076347305391	0.7404873949579835	0.7389412313432836	0.7450036363636372	0.7750085585585591	0.6861448000000001	0.7675163328197233	0.7719678092399406	0.6907696296296294	0.7711831513260525	0.768038815789474	0.6897564885496185	0.7429052141527003	0.7424164271047227	0.7387422222222222	0.6928368421052631
Limnohabitans_sp_63ED37-2_NZ.CP011774.1	0.69595034965035	0.846204332904332	0.7439302197802197	0.7698000000000004	1.0	0.6927428571428572	0.7436448540706606	0.7466335533553354	0.8109258314855876	0.8336364137931038	0.7466287548138634	0.7381309495896846	0.7554031611410938	0.8488577154308621	0.6995719780219781	0.8258603465851175	0.8558730389854367	0.6996188172043012	0.8395570918367349	0.8519944996686553	0.7038705202312144	0.7515553933495537	0.7433105721393042	0.7359730180806676	0.6891064171122993
Chitinophaga_niabensis_2636416022	0.7026666666666668	0.6672142857142858	0.0	0.6509	0.680711111111111	1.0	0.6779000000000001	0.6695000000000001	0.66125	0.6831428571428572	0.66595	0.66092	0.6891250000000001	0.66675	0.7159375	0.6882875	0.6940333333333333	0.7118	0.6891444444444444	0.6734666666666668	0.708675	0.6876625	0.66405	0.65495	0.6766599999999999
B4_Fa13.BD.MLB.DN_rebin2	0.6845774509803922	0.7490669039145909	0.8954048762736524	0.7431037878787876	0.745698143564356	0.6927	1.0	0.7460905660377354	0.7510562499999991	0.7451301507537684	0.737529605263158	0.7378198707592896	0.7374921379310344	0.7518706535141795	0.6931480000000001	0.747079578392623	0.7438540312876059	0.6917842519685046	0.7530743209876546	0.7513084775086502	0.6913070175438599	0.7353101508916327	0.8861440750670242	0.7422240687679097	0.6948423357664237
B22_Fa13.BD.MLB.SN_rebin5	0.6781515873015873	0.7500118677042806	0.742443288590604	0.7453995555555558	0.748119785575049	0.6695875	0.7427160326086956	1.0	0.7490159680638725	0.7454390838206633	0.7304846286701211	0.7346108484005559	0.7320941368078177	0.753034843907352	0.6848621301775143	0.7467115942028982	0.7494573673870327	0.6865839743589743	0.7524038152610446	0.7508344729344727	0.6873793333333333	0.7319135103926097	0.7420748853211013	0.7382974867724864	0.6887089473684215
B58_Su13.BD.MLB.SD.C_rebin3	0.6920604651162787	0.812545026642984	0.7481905555555558	0.7679816023738877	0.8128154965753417	0.6895333333333333	0.7472447795823669	0.7486237410071938	1.0	0.8085702825888796	0.7632389452332657	0.7431312114989734	0.7620146191646187	0.8124532110091736	0.6944736842105264	0.8202474243663125	0.8165000843881873	0.6977357798165136	0.8110086837294332	0.809774167776299	0.7002330275229359	0.7621022641509443	0.7504510805500992	0.7407004662004663	0.6951985185185182
Limnohabitans_sp_Rim28_NZ.ALKN00000000.1	0.685337820512821	0.8267979196217458	0.743223971377459	0.768251346153846	0.8328230594643646	0.6876538461538461	0.7400936363636355	0.7447350210970468	0.805313099415205	1.0	0.7488332484076428	0.7393782661782664	0.7516549096622148	0.8273156335710359	0.6894886010362692	0.815089660831509	0.8294401901901886	0.6915084656084655	0.8247817386550017	0.8294934144595557	0.6934994680851065	0.7535356853203569	0.7446348093480937	0.7374436288088634	0.6900588744588748
