gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2757584205	555	51.01	1	539	3	541	0.0e+00	509	COG2303	Choline dehydrogenase or related flavoprotein	542
2757584206	371	19.03	155	359	59	281	1.0e-13	71.1	COG2175	Taurine dioxygenase, alpha-ketoglutarate-dependent	286
2757584207	201	28.28	51	193	22	164	6.0e-25	107	COG4341	Predicted HD phosphohydrolase	186
2757584208	504	30.48	2	447	1	468	8.0e-70	258	COG3119	Arylsulfatase A or related enzyme	475
2757584209	260	43.36	3	254	5	255	4.0e-47	181	COG1024	Enoyl-CoA hydratase/carnithine racemase	257
2757584210	386	41.67	1	386	1	392	1.0e-84	307	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	393
2757584211	186	31.01	38	166	11	137	1.0e-19	89.5	COG0824	Acyl-CoA thioesterase FadM	137
2757584212	811	52.64	1	394	91	487	3.0e-117	416	COG1530	Ribonuclease G or E	487
2757584215	444	20.79	17	423	11	434	4.0e-31	129	COG2211	Na+/melibiose symporter or related transporter	467
2757584217	419	48.3	124	417	3	283	8.0e-84	304	COG2230	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases	283
2757584220	484	55.74	9	484	6	481	0.0e+00	661	COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	483
2757584223	160	35.53	3	154	3	154	2.0e-38	151	COG1905	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)	160
2757584224	676	35.74	24	532	24	540	6.0e-101	362	COG2936	Predicted acyl esterase	563
2757584225	294	19.51	10	286	8	288	1.0e-05	44	COG2962	Uncharacterized membrane protein RarD, contains two EamA domains	293
2757584226	418	20.66	63	391	58	382	1.0e-05	44.8	COG2814	Predicted arabinose efflux permease, MFS family	394
2757584227	403	44.62	8	397	6	384	3.0e-114	405	COG4175	ABC-type proline/glycine betaine transport system, ATPase component	386
2757584228	287	55.93	8	277	7	275	2.0e-85	309	COG4176	ABC-type proline/glycine betaine transport system, permease component	290
2757584229	287	49.46	1	277	26	302	4.0e-85	308	COG2113	ABC-type proline/glycine betaine transport system, periplasmic component	302
2757584231	144	32.37	11	132	8	144	3.0e-11	61.1	COG4539	Uncharacterized membrane protein YGL010W	180
2757584232	363	41.67	42	313	3	265	3.0e-57	215	COG0489	Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster	265
2757584233	728	37.52	35	598	1	554	0.0e+00	580	COG0143	Methionyl-tRNA synthetase	558
2757584234	546	37	19	543	13	531	3.0e-96	346	COG0659	Sulfate permease or related transporter, MFS superfamily	554
2757584236	283	44.96	47	278	1	238	6.0e-48	184	COG1354	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	248
2757584237	522	56.7	5	522	7	503	0.0e+00	646	COG0029	Aspartate oxidase	518
2757584239	554	38.53	1	554	2	537	0.0e+00	467	COG2303	Choline dehydrogenase or related flavoprotein	542
2757584240	269	30.23	11	264	1	255	1.0e-18	87	COG0730	Uncharacterized membrane protein YfcA	258
2757584241	657	35.29	2	613	1	589	4.0e-123	435	COG0768	Cell division protein FtsI/penicillin-binding protein 2	599
2757584242	176	35.4	7	166	1	159	1.0e-16	79.8	COG2891	Cell shape-determining protein MreD	167
2757584243	308	28.42	12	288	1	275	3.0e-40	159	COG1792	Cell shape-determining protein MreC	284
2757584244	347	64.93	5	347	1	342	0.0e+00	464	COG1077	Actin-like ATPase involved in cell morphogenesis	342
2757584245	99	38.38	1	99	1	95	1.0e-16	78.3	COG0721	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	96
2757584248	424	45.66	11	399	6	394	2.0e-118	419	COG0019	Diaminopimelate decarboxylase	394
2757584249	200	35.35	1	198	6	200	5.0e-30	124	COG2717	Periplasmic DMSO/TMAO reductase YedYZ, heme-binding membrane subunit	209
2757584250	326	41.84	24	293	1	267	9.0e-56	210	COG2041	Periplasmic DMSO/TMAO reductase YedYZ, molybdopterin-dependent catalytic subunit	271
2757584251	204	44.09	1	127	2	121	2.0e-22	99.7	COG2863	Cytochrome c553	121
2757584252	238	45.05	30	226	5	199	7.0e-51	193	COG0218	GTP-binding protein EngB required for normal cell division	200
2757584253	290	32.53	2	280	18	300	2.0e-45	176	COG1560	Lauroyl/myristoyl acyltransferase	308
2757584254	394	68.53	1	392	1	387	0.0e+00	655	COG0192	S-adenosylmethionine synthetase	388
2757584256	196	33.49	1	193	1	217	1.0e-21	96.6	COG4094	Uncharacterized membrane protein	219
2757584257	424	27.3	19	312	6	289	8.0e-37	148	COG1035	Coenzyme F420-reducing hydrogenase, beta subunit	332
2757584260	280	31.27	1	280	1	286	3.0e-40	159	COG3176	Putative hemolysin	292
2757584261	405	27.55	21	397	2	381	7.0e-37	148	COG0438	Glycosyltransferase involved in cell wall bisynthesis	381
2757584264	324	60.41	6	297	2	294	1.0e-114	406	COG0761	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	294
2757584265	437	56.24	1	437	1	428	0.0e+00	570	COG0172	Seryl-tRNA synthetase	429
2757584268	81	71.83	2	71	1	71	2.0e-24	103	COG1923	sRNA-binding regulator protein Hfq	77
2757584269	445	47.53	1	444	2	444	0.0e+00	553	COG1160	Predicted GTPases	444
2757584271	219	32.49	5	201	3	198	1.0e-27	116	COG2976	Putative negative regulator of RcsB-dependent stress response	207
2757584272	432	47.12	2	407	1	411	4.0e-128	451	COG0124	Histidyl-tRNA synthetase	429
2757584273	419	44.42	15	417	4	357	7.0e-122	430	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE	361
2757584274	287	20.3	25	222	7	208	4.0e-13	69	COG1426	Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains	284
