,Position,value
contig_18674_1,0,5.72334360859
contig_18674_1,1,-1.06514703318
contig_18674_1,2,-1.06552276899
contig_18674_1,3,38.6780169384
contig_18674_1,4,-1.62844045827
contig_18674_1,5,-1.64854466146
contig_18674_1,6,-1.68815756202
contig_18674_1,7,-1.72835178969
contig_18674_1,8,4.54557907753
contig_18674_1,9,-1.86903158652
contig_18674_1,10,-1.93002674067
contig_18674_1,11,-1.93039290825
contig_18674_1,12,-1.9702356311
contig_18674_1,13,-1.98961426952
contig_18674_1,14,-2.00971138336
contig_18674_1,15,-2.01042031885
contig_18674_1,16,-2.09086230239
contig_18674_1,17,-2.11019695252
contig_18674_1,18,-2.17048829403
contig_18674_1,19,-2.17125394436
contig_18674_1,20,-2.2119085407
contig_18674_1,21,-2.23201680016
contig_18674_1,22,-2.29107097703
contig_18674_1,23,-2.31201119976
contig_18674_1,24,-2.3723245354
contig_18674_1,25,-2.37229597625
contig_18674_1,26,-2.39155654619
contig_18674_1,27,-2.43263787105
contig_18674_1,28,-2.5121392292
contig_18674_1,29,-2.57333800813
contig_18674_1,30,-2.59344221132
contig_18674_1,31,-2.6930132537
contig_18674_1,32,-2.69399565885
contig_18674_1,33,-2.71406743045
contig_18674_1,34,-2.7533045952
contig_18674_1,35,-2.81462233014
contig_18674_1,36,-2.85483122057
contig_18674_1,37,-2.895040111
contig_18674_1,38,-2.93580588129
contig_18674_1,39,-2.99556233707
contig_18674_1,40,-3.0357712275
contig_18674_1,41,-3.07485841654
contig_18674_1,42,2.24269206391
contig_18674_1,43,-3.11678021644
contig_18674_1,44,-3.15699673536
contig_18674_1,45,2.13107709049
contig_18674_1,46,3.22873844115
contig_18674_1,47,-3.29592666871
contig_18674_1,48,-3.33733790573
contig_18674_1,49,-3.33612089637
contig_18674_1,50,-3.39641223787
contig_18674_1,51,-3.39765124138
contig_18674_1,52,-3.41771454205
contig_18674_1,53,-3.45792294843
contig_18674_1,54,1.63895019722
contig_18674_1,55,-3.53838235789
contig_18674_1,56,2.86285254738
contig_18674_1,57,2.70602286555
contig_18674_1,58,-3.8600070122
contig_18674_1,59,-3.90021541858
contig_18674_1,60,-4.02084063771
contig_18674_1,61,-4.11990833588
contig_18674_1,62,-4.20182904999
contig_18674_1,63,-4.32245572128
contig_18674_1,64,-4.40282049829
contig_18674_1,65,-4.4238170814
contig_18674_1,66,-4.5243583787
contig_18674_1,67,-4.56457489762
contig_18674_1,68,-4.64407093655
contig_18674_1,69,3.08151335806
contig_18674_1,70,1.7772255752
contig_18674_1,71,-4.80496240645
contig_18674_1,72,-4.88359866156
contig_18674_1,73,1.47965170742
contig_18674_1,74,-5.04621574903
