,Position,value
contig_19657_2,0,1.0
contig_19657_2,1,1.0
contig_19657_2,2,0.0853421360447
contig_19657_2,3,1.0
contig_19657_2,4,1.0
contig_19657_2,5,0.0992616051118
contig_19657_2,6,1.0
contig_19657_2,7,0.0
contig_19657_2,8,1.0
contig_19657_2,9,3.29270388733e-10
contig_19657_2,10,0.39645173828
contig_19657_2,11,0.129102125125
contig_19657_2,12,1.0
contig_19657_2,13,1.0
contig_19657_2,14,1.0
contig_19657_2,15,1.0
contig_19657_2,16,7.37965244468e-13
contig_19657_2,17,1.0
contig_19657_2,18,8.85106432591e-11
contig_19657_2,19,0.00187155468283
contig_19657_2,20,1.0
contig_19657_2,21,1.0
contig_19657_2,22,1.00473555142e-07
contig_19657_2,23,0.144340701516
contig_19657_2,24,0.254887493982
contig_19657_2,25,1.0
contig_19657_2,26,1.0
contig_19657_2,27,0.291151282812
contig_19657_2,28,8.87068196676e-14
contig_19657_2,29,1.0
contig_19657_2,30,0.186257092988
contig_19657_2,31,1.54683730158e-07
contig_19657_2,32,0.0
contig_19657_2,33,1.0
contig_19657_2,34,1.0
contig_19657_2,35,1.0
contig_19657_2,36,1.0
contig_19657_2,37,1.0
contig_19657_2,38,1.0
contig_19657_2,39,0.00274379440277
contig_19657_2,40,0.0
contig_19657_2,41,1.0
contig_19657_2,42,1.11022302463e-15
contig_19657_2,43,1.18793863635e-14
contig_19657_2,44,1.0
contig_19657_2,45,1.0
contig_19657_2,46,1.0
contig_19657_2,47,1.0
contig_19657_2,48,1.0
contig_19657_2,49,0.0
contig_19657_2,50,1.0
contig_19657_2,51,1.0
contig_19657_2,52,0.0
contig_19657_2,53,1.0
contig_19657_2,54,0.0981515064921
contig_19657_2,55,1.36210762081e-06
contig_19657_2,56,1.0
contig_19657_2,57,1.0
contig_19657_2,58,1.17342480177e-09
contig_19657_2,59,1.0
contig_19657_2,60,1.0
contig_19657_2,61,0.0
contig_19657_2,62,1.0
contig_19657_2,63,1.0
contig_19657_2,64,0.215222276221
contig_19657_2,65,1.0
contig_19657_2,66,1.0
contig_19657_2,67,0.0
contig_19657_2,68,1.0
contig_19657_2,69,1.0
contig_19657_2,70,1.0
contig_19657_2,71,1.0
contig_19657_2,72,0.000149630788787
contig_19657_2,73,0.105262800516
contig_19657_2,74,1.0
contig_19657_2,75,1.0
contig_19657_2,76,1.0
contig_19657_2,77,1.0
contig_19657_2,78,0.0
contig_19657_2,79,1.0
contig_19657_2,80,1.0
contig_19657_2,81,1.0
contig_19657_2,82,1.0
contig_19657_2,83,0.0975902652457
contig_19657_2,84,1.0
contig_19657_2,85,2.08832950932e-13
contig_19657_2,86,1.0
contig_19657_2,87,1.11022302463e-16
contig_19657_2,88,0.0830776454072
contig_19657_2,89,0.18007914595
contig_19657_2,90,0.0605566621843
contig_19657_2,91,0.0
contig_19657_2,92,1.0
contig_19657_2,93,1.0
contig_19657_2,94,0.0
contig_19657_2,95,1.0
contig_19657_2,96,1.0
contig_19657_2,97,0.224447057259
contig_19657_2,98,1.0
contig_19657_2,99,1.0
contig_19657_2,100,0.00884099725191
contig_19657_2,101,1.0
contig_19657_2,102,1.0
contig_19657_2,103,0.00947963667509
contig_19657_2,104,1.0
contig_19657_2,105,1.0
contig_19657_2,106,1.0
contig_19657_2,107,1.0
contig_19657_2,108,1.0
contig_19657_2,109,1.0
contig_19657_2,110,0.0663160938535
contig_19657_2,111,1.0
contig_19657_2,112,0.586160482279
contig_19657_2,113,1.0
contig_19657_2,114,1.0
contig_19657_2,115,1.0
contig_19657_2,116,1.0
contig_19657_2,117,1.0
contig_19657_2,118,1.0
contig_19657_2,119,1.0
contig_19657_2,120,1.0
contig_19657_2,121,1.0
contig_19657_2,122,0.106548806019
contig_19657_2,123,1.0
contig_19657_2,124,0.0
contig_19657_2,125,1.0
contig_19657_2,126,0.0802123458369
contig_19657_2,127,0.0728381468098
contig_19657_2,128,1.0
contig_19657_2,129,1.0
contig_19657_2,130,0.0
contig_19657_2,131,1.0
contig_19657_2,132,0.159634988464
contig_19657_2,133,2.71005440311e-13
contig_19657_2,134,0.0
contig_19657_2,135,1.0
contig_19657_2,136,1.0
contig_19657_2,137,1.0
contig_19657_2,138,1.0
contig_19657_2,139,1.0
contig_19657_2,140,1.0
contig_19657_2,141,1.0
contig_19657_2,142,1.0
contig_19657_2,143,1.0
contig_19657_2,144,1.0
contig_19657_2,145,4.82480722042e-12
contig_19657_2,146,1.0
contig_19657_2,147,0.159634988464
contig_19657_2,148,1.48214773787e-13
contig_19657_2,149,0.0
contig_19657_2,150,0.507324308192
contig_19657_2,151,0.0
contig_19657_2,152,1.0
contig_19657_2,153,1.0
contig_19657_2,154,1.0
contig_19657_2,155,1.0
contig_19657_2,156,1.0
contig_19657_2,157,1.0
contig_19657_2,158,1.0
contig_19657_2,159,5.90727378125e-09
contig_19657_2,160,1.0
contig_19657_2,161,0.135570254486
contig_19657_2,162,1.0
contig_19657_2,163,0.000339069279768
contig_19657_2,164,1.0
contig_19657_2,165,1.0
contig_19657_2,166,0.208777404903
contig_19657_2,167,1.0
contig_19657_2,168,1.0
contig_19657_2,169,0.0
contig_19657_2,170,1.0
contig_19657_2,171,1.0
contig_19657_2,172,0.0122620027068
contig_19657_2,173,1.0
contig_19657_2,174,0.206548262195
contig_19657_2,175,0.000159674520592
contig_19657_2,176,1.0
contig_19657_2,177,1.0
contig_19657_2,178,0.000696980723143
contig_19657_2,179,0.228263329038
contig_19657_2,180,1.0
contig_19657_2,181,0.0
contig_19657_2,182,1.0
contig_19657_2,183,1.0
contig_19657_2,184,0.379306082344
contig_19657_2,185,1.0
contig_19657_2,186,1.0
contig_19657_2,187,1.0
contig_19657_2,188,1.0
contig_19657_2,189,1.0
contig_19657_2,190,2.98727898196e-07
contig_19657_2,191,1.0
contig_19657_2,192,1.0
contig_19657_2,193,0.219432960604
contig_19657_2,194,1.0
contig_19657_2,195,1.0
contig_19657_2,196,0.000147423951729
contig_19657_2,197,1.0
contig_19657_2,198,1.0
contig_19657_2,199,0.00317972294163
contig_19657_2,200,1.0
contig_19657_2,201,1.0
contig_19657_2,202,1.04959374525e-10
contig_19657_2,203,1.0
contig_19657_2,204,0.147149042654
contig_19657_2,205,0.011438524183
contig_19657_2,206,0.227038346427
contig_19657_2,207,1.0
contig_19657_2,208,0.0132184602398
contig_19657_2,209,1.0
contig_19657_2,210,1.0
contig_19657_2,211,1.0
contig_19657_2,212,1.0
contig_19657_2,213,1.0
contig_19657_2,214,1.0
contig_19657_2,215,1.0
contig_19657_2,216,0.0
contig_19657_2,217,4.86219511875e-07
contig_19657_2,218,1.0
contig_19657_2,219,0.140147830264
contig_19657_2,220,0.0
contig_19657_2,221,1.0
contig_19657_2,222,1.0
contig_19657_2,223,0.160022890683
contig_19657_2,224,1.0
contig_19657_2,225,1.0
contig_19657_2,226,3.97497188309e-06
contig_19657_2,227,0.258845564481
contig_19657_2,228,0.142122497178
contig_19657_2,229,3.51364703999e-09
contig_19657_2,230,1.0
contig_19657_2,231,3.60674857092e-07
contig_19657_2,232,0.0
contig_19657_2,233,1.0
contig_19657_2,234,3.8888570571e-05
contig_19657_2,235,1.11022302463e-16
contig_19657_2,236,0.0
contig_19657_2,237,0.0
contig_19657_2,238,9.64653511056e-05
contig_19657_2,239,1.0
contig_19657_2,240,1.0
contig_19657_2,241,1.35806477175e-10
contig_19657_2,242,1.0
contig_19657_2,243,1.0
contig_19657_2,244,0.624876652305
contig_19657_2,245,1.0
contig_19657_2,246,0.0853421360447
contig_19657_2,247,0.0980205688663
contig_19657_2,248,0.195206073803
contig_19657_2,249,0.0
contig_19657_2,250,0.0
contig_19657_2,251,1.0
contig_19657_2,252,0.114109098238
contig_19657_2,253,1.0
contig_19657_2,254,1.0
contig_19657_2,255,1.0
contig_19657_2,256,8.89431158302e-06
contig_19657_2,257,1.0
contig_19657_2,258,3.52702228649e-05
contig_19657_2,259,0.00505464198672
contig_19657_2,260,1.0
contig_19657_2,261,1.0
contig_19657_2,262,0.0
contig_19657_2,263,1.0
contig_19657_2,264,1.0
contig_19657_2,265,1.0
contig_19657_2,266,1.0
contig_19657_2,267,1.0
contig_19657_2,268,0.0
contig_19657_2,269,1.0
contig_19657_2,270,1.0
contig_19657_2,271,0.0
contig_19657_2,272,0.112663249508
contig_19657_2,273,1.0
contig_19657_2,274,0.0074012084615
contig_19657_2,275,1.0
contig_19657_2,276,1.0
contig_19657_2,277,0.655552814039
contig_19657_2,278,0.00364902257644
contig_19657_2,279,1.0
contig_19657_2,280,1.34667018759e-07
contig_19657_2,281,1.0
contig_19657_2,282,1.0
contig_19657_2,283,7.46857649907e-05
contig_19657_2,284,1.0
contig_19657_2,285,1.0
contig_19657_2,286,0.0
contig_19657_2,287,1.0
contig_19657_2,288,0.000769516408809
contig_19657_2,289,0.0
contig_19657_2,290,0.0479730876264
contig_19657_2,291,1.0
contig_19657_2,292,1.0
contig_19657_2,293,1.0
contig_19657_2,294,5.55111512313e-16
contig_19657_2,295,0.0886793976585
contig_19657_2,296,1.0
contig_19657_2,297,0.0
contig_19657_2,298,0.00328852689841
contig_19657_2,299,0.353930074611
contig_19657_2,300,1.0
contig_19657_2,301,1.0
contig_19657_2,302,1.0
contig_19657_2,303,1.0
contig_19657_2,304,0.0
contig_19657_2,305,1.0
contig_19657_2,306,1.0
contig_19657_2,307,0.40952027615
contig_19657_2,308,1.0
contig_19657_2,309,1.0
contig_19657_2,310,0.0
contig_19657_2,311,1.0
contig_19657_2,312,1.0
contig_19657_2,313,0.0
contig_19657_2,314,0.0
contig_19657_2,315,0.0
contig_19657_2,316,1.0
contig_19657_2,317,1.0
contig_19657_2,318,0.0904741433522
contig_19657_2,319,0.0
contig_19657_2,320,1.0
contig_19657_2,321,1.0
contig_19657_2,322,1.0
contig_19657_2,323,1.0
contig_19657_2,324,1.0
contig_19657_2,325,0.151264750882
contig_19657_2,326,1.0
contig_19657_2,327,1.0
contig_19657_2,328,1.0
contig_19657_2,329,0.0445582681485
contig_19657_2,330,1.0
contig_19657_2,331,1.0
contig_19657_2,332,0.0737491112654
contig_19657_2,333,1.0
contig_19657_2,334,0.0897922806778
contig_19657_2,335,0.0746614370913
contig_19657_2,336,1.0
contig_19657_2,337,1.82608150823e-10
contig_19657_2,338,1.0
contig_19657_2,339,1.0
contig_19657_2,340,1.0
contig_19657_2,341,1.0
contig_19657_2,342,1.0
contig_19657_2,343,1.0
contig_19657_2,344,1.0
contig_19657_2,345,1.0
contig_19657_2,346,0.0
contig_19657_2,347,1.0
contig_19657_2,348,1.0
contig_19657_2,349,0.224235510498
contig_19657_2,350,6.17592240307e-05
contig_19657_2,351,1.0
contig_19657_2,352,0.209322849668
contig_19657_2,353,1.0
contig_19657_2,354,0.0
contig_19657_2,355,1.0
contig_19657_2,356,1.0
contig_19657_2,357,1.0
contig_19657_2,358,0.209125523602
contig_19657_2,359,1.0
contig_19657_2,360,1.0
contig_19657_2,361,1.0
contig_19657_2,362,1.0
contig_19657_2,363,1.0
contig_19657_2,364,0.172947463888
contig_19657_2,365,0.403111250867
contig_19657_2,366,1.0
contig_19657_2,367,0.0737491112654
contig_19657_2,368,1.0
contig_19657_2,369,1.0
contig_19657_2,370,0.0893398372301
contig_19657_2,371,0.0834227530988
contig_19657_2,372,0.0616144576375
contig_19657_2,373,1.0
contig_19657_2,374,1.0
contig_19657_2,375,1.0
contig_19657_2,376,1.0
contig_19657_2,377,1.0
contig_19657_2,378,1.0
contig_19657_2,379,0.0
contig_19657_2,380,1.0
contig_19657_2,381,1.0
contig_19657_2,382,0.000693564598277
contig_19657_2,383,1.0
contig_19657_2,384,1.0
contig_19657_2,385,1.57763997422e-08
contig_19657_2,386,1.0
contig_19657_2,387,1.0
contig_19657_2,388,0.0
contig_19657_2,389,1.0
contig_19657_2,390,1.0
contig_19657_2,391,2.05585505286e-08
contig_19657_2,392,1.0
contig_19657_2,393,1.0
contig_19657_2,394,1.0
contig_19657_2,395,1.0
contig_19657_2,396,1.0
contig_19657_2,397,2.91212609582e-11
contig_19657_2,398,1.0
contig_19657_2,399,1.0
contig_19657_2,400,0.000101414255293
contig_19657_2,401,1.0
contig_19657_2,402,4.02559097168e-11
contig_19657_2,403,6.88000970409e-05
contig_19657_2,404,1.0
contig_19657_2,405,1.0
contig_19657_2,406,0.136990074379
contig_19657_2,407,1.0
contig_19657_2,408,1.0
contig_19657_2,409,0.00416616336138
contig_19657_2,410,1.0
contig_19657_2,411,0.00850703384278
contig_19657_2,412,1.0
contig_19657_2,413,0.0689830977704
contig_19657_2,414,1.0
contig_19657_2,415,2.22044604925e-16
contig_19657_2,416,1.0
contig_19657_2,417,1.0
contig_19657_2,418,0.0946035264788
contig_19657_2,419,1.9885746344e-06
contig_19657_2,420,1.0
contig_19657_2,421,1.33421919235e-06
contig_19657_2,422,1.0
contig_19657_2,423,1.0
contig_19657_2,424,7.13594478554e-05
contig_19657_2,425,1.0
contig_19657_2,426,1.0
contig_19657_2,427,0.0
contig_19657_2,428,1.0
contig_19657_2,429,1.0
contig_19657_2,430,1.0
contig_19657_2,431,1.0
contig_19657_2,432,1.0
contig_19657_2,433,0.0232013120984
contig_19657_2,434,1.0
contig_19657_2,435,1.0
contig_19657_2,436,0.310831336587
contig_19657_2,437,1.0
contig_19657_2,438,1.0
contig_19657_2,439,0.101293801256
contig_19657_2,440,1.0
contig_19657_2,441,0.0709215490027
contig_19657_2,442,1.0
contig_19657_2,443,1.0
contig_19657_2,444,1.0
contig_19657_2,445,0.00260964040046
contig_19657_2,446,1.0
contig_19657_2,447,1.0
contig_19657_2,448,1.0
contig_19657_2,449,1.0
contig_19657_2,450,0.0613010167604
contig_19657_2,451,0.00371313035009
contig_19657_2,452,1.0
contig_19657_2,453,1.0
contig_19657_2,454,1.0
contig_19657_2,455,1.0
contig_19657_2,456,1.0
contig_19657_2,457,0.365019570604
contig_19657_2,458,1.0
contig_19657_2,459,1.0
contig_19657_2,460,1.67979241628e-09
contig_19657_2,461,0.049723992234
contig_19657_2,462,1.0
contig_19657_2,463,8.89683393623e-09
contig_19657_2,464,1.0
contig_19657_2,465,1.0
contig_19657_2,466,1.0
contig_19657_2,467,1.0
contig_19657_2,468,1.0
contig_19657_2,469,1.44101720556e-08
contig_19657_2,470,1.0
contig_19657_2,471,1.0
contig_19657_2,472,8.47877323906e-13
contig_19657_2,473,1.0
contig_19657_2,474,1.0
contig_19657_2,475,0.0
contig_19657_2,476,1.0
contig_19657_2,477,1.0
contig_19657_2,478,1.0
contig_19657_2,479,1.0
contig_19657_2,480,1.0
contig_19657_2,481,1.0
contig_19657_2,482,1.0
contig_19657_2,483,1.0
contig_19657_2,484,0.0
contig_19657_2,485,0.0784338807859
contig_19657_2,486,1.0
contig_19657_2,487,1.0
contig_19657_2,488,1.0
contig_19657_2,489,1.0
contig_19657_2,490,0.0071810599689
contig_19657_2,491,1.0
contig_19657_2,492,1.0
contig_19657_2,493,8.5931262106e-14
contig_19657_2,494,0.0613010167604
contig_19657_2,495,1.0
contig_19657_2,496,2.70574340711e-09
contig_19657_2,497,1.0
contig_19657_2,498,0.0825649076423
contig_19657_2,499,1.33226762955e-15
contig_19657_2,500,1.0
contig_19657_2,501,1.0
contig_19657_2,502,1.0
contig_19657_2,503,1.0
contig_19657_2,504,1.0
contig_19657_2,505,1.0
contig_19657_2,506,1.0
contig_19657_2,507,1.0
contig_19657_2,508,1.0
contig_19657_2,509,1.0
contig_19657_2,510,1.0
contig_19657_2,511,1.0
contig_19657_2,512,1.0
contig_19657_2,513,1.0
contig_19657_2,514,1.0
contig_19657_2,515,1.0
contig_19657_2,516,1.0
contig_19657_2,517,1.0
contig_19657_2,518,1.0
contig_19657_2,519,0.0569545181813
contig_19657_2,520,0.00370524633015
contig_19657_2,521,1.0
contig_19657_2,522,1.0
contig_19657_2,523,1.0
contig_19657_2,524,1.0
contig_19657_2,525,1.0
contig_19657_2,526,1.0
contig_19657_2,527,1.0
contig_19657_2,528,1.0
contig_19657_2,529,1.87741979185e-07
contig_19657_2,530,1.0
contig_19657_2,531,1.0
contig_19657_2,532,1.0
contig_19657_2,533,1.0
contig_19657_2,534,6.15412929061e-07
contig_19657_2,535,1.0
contig_19657_2,536,1.0
contig_19657_2,537,0.0707515268232
contig_19657_2,538,0.0
contig_19657_2,539,1.0
contig_19657_2,540,1.0
contig_19657_2,541,5.60551605133e-13
contig_19657_2,542,1.0
contig_19657_2,543,0.00214155087551
contig_19657_2,544,0.0927657551057
contig_19657_2,545,1.0
contig_19657_2,546,1.0
contig_19657_2,547,0.0578724225618
contig_19657_2,548,1.0
contig_19657_2,549,0.0390555599753
contig_19657_2,550,2.82126171731e-05
contig_19657_2,551,1.0
contig_19657_2,552,1.0
contig_19657_2,553,1.0
contig_19657_2,554,1.0
contig_19657_2,555,1.0
contig_19657_2,556,2.71640705107e-06
contig_19657_2,557,1.0
contig_19657_2,558,1.0
contig_19657_2,559,5.31891525268e-08
contig_19657_2,560,1.0
contig_19657_2,561,1.0
contig_19657_2,562,0.0757610695922
contig_19657_2,563,1.0
contig_19657_2,564,1.3354573003e-09
contig_19657_2,565,1.0
contig_19657_2,566,1.0
contig_19657_2,567,1.0
contig_19657_2,568,5.67764270488e-05
contig_19657_2,569,0.0702176331689
contig_19657_2,570,1.0
contig_19657_2,571,1.0
contig_19657_2,572,1.0
contig_19657_2,573,1.0
contig_19657_2,574,1.0
contig_19657_2,575,1.0
contig_19657_2,576,1.0
contig_19657_2,577,6.99440505514e-15
contig_19657_2,578,1.0
contig_19657_2,579,1.0
contig_19657_2,580,3.22605013481e-07
contig_19657_2,581,1.0
contig_19657_2,582,1.0
contig_19657_2,583,1.0
contig_19657_2,584,1.0
contig_19657_2,585,1.0
contig_19657_2,586,1.0
contig_19657_2,587,1.0
contig_19657_2,588,1.0
contig_19657_2,589,1.0
contig_19657_2,590,1.0
contig_19657_2,591,1.0
contig_19657_2,592,1.0
contig_19657_2,593,1.0
contig_19657_2,594,1.0
contig_19657_2,595,0.479616717401
contig_19657_2,596,1.0
contig_19657_2,597,1.0
contig_19657_2,598,0.00379519650018
contig_19657_2,599,1.0
contig_19657_2,600,0.182358839287
contig_19657_2,601,1.0
contig_19657_2,602,1.0
contig_19657_2,603,1.0
contig_19657_2,604,3.63493001254e-08
contig_19657_2,605,1.0
contig_19657_2,606,1.0
contig_19657_2,607,0.00731497012056
contig_19657_2,608,1.0
contig_19657_2,609,1.0
contig_19657_2,610,0.0
contig_19657_2,611,1.0
contig_19657_2,612,1.0
contig_19657_2,613,0.548851745188
contig_19657_2,614,0.0886793976585
contig_19657_2,615,0.0410004276323
contig_19657_2,616,1.0
