gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2757598623	500	205	475	SUPERFAMILY	SSF55103	IPR016164	FAD-linked oxidase-like, C-terminal	GO:0003824|GO:0050660
2757598623	500	21	232	SUPERFAMILY	SSF56176	IPR016166	FAD-binding, type 2	GO:0003824|GO:0016614|GO:0050660|GO:0055114
2757598623	500	53	231	ProSiteProfiles	PS51387	IPR016166	FAD-binding, type 2	GO:0003824|GO:0016614|GO:0050660|GO:0055114
2757598624	335	1	36	ProSiteProfiles	PS51318	IPR006311	Twin-arginine translocation pathway, signal sequence	
2757598624	335	123	284	SUPERFAMILY	SSF53850			
2757598625	521	163	174	ProSitePatterns	PS00455	IPR020845	AMP-binding, conserved site	
2757598625	521	15	518	SUPERFAMILY	SSF56801			
2757598626	394	236	249	ProSitePatterns	PS00105	IPR004838	Aminotransferases, class-I, pyridoxal-phosphate-binding site	GO:0003824|GO:0009058|GO:0030170
2757598626	394	5	389	SUPERFAMILY	SSF53383	IPR015424	Pyridoxal phosphate-dependent transferase	
2757598627	622	6	73	ProSiteProfiles	PS50968	IPR000089	Biotin/lipoyl attachment	
2757598627	622	30	47	ProSitePatterns	PS00188	IPR001882	Biotin-binding site	
2757598627	622	5	73	SUPERFAMILY	SSF51230	IPR011053	Single hybrid motif	
2757598627	622	120	338	ProSiteProfiles	PS50980	IPR011762	Acetyl-coenzyme A carboxyltransferase, N-terminal	GO:0016874
2757598627	622	338	618	ProSiteProfiles	PS50989	IPR011763	Acetyl-coenzyme A carboxyltransferase, C-terminal	GO:0016874
2757598627	622	118	362	SUPERFAMILY	SSF52096			
2757598627	622	377	613	SUPERFAMILY	SSF52096			
2757598629	559	57	495	SUPERFAMILY	SSF53649	IPR017850	Alkaline-phosphatase-like, core domain	GO:0003824|GO:0008152
2757598629	559	106	118	ProSitePatterns	PS00523	IPR024607	Sulfatase, conserved site	
2757598629	559	148	158	ProSitePatterns	PS00149	IPR024607	Sulfatase, conserved site	
2757598630	141	1	141	SUPERFAMILY	SSF52402			
2757598632	244	3	235	SUPERFAMILY	SSF52518			
2757598633	346	7	182	SMART	SM00861	IPR005475	Transketolase-like, pyrimidine-binding domain	
2757598633	346	200	336	SUPERFAMILY	SSF52922	IPR009014	Transketolase, C-terminal/Pyruvate-ferredoxin oxidoreductase, domain II	GO:0003824|GO:0008152
2757598633	346	5	215	SUPERFAMILY	SSF52518			
2757598634	82	2	79	ProSiteProfiles	PS50968	IPR000089	Biotin/lipoyl attachment	
2757598634	82	30	59	ProSitePatterns	PS00189	IPR003016	2-oxo acid dehydrogenase, lipoyl-binding site	
2757598634	82	17	81	SUPERFAMILY	SSF51230	IPR011053	Single hybrid motif	
2757598635	403	50	105	SUPERFAMILY	SSF111369			
2757598635	403	135	160	SUPERFAMILY	SSF111369			
