gene_oid	gene_length	feature_type	start_coord	end_coord
2737823979	323	cleavage	22	23
2737823988	156	cleavage	23	24
2737823990	325	cleavage	26	27
2737824016	76	cleavage	18	19
2737824036	182	cleavage	21	22
2737824057	377	cleavage	20	21
2737824084	389	cleavage	24	25
2737824087	159	cleavage	24	25
2737824131	224	cleavage	27	28
2737824172	44	cleavage	17	18
2737824176	126	cleavage	23	24
2737824184	261	cleavage	24	25
2737824209	327	cleavage	24	25
2737824248	221	cleavage	21	22
2737824264	311	cleavage	17	18
2737824265	189	cleavage	21	22
2737824293	269	cleavage	24	25
2737824294	180	cleavage	23	24
2737824314	320	cleavage	25	26
2737824337	106	cleavage	21	22
2737824339	110	cleavage	18	19
2737824346	245	cleavage	27	28
2737824363	324	cleavage	25	26
2737824373	83	cleavage	28	29
2737824405	385	cleavage	22	23
2737824411	380	cleavage	26	27
2737824412	227	cleavage	20	21
2737824429	326	cleavage	26	27
2737824444	199	cleavage	22	23
2737824448	81	cleavage	25	26
2737824463	326	cleavage	25	26
2737824466	353	cleavage	25	26
2737824510	518	cleavage	31	32
2737824532	328	cleavage	29	30
2737824535	179	cleavage	25	26
2737824536	556	cleavage	34	35
2737824549	326	cleavage	24	25
2737824580	334	cleavage	32	33
2737824583	108	cleavage	25	26
2737824589	329	cleavage	29	30
2737824592	326	cleavage	24	25
2737824596	325	cleavage	25	26
2737824612	719	cleavage	26	27
2737824615	360	cleavage	22	23
2737824628	321	cleavage	22	23
2737824630	254	cleavage	29	30
2737824671	215	cleavage	20	21
2737824672	195	cleavage	27	28
2737824684	388	cleavage	23	24
2737824716	344	cleavage	19	20
2737824718	334	cleavage	27	28
2737824735	337	cleavage	19	20
2737824749	575	cleavage	21	22
2737824750	121	cleavage	21	22
2737824782	324	cleavage	23	24
2737824787	339	cleavage	24	25
2737824800	320	cleavage	21	22
2737824802	223	cleavage	29	30
2737824807	338	cleavage	39	40
2737824811	276	cleavage	28	29
2737824831	625	cleavage	21	22
2737824838	277	cleavage	22	23
2737824854	339	cleavage	33	34
2737824855	325	cleavage	25	26
2737824858	247	cleavage	22	23
2737824868	198	cleavage	21	22
2737824877	240	cleavage	26	27
2737824898	402	cleavage	27	28
2737824905	39	cleavage	24	25
2737824908	334	cleavage	27	28
2737824914	127	cleavage	20	21
2737824915	487	cleavage	19	20
2737824919	337	cleavage	36	37
2737824951	298	cleavage	22	23
2737824955	327	cleavage	29	30
2737824959	187	cleavage	19	20
2737824993	322	cleavage	23	24
2737824994	280	cleavage	26	27
2737825012	197	cleavage	22	23
2737825013	41	cleavage	25	26
2737825024	306	cleavage	30	31
2737825030	473	cleavage	25	26
2737825034	321	cleavage	22	23
2737825050	322	cleavage	22	23
2737825056	458	cleavage	24	25
2737825079	321	cleavage	22	23
2737825113	524	cleavage	37	38
2737825120	196	cleavage	22	23
2737825132	208	cleavage	22	23
2737825163	331	cleavage	29	30
2737825169	215	cleavage	20	21
2737825195	191	cleavage	22	23
2737825196	187	cleavage	25	26
2737825220	413	cleavage	26	27
2737825229	452	cleavage	17	18
2737825232	148	cleavage	23	24
2737825251	326	cleavage	21	22
2737825253	325	cleavage	24	25
2737825260	77	cleavage	52	53
2737825261	369	cleavage	22	23
2737825262	108	cleavage	19	20
2737825279	149	cleavage	21	22
2737825282	336	cleavage	27	28
2737825305	79	cleavage	22	23
2737825309	238	cleavage	22	23
2737825310	320	cleavage	22	23
2737825337	281	cleavage	24	25
2737825362	377	cleavage	21	22
2737825371	343	cleavage	27	28
2737825375	319	cleavage	23	24
2737825411	252	cleavage	20	21
2737825426	335	cleavage	29	30
2737825428	314	cleavage	36	37
2737825430	282	cleavage	22	23
2737825435	326	cleavage	25	26
2737825440	365	cleavage	24	25
2737825443	102	cleavage	20	21
2737825446	102	cleavage	22	23
2737825460	192	cleavage	23	24
2737825491	187	cleavage	36	37
2737825520	142	cleavage	27	28
2737825525	272	cleavage	20	21
2737825526	265	cleavage	22	23
2737825529	324	cleavage	25	26
2737825542	378	cleavage	26	27
2737825550	327	cleavage	27	28
2737825552	325	cleavage	26	27
2737825574	329	cleavage	22	23
2737825597	339	cleavage	22	23
2737825601	348	cleavage	26	27
2737825612	353	cleavage	22	23
2737825640	215	cleavage	21	22
2737825675	395	cleavage	25	26
2737825735	123	cleavage	18	19
2737825753	330	cleavage	27	28
2737825767	334	cleavage	23	24
2737825782	270	cleavage	31	32
2737825813	262	cleavage	28	29
2737825816	330	cleavage	23	24
2737825825	404	cleavage	29	30
