gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2737825843	352	31.2	2	350	1	349	5.0e-60	225	COG2055	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family	349
2737825844	497	38.41	1	492	3	493	2.0e-106	380	COG3333	TctA family transporter	504
2737825846	437	40.99	1	437	1	441	1.0e-92	333	COG0544	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	441
2737825847	202	70.31	11	202	3	194	9.0e-83	299	COG0740	ATP-dependent protease ClpP, protease subunit	200
2737825848	422	70.59	16	422	1	404	0.0e+00	683	COG1219	ATP-dependent protease Clp, ATPase subunit	408
2737825851	368	52.29	1	368	3	365	3.0e-127	448	COG1932	Phosphoserine aminotransferase	365
2737825852	366	45.29	92	364	1	274	4.0e-85	308	COG0077	Prephenate dehydratase	279
2737825853	298	34.97	1	284	1	279	6.0e-57	214	COG0287	Prephenate dehydrogenase	279
2737825854	671	41.46	9	445	7	426	2.0e-121	430	COG0128	5-enolpyruvylshikimate-3-phosphate synthase	428
2737825855	559	55.17	1	541	1	533	0.0e+00	583	COG0539	Ribosomal protein S1	541
2737825856	106	49.46	1	93	2	93	8.0e-29	118	COG0776	Bacterial nucleoid DNA-binding protein	94
2737825858	389	31.98	4	389	1	388	4.0e-68	252	COG2956	Lipopolysaccharide biosynthesis regulator YciM, contains six TPR domains and a predicted metal-binding C-terminal domain	389
2737825859	473	56.72	1	473	1	423	0.0e+00	617	COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	423
2737825860	217	56.13	1	212	1	191	3.0e-77	281	COG0066	3-isopropylmalate dehydratase small subunit	191
2737825861	361	52.86	1	361	4	346	3.0e-123	435	COG0473	Isocitrate/isopropylmalate dehydrogenase	348
2737825863	559	38.72	6	557	9	534	2.0e-121	429	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	534
2737825864	339	28.01	16	335	8	336	4.0e-37	149	COG2141	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	336
2737825865	339	29.39	1	336	4	329	1.0e-55	210	COG0620	Methionine synthase II (cobalamin-independent)	330
2737825866	248	38.22	20	240	1	220	5.0e-37	147	COG4340	Uncharacterized protein	226
2737825867	161	56.79	1	161	4	165	3.0e-48	184	COG1666	Uncharacterized conserved protein YajQ, UPF0234 family	165
2737825868	353	34.46	1	353	1	286	2.0e-71	263	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase	291
2737825869	319	36.72	13	315	14	316	2.0e-55	210	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2737825870	446	35.38	8	429	1	403	3.0e-129	455	COG0137	Argininosuccinate synthase	403
2737825871	105	42.39	13	104	2	93	8.0e-32	128	COG3123	Uncharacterized conserved protein YaiE, UPF0345 family	94
2737825872	217	33.58	23	148	36	169	1.0e-15	76.6	COG3134	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain	179
2737825873	114	31.58	1	112	1	111	2.0e-25	107	COG1393	Arsenate reductase and related proteins, glutaredoxin family	117
2737825874	429	44.24	1	416	4	419	8.0e-115	407	COG0285	Folylpolyglutamate synthase/Dihydropteroate synthase	427
2737825877	196	55.1	1	196	1	196	9.0e-72	262	COG0353	Recombinational DNA repair protein RecR	198
2737825878	107	53.33	1	104	1	105	4.0e-25	106	COG0718	Conserved DNA-binding protein YbaB (function unknown)	105
2737825879	648	38.34	1	503	1	500	8.0e-121	428	COG2812	DNA polymerase III, gamma/tau subunits	515
2737825882	277	36	25	274	4	253	6.0e-45	174	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	258
2737825883	260	54.18	3	253	2	244	1.0e-93	336	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	248
2737825884	264	35.93	26	254	5	235	2.0e-51	195	COG2188	DNA-binding transcriptional regulator, GntR family	236
2737825885	118	28.71	1	101	1	99	4.0e-08	50.2	COG0640	DNA-binding transcriptional regulator, ArsR family	110
2737825886	416	19.92	162	399	156	383	6.0e-07	49	COG2814	Predicted arabinose efflux permease, MFS family	394
2737825887	347	46.8	1	343	2	331	4.0e-103	367	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	335
2737825888	718	33.66	11	718	5	596	6.0e-102	365	COG3211	Secreted phosphatase, PhoX family	616
2737825889	720	42.83	71	712	18	631	0.0e+00	463	COG4666	TRAP-type uncharacterized transport system, fused permease components	642
2737825890	202	43.98	12	175	13	172	6.0e-38	150	COG3758	Various environmental stresses-induced protein Ves (function unknown)	193
2737825891	462	27.42	30	448	30	419	2.0e-49	190	COG0402	Cytosine/adenosine deaminase or related metal-dependent hydrolase	421
2737825893	180	28.48	22	178	48	210	3.0e-18	85.1	COG3762	Uncharacterized membrane protein	213
2737825894	270	36.3	1	270	38	271	4.0e-38	151	COG1512	Uncharacterized membrane protein YgcG, contains a TPM-fold domain	271
2737825899	110	46.67	21	110	6	95	5.0e-23	99.5	COG1862	Preprotein translocase subunit YajC	97
2737825900	626	48.92	105	611	16	506	0.0e+00	469	COG0342	Preprotein translocase subunit SecD	506
2737825901	316	46.25	1	306	1	305	2.0e-83	302	COG0341	Preprotein translocase subunit SecF	305
2737825903	528	28.37	12	498	15	463	3.0e-55	209	COG4783	Putative Zn-dependent protease, contains TPR repeats	484
2737825904	161	62.99	8	161	4	156	2.0e-53	201	COG0315	Molybdenum cofactor biosynthesis enzyme	157
2737825906	384	19.5	71	330	59	374	5.0e-07	49.1	COG3055	N-acetylneuraminic acid mutarotase	381
2737825909	152	40.41	10	151	22	167	9.0e-20	89.6	COG2137	SOS response regulatory protein OraA/RecX, interacts with RecA	174
2737825910	345	64.54	4	282	3	276	7.0e-87	314	COG0468	RecA/RadA recombinase	279
2737825912	393	39.9	19	393	28	396	3.0e-78	285	COG2133	Glucose/arabinose dehydrogenase, beta-propeller fold	399
2737825914	688	21.15	26	577	1	469	3.0e-36	147	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family	517
2737825916	314	65.07	4	294	3	294	2.0e-116	412	COG0761	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	294
2737825917	147	36.99	4	147	3	141	1.0e-22	99.2	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase 2	174
2737825918	223	50	1	223	1	224	3.0e-67	248	COG2003	DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	224
2737825919	353	30.51	29	353	4	310	1.0e-36	147	COG0524	Sugar or nucleoside kinase, ribokinase family	311
2737825920	378	57.37	2	376	13	392	0.0e+00	505	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	394
2737825921	336	46.43	3	336	2	329	0.0e+00	491	COG1087	UDP-glucose 4-epimerase	329
2737825923	183	59.09	3	178	1	173	4.0e-57	213	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme	173
2737825924	293	58.89	7	293	1	284	6.0e-119	420	COG1209	dTDP-glucose pyrophosphorylase	286
2737825927	525	44.87	1	519	1	517	0.0e+00	470	COG0661	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	517
2737825928	491	25.62	1	471	4	480	3.0e-46	179	COG0591	Na+/proline symporter	493
2737825929	111	48.39	1	62	8	68	5.0e-19	86.2	COG2331	Predicted nucleic acid-binding protein, contains Zn-ribbon domain	82
2737825930	221	46.3	5	219	5	213	4.0e-57	214	COG2928	Uncharacterized membrane protein	222
2737825931	473	59.28	3	472	1	459	0.0e+00	690	COG0173	Aspartyl-tRNA synthetase	585
2737825932	278	48.92	1	278	82	345	3.0e-95	341	COG0473	Isocitrate/isopropylmalate dehydrogenase	348
2737825933	138	55.56	49	138	2	91	5.0e-26	109	COG0776	Bacterial nucleoid DNA-binding protein	94
2737825935	638	19.77	151	405	46	295	2.0e-09	58.2	COG0760	Parvulin-like peptidyl-prolyl isomerase	320
2737825937	192	16.49	1	192	2	159	2.0e-06	45.6	COG1580	Flagellar basal body-associated protein FliL	159
2737825938	332	31.08	6	328	3	321	1.0e-51	196	COG1868	Flagellar motor switch protein FliM	332
2737825941	417	55.93	32	417	1	385	0.0e+00	520	COG0045	Succinyl-CoA synthetase, beta subunit	387
2737825942	298	57.53	1	298	1	290	6.0e-104	370	COG0074	Succinyl-CoA synthetase, alpha subunit	293
2737825943	236	23.51	4	235	11	254	4.0e-31	128	COG0861	Membrane protein TerC, possibly involved in tellurium resistance	254
2737825944	160	28.8	2	123	1	123	5.0e-12	64.2	COG4969	Tfp pilus assembly protein, major pilin PilA	125
2737825946	165	38.61	8	165	7	164	2.0e-37	148	COG4566	Two-component response regulator, FixJ family, consists of REC and HTH domains	202
2737825947	283	39.07	1	279	40	316	1.0e-54	207	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2737825950	754	45.66	32	753	17	700	0.0e+00	684	COG0317	(p)ppGpp synthase/hydrolase, HD superfamily	701
2737825951	312	25.99	40	309	23	279	9.0e-09	54.7	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	282
2737825952	246	39.18	1	238	2	234	2.0e-39	155	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
