gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2737829471	340	82	101	ProSitePatterns	PS00911	IPR001295	Dihydroorotate dehydrogenase, conserved site	GO:0004152|GO:0006207|GO:0055114
2737829471	340	294	314	ProSitePatterns	PS00912	IPR001295	Dihydroorotate dehydrogenase, conserved site	GO:0004152|GO:0006207|GO:0055114
2737829471	340	5	338	SUPERFAMILY	SSF51395			
2737829472	244	85	240	SUPERFAMILY	SSF55729	IPR016181	Acyl-CoA N-acyltransferase	
2737829473	235	3	225	SUPERFAMILY	SSF55729	IPR016181	Acyl-CoA N-acyltransferase	
2737829474	188	34	159	ProSiteProfiles	PS51462	IPR000086	NUDIX hydrolase domain	GO:0016787
2737829474	188	2	161	SUPERFAMILY	SSF55811	IPR015797	NUDIX hydrolase domain-like	GO:0016787
2737829474	188	70	91	ProSitePatterns	PS00893	IPR020084	NUDIX hydrolase, conserved site	GO:0016787
2737829476	226	1	80	SUPERFAMILY	SSF46785			
2737829476	226	83	158	SUPERFAMILY	SSF46785			
2737829477	109	1	57	SUPERFAMILY	SSF51344	IPR020546	ATPase, F1 complex, delta/epsilon subunit, N-terminal	GO:0015986|GO:0045261|GO:0046933|GO:0046961
2737829477	109	60	107	SUPERFAMILY	SSF46604	IPR020547	ATPase, F1 complex, delta/epsilon subunit, C-terminal domain	
2737829478	342	118	134	ProSitePatterns	PS00907	IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853|GO:0006779
2737829478	342	1	334	SUPERFAMILY	SSF51726			
2737829479	685	402	576	ProSiteProfiles	PS51194	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2737829479	685	436	532	SMART	SM00490	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2737829479	685	133	333	SMART	SM00487	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2737829479	685	149	318	ProSiteProfiles	PS51192	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2737829479	685	150	382	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737829479	685	447	534	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737829480	650	4	300	ProSiteProfiles	PS51198	IPR014016	UvrD-like Helicase, ATP-binding domain	GO:0005524
2737829480	650	301	576	ProSiteProfiles	PS51217	IPR014017	DNA helicase, UvrD-like, C-terminal	GO:0005524|GO:0016787
