gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2757598623	500	85.4	1	500	1	500	0.0e+00	979	KO:K00104	glycolate oxidase [EC:1.1.3.15]	EC:1.1.3.15	Yes
2757598625	521	76.1	1	519	1	523	0.0e+00	932	KO:K18661	malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]	EC:6.2.1.-	Yes
2757598629	559	75.85	57	557	2	502	0.0e+00	935	KO:K01133	choline-sulfatase [EC:3.1.6.6]	EC:3.1.6.6	Yes
2757598633	346	82.37	1	346	1	346	0.0e+00	653	KO:K00162	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	EC:1.2.4.1	Yes
2757598635	403	48.35	7	399	34	424	4.3e-115	389	KO:K02005	HlyD family secretion protein		Yes
2757598636	410	63.97	6	409	4	411	0.0e+00	573	KO:K09808	lipoprotein-releasing system permease protein		Yes
2757598637	235	66.07	11	234	2	225	3.6e-98	325	KO:K09810	lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]	EC:3.6.3.-	Yes
2757598642	258	78.21	1	257	1	257	0.0e+00	465	KO:K18333	L-fucose dehydrogenase		Yes
2757598643	295	57.68	1	293	1	293	1.1e-122	401	KO:K07046	L-fuconolactonase [EC:3.1.1.-]	EC:3.1.1.-	Yes
2757598644	426	86.32	1	424	1	424	0.0e+00	886	KO:K18334	L-fuconate dehydratase [EC:4.2.1.68]	EC:4.2.1.68	Yes
2757598645	315	87.3	1	315	1	314	0.0e+00	613	KO:K10439	ribose transport system substrate-binding protein		Yes
2757598646	337	85.05	17	337	13	333	0.0e+00	606	KO:K10440	ribose transport system permease protein		Yes
2757598647	501	78.64	1	501	1	501	0.0e+00	881	KO:K10441	ribose transport system ATP-binding protein [EC:3.6.3.17]	EC:3.6.3.17	Yes
2757598648	253	71.89	5	253	2	250	1.2e-122	397	KO:K18335	2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-]	EC:1.1.1.-	Yes
2757598652	126	67.46	1	126	1	126	4.9e-60	207	KO:K07062	uncharacterized protein		Yes
2757598655	543	89.85	1	542	1	542	0.0e+00	1120	KO:K02837	peptide chain release factor 3		Yes
2757598659	140	78.26	1	138	1	138	3.5e-84	276	KO:K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]	EC:3.1.2.-	Yes
2757598660	483	87.86	1	483	1	486	0.0e+00	974	KO:K01251	adenosylhomocysteinase [EC:3.3.1.1]	EC:3.3.1.1	Yes
2757598661	282	77.94	1	272	1	268	0.0e+00	465	KO:K06442	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	EC:2.1.1.226	Yes
2757598661	282	77.94	1	272	1	268	0.0e+00	465	KO:K06442	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	EC:2.1.1.227	Yes
2757598662	285	67.63	1	277	1	278	0.0e+00	431	KO:K00297	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	EC:1.5.1.20	Yes
2757598663	822	72.93	13	820	17	825	0.0e+00	1370	KO:K00688	starch phosphorylase [EC:2.4.1.1]	EC:2.4.1.1	Yes
2757598664	488	63.37	1	485	32	516	0.0e+00	702	KO:K00703	starch synthase [EC:2.4.1.21]	EC:2.4.1.21	Yes
2757598665	429	77.05	13	426	18	431	0.0e+00	763	KO:K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	EC:2.7.7.27	Yes
2757598666	704	55.59	11	693	24	717	0.0e+00	867	KO:K02438	glycogen operon protein [EC:3.2.1.-]	EC:3.2.1.-	Yes
2757598667	729	66.3	1	729	1	730	0.0e+00	1160	KO:K00700	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	EC:2.4.1.18	Yes
2757598668	550	66.05	11	545	5	543	0.0e+00	879	KO:K01187	alpha-glucosidase [EC:3.2.1.20]	EC:3.2.1.20	Yes
2757598670	277	66.78	2	277	21	318	0.0e+00	441	KO:K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	EC:2.1.1.266	Yes
2757598671	620	48.82	62	610	20	520	0.0e+00	525	KO:K05778	putative thiamine transport system permease protein		Yes
2757598672	217	61.06	10	217	2	209	9.1e-84	283	KO:K05779	putative thiamine transport system ATP-binding protein		Yes
2757598675	803	57.34	1	800	1	763	0.0e+00	956	KO:K01008	selenide, water dikinase [EC:2.7.9.3]	EC:2.7.9.3	Yes
2757598678	409	57.46	1	409	1	409	0.0e+00	555	KO:K00285	D-amino-acid dehydrogenase [EC:1.4.99.-]	EC:1.4.99.-	Yes
2757598681	229	63.93	4	222	5	223	3.1e-98	325	KO:K01091	phosphoglycolate phosphatase [EC:3.1.3.18]	EC:3.1.3.18	Yes
2757598682	291	87.93	1	290	1	290	0.0e+00	608	KO:K00855	phosphoribulokinase [EC:2.7.1.19]	EC:2.7.1.19	Yes
2757598683	363	81.97	1	362	1	363	0.0e+00	687	KO:K01086	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	EC:3.1.3.11	Yes
2757598683	363	81.97	1	362	1	363	0.0e+00	687	KO:K01086	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	EC:3.1.3.37	Yes
2757598686	146	83.33	1	144	1	144	1.5e-92	300	KO:K01602	ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	EC:4.1.1.39	Yes
2757598687	486	89.21	5	486	7	488	0.0e+00	1030	KO:K01601	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	EC:4.1.1.39	Yes
2757598688	417	65.53	1	409	9	416	0.0e+00	649	KO:K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	EC:2.6.1.44	Yes
2757598688	417	65.53	1	409	9	416	0.0e+00	649	KO:K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	EC:2.6.1.45	Yes
2757598688	417	65.53	1	409	9	416	0.0e+00	649	KO:K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	EC:2.6.1.51	Yes
2757598691	402	68.84	5	402	4	400	0.0e+00	649	KO:K10960	geranylgeranyl reductase [EC:1.3.1.83]	EC:1.3.1.83	Yes
2757598692	295	70.24	1	289	1	289	0.0e+00	490	KO:K04040	chlorophyll synthase [EC:2.5.1.62]	EC:2.5.1.62	Yes
2757598696	217	76.74	1	215	1	215	1.3e-125	402	KO:K03975	membrane-associated protein		Yes
2757598698	119	67.8	1	118	1	118	3.2e-61	209	KO:K06995	uncharacterized protein		Yes
2757598700	380	80.47	1	379	1	384	0.0e+00	718	KO:K02058	simple sugar transport system substrate-binding protein		Yes
2757598701	306	83.66	1	306	2	307	0.0e+00	591	KO:K02057	simple sugar transport system permease protein		Yes
2757598702	359	79.54	1	347	1	347	0.0e+00	650	KO:K02057	simple sugar transport system permease protein		Yes
2757598703	505	78.09	1	502	1	502	0.0e+00	875	KO:K02056	simple sugar transport system ATP-binding protein [EC:3.6.3.17]	EC:3.6.3.17	Yes
2757598704	499	63.45	11	496	15	503	0.0e+00	691	KO:K13481	xanthine dehydrogenase small subunit [EC:1.17.1.4]	EC:1.17.1.4	Yes
2757598705	783	75.64	6	782	8	777	0.0e+00	1350	KO:K13482	xanthine dehydrogenase large subunit [EC:1.17.1.4]	EC:1.17.1.4	Yes
2757598706	439	75.41	9	439	10	440	0.0e+00	724	KO:K00050	hydroxypyruvate reductase [EC:1.1.1.81]	EC:1.1.1.81	Yes
2757598709	238	77.25	6	238	27	259	1.0e-128	413	KO:K01996	branched-chain amino acid transport system ATP-binding protein		Yes
2757598712	271	62.36	8	263	59	321	8.5e-108	356	KO:K07402	xanthine dehydrogenase accessory factor		Yes
2757598714	117	71.79	1	117	1	117	3.0e-57	198	KO:K07127	5-hydroxyisourate hydrolase [EC:3.5.2.17]	EC:3.5.2.17	Yes
2757598716	593	71.06	2	585	4	587	0.0e+00	965	KO:K06016	N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.87]	EC:3.5.1.87	Yes
2757598720	301	44.18	1	290	9	300	4.7e-86	297	KO:K10716	voltage-gated potassium channel		Yes
2757598721	317	43.1	15	309	13	309	8.4e-84	292	KO:K10716	voltage-gated potassium channel		Yes
2757598722	501	88.68	1	486	1	486	0.0e+00	996	KO:K07793	putative tricarboxylic transport membrane protein		Yes
2757598725	309	62.46	1	309	1	309	0.0e+00	462	KO:K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]	EC:2.1.2.9	Yes
2757598726	415	88.67	1	415	1	415	0.0e+00	865	KO:K07749	formyl-CoA transferase [EC:2.8.3.16]	EC:2.8.3.16	Yes
2757598727	578	86.07	20	578	50	609	0.0e+00	1100	KO:K01577	oxalyl-CoA decarboxylase [EC:4.1.1.8]	EC:4.1.1.8	Yes
2757598729	128	63.2	4	128	2	126	1.6e-52	186	KO:K07341	death on curing protein		Yes
2757598730	188	77.25	1	188	1	189	6.2e-109	352	KO:K03187	urease accessory protein		Yes
2757598732	202	77.72	1	202	1	202	6.5e-120	384	KO:K00411	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	EC:1.10.2.2	Yes
2757598733	377	81.79	2	377	3	380	0.0e+00	741	KO:K00412	ubiquinol-cytochrome c reductase cytochrome b subunit		Yes
2757598734	272	80.44	2	272	4	274	0.0e+00	499	KO:K01999	branched-chain amino acid transport system substrate-binding protein		Yes
2757598739	596	47.13	12	550	7	538	0.0e+00	547	KO:K01138	uncharacterized sulfatase [EC:3.1.6.-]	EC:3.1.6.-	Yes
2757598739	596	51.37	14	593	19	599	0.0e+00	679	KO:K01130	arylsulfatase [EC:3.1.6.1]	EC:3.1.6.1	Yes
2757598741	644	59.49	1	632	1	632	0.0e+00	864	KO:K03770	peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]	EC:5.2.1.8	Yes
2757598743	191	83.25	1	191	1	188	4.6e-110	355	KO:K00995	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	EC:2.7.8.5	Yes
2757598744	660	77.83	7	660	22	671	0.0e+00	1150	KO:K03703	excinuclease ABC subunit C		Yes
