Fa13.BD.MLB.DN 26|AB731631.1.2765 0.152947 790 0.248294
Fa13.BD.MLB.DN 14|AY947975.1.1412 0.054499 1406 0.049711
Fa13.BD.MLB.DN 144|HE600664.2.1467 0.050354 1459 0.044262
Fa13.BD.MLB.DN 167|EU801147.1.1480 0.045458 1377 0.042338
Fa13.BD.MLB.DN 538|HM856514.1.1453 0.033066 1441 0.029429
Fa13.BD.MLB.DN 358|GU305745.1.1479 0.031410 1401 0.028753
Fa13.BD.MLB.DN 9|EU234298.1.1510 0.026700 1478 0.023168
Fa13.BD.MLB.DN 82|EU801243.1.1477 0.026573 1472 0.023152
Fa13.BD.MLB.DN 485|EU801912.1.1498 0.025229 1487 0.021759
Fa13.BD.MLB.DN 697|JQ994349.1.1473 0.020657 1471 0.018010
Fa13.BD.MLB.DN 191|KC253307.1.1495 0.020540 1486 0.017727
Fa13.BD.MLB.DN 71|JQ906009.1.1397 0.020520 1379 0.019084
Fa13.BD.MLB.DN 92|HQ219463.1.2978 0.018943 2911 0.008346
Fa13.BD.MLB.DN 50|KJ925354.1.1641 0.018281 1608 0.014580
Fa13.BD.MLB.DN 470|EU703454.1.1487 0.017600 1472 0.015334
Fa13.BD.MLB.DN 10|EU800835.1.1493 0.017112 1274 0.017226
Fa13.BD.MLB.DN 3|FJ612286.1.1494 0.017009 1491 0.014630
Fa13.BD.MLB.DN 493|EU803670.1.1491 0.016918 1488 0.014581
Fa13.BD.MLB.DN 408|JQ941855.1.1391 0.016107 1374 0.015034
Fa13.BD.MLB.DN 68|EU800770.1.1485 0.015971 1459 0.014039
Fa13.BD.MLB.DN 34|GU305786.1.1496 0.014383 1493 0.012355
Fa13.BD.MLB.DN 32|GU305742.1.1480 0.014044 1467 0.012278
Fa13.BD.MLB.DN 534|GU305778.1.1502 0.012436 1384 0.011524
Fa13.BD.MLB.DN 229|FJ612389.1.1501 0.012339 1109 0.014269
Fa13.BD.MLB.DN 380|EU703387.1.1470 0.011467 1441 0.010206
Fa13.BD.MLB.DN 282|GU290077.1.1764 0.011277 1753 0.008250
Fa13.BD.MLB.DN 542|EU803487.1.1490 0.011166 1480 0.009676
Fa13.BD.MLB.DN 77|JN656792.1.1496 0.010937 1473 0.009522
Fa13.BD.MLB.DN 603|GU305706.1.1485 0.010451 1445 0.009276
Fa13.BD.MLB.DN 237|DQ316358.1.1315 0.010316 1244 0.010635
Fa13.BD.MLB.DN 451|JQIO01000292.890395.892182 0.010146 1484 0.008768
Fa13.BD.MLB.DN 448|EU801389.1.1485 0.009595 1465 0.008400
Fa13.BD.MLB.DN 73|AB753937.1.1456 0.009551 1430 0.008566
Fa13.BD.MLB.DN 1290|EU801319.1.1473 0.009545 1459 0.008390
