gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2757589896	238	16	235	1.3e-36	112.8	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2757589896	238	20	236	3.0e-70	223.4	TIGR02479	RNA polymerase sigma factor, FliA/WhiG family
2757589899	681	1	668	0.0e+00	864.4	TIGR01398	flagellar biosynthesis protein FlhA
2757589901	338	14	328	0.0e+00	435.2	TIGR00465	ketol-acid reductoisomerase
2757589902	163	1	158	2.6e-66	208.6	TIGR00119	acetolactate synthase, small subunit
2757589903	590	21	587	0.0e+00	834	TIGR00118	acetolactate synthase, large subunit, biosynthetic type
2757589904	188	5	181	3.8e-24	71.2	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2757589908	203	14	165	7.7e-17	48.3	TIGR00725	TIGR00725 family protein
2757589908	203	14	191	2.0e-60	190.6	TIGR00730	TIGR00730 family protein
2757589912	151	6	150	3.0e-48	149.3	TIGR00576	deoxyuridine 5'-triphosphate nucleotidohydrolase (dut)
2757589913	407	4	399	3.3e-126	407.4	TIGR00521	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase
2757589914	575	27	567	0.0e+00	779.6	TIGR00337	CTP synthase
2757589915	284	12	275	2.9e-118	379.7	TIGR01362	3-deoxy-8-phosphooctulonate synthase
2757589930	429	9	427	3.0e-119	384.6	TIGR01035	glutamyl-tRNA reductase
2757589933	109	2	107	1.5e-36	110.8	TIGR03421	iron donor protein CyaY
2757589934	425	14	423	0.0e+00	514.2	TIGR01048	diaminopimelate decarboxylase
2757589938	436	140	434	1.5e-80	256.5	TIGR03144	cytochrome c-type biogenesis protein CcsB
2757589941	163	10	160	3.3e-47	146.1	TIGR00011	Cys-tRNA(Pro) deacylase
2757589942	209	2	207	3.4e-56	176.2	TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase
2757589944	394	7	392	0.0e+00	451.5	TIGR01930	acetyl-CoA acetyltransferases
2757589947	158	2	158	1.1e-72	231.1	TIGR00513	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit
2757589949	458	3	457	0.0e+00	546.5	TIGR00435	cysteinyl-tRNA synthetase
2757589953	267	24	250	9.6e-56	174.7	TIGR01854	UDP-2,3-diacylglucosamine diphosphatase
2757589958	525	7	448	0.0e+00	551.7	TIGR01982	2-polyprenylphenol 6-hydroxylase
2757589959	491	30	430	6.5e-56	176.1	TIGR00813	transporter, SSS family
2757589960	111	1	52	2.3e-26	77.9	TIGR02605	putative regulatory protein, FmdB family
2757589962	473	2	472	0.0e+00	591	TIGR00459	aspartyl-tRNA synthetase, bacterial type
2757589966	396	123	384	3.9e-67	212.7	TIGR01988	Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family
2757589968	146	1	120	3.0e-13	36.9	TIGR00231	small GTP-binding protein domain
2757589968	146	1	146	1.3e-78	251.6	TIGR00092	GTP-binding protein YchF
2757589969	102	4	84	2.6e-36	109.6	TIGR02607	addiction module antidote protein, HigA family
2757589976	431	17	431	1.3e-80	257.4	TIGR00857	dihydroorotase, multifunctional complex type
2757589977	276	1	273	1.8e-90	289.1	TIGR00670	aspartate carbamoyltransferase
2757589978	697	30	671	0.0e+00	822.4	TIGR01059	DNA gyrase, B subunit
2757589979	369	2	369	9.1e-98	313.5	TIGR00663	DNA polymerase III, beta subunit
2757589980	466	18	464	0.0e+00	557.6	TIGR00362	chromosomal replication initiator protein DnaA
2757589981	44	1	44	8.6e-28	82.6	TIGR01030	ribosomal protein L34, bacterial type
2757589982	82	1	75	1.0e-08	21.6	TIGR00188	ribonuclease P protein component, eubacterial
2757589983	91	7	80	1.0e-28	85.2	TIGR00278	putative membrane protein insertion efficiency factor
2757589984	574	381	560	1.7e-70	224	TIGR03592	membrane protein insertase, YidC/Oxa1 family, C-terminal domain
2757589984	574	4	380	1.1e-110	357.6	TIGR03593	membrane protein insertase, YidC/Oxa1 family, N-terminal domain
2757589986	443	15	265	8.4e-111	356.8	TIGR01346	isocitrate lyase
2757589989	646	1	637	0.0e+00	1110.4	TIGR03346	ATP-dependent chaperone ClpB
2757589990	306	2	303	2.4e-27	83	TIGR02794	TolA protein
2757589990	306	236	302	7.8e-13	35.8	TIGR01352	TonB family C-terminal domain
2757589992	234	6	220	4.4e-89	283.9	TIGR02796	TolQ protein
2757589994	397	8	321	2.5e-79	252.5	TIGR01730	RND family efflux transporter, MFP subunit
2757589995	970	3	970	0.0e+00	734.2	TIGR00915	The (Largely Gram-negative Bacterial) Hydrophobe/Amphiphile Efflux-1 (HAE1) Family
2757589999	175	23	142	8.1e-25	73.5	TIGR02481	hemerythrin-like metal-binding domain
2757590001	524	11	524	0.0e+00	869.1	TIGR03248	galactarate dehydratase
2757590006	460	36	452	0.0e+00	460.6	TIGR02515	type IV pilus secretin (or competence protein) PilQ
2757590014	557	6	543	0.0e+00	432.1	TIGR00110	dihydroxy-acid dehydratase
2757590018	209	20	88	6.8e-17	47.8	TIGR00758	uracil-DNA glycosylase, family 4
2757590019	683	5	681	0.0e+00	923.5	TIGR00232	transketolase, bacterial and yeast
2757590020	335	4	326	0.0e+00	431.8	TIGR01534	glyceraldehyde-3-phosphate dehydrogenase, type I
2757590026	396	21	380	1.1e-111	359.4	TIGR01891	amidohydrolase
2757590029	452	104	452	8.3e-114	366	TIGR02666	molybdenum cofactor biosynthesis protein A, bacterial
2757590030	207	8	202	5.7e-63	198.4	TIGR02665	molybdenum cofactor guanylyltransferase, proteobacterial
2757590031	429	195	336	3.8e-35	107.1	TIGR00177	molybdenum cofactor synthesis domain
2757590045	793	504	570	4.9e-15	41.6	TIGR00426	competence protein ComEA helix-hairpin-helix repeat region
2757590049	262	13	35	4.4e-10	26.4	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2757590049	262	14	98	4.1e-14	39.9	TIGR01711	type II secretion system protein J
2757590050	231	117	140	9.8e-11	28.4	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2757590050	231	119	218	2.5e-18	53.7	TIGR01707	type II secretion system protein I
2757590051	162	14	88	7.3e-20	58.4	TIGR01708	type II secretion system protein H
2757590051	162	15	38	7.3e-11	28.8	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2757590052	161	28	51	1.0e-13	37.9	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2757590052	161	29	161	1.6e-57	180.4	TIGR01710	type II secretion system protein G
2757590056	301	2	290	0.0e+00	521.7	TIGR00388	glycyl-tRNA synthetase, tetrameric type, alpha subunit
2757590057	526	81	471	7.6e-78	248.3	TIGR00546	apolipoprotein N-acyltransferase
2757590059	218	1	193	1.9e-53	167.7	TIGR00167	ketose-bisphosphate aldolase
2757590060	306	2	306	2.0e-78	249.6	TIGR00081	phosphoribosylaminoimidazole-succinocarboxamide synthase
2757590063	234	2	234	2.9e-104	333.6	TIGR03410	urea ABC transporter, ATP-binding protein UrtE
2757590064	291	49	291	4.1e-119	382.6	TIGR03411	urea ABC transporter, ATP-binding protein UrtD
2757590065	226	1	167	4.5e-70	222.8	TIGR03408	urea ABC transporter, permease protein UrtC
2757590071	708	37	706	0.0e+00	509.3	TIGR01447	exodeoxyribonuclease V, alpha subunit
2757590072	670	1	664	0.0e+00	481	TIGR00609	exodeoxyribonuclease V, beta subunit
2757590078	347	2	337	1.1e-117	378.9	TIGR01534	glyceraldehyde-3-phosphate dehydrogenase, type I
2757590082	488	44	484	0.0e+00	506.2	TIGR02037	periplasmic serine protease, Do/DeqQ family
2757590087	325	25	320	1.3e-93	299.3	TIGR02138	phosphate ABC transporter, permease protein PstC
2757590088	286	17	285	1.5e-87	279.2	TIGR00974	phosphate ABC transporter, permease protein PstA
2757590089	257	10	257	3.8e-124	398.9	TIGR00972	phosphate ABC transporter, ATP-binding protein
2757590090	232	7	219	2.1e-69	219.4	TIGR02135	phosphate transport system regulatory protein PhoU
2757590099	345	9	344	3.5e-78	248.8	TIGR02272	gentisate 1,2-dioxygenase
2757590101	334	5	334	0.0e+00	489.6	TIGR02278	phenylacetic acid degradation protein paaN
2757590108	405	1	258	2.1e-74	236.9	TIGR00614	ATP-dependent DNA helicase, RecQ family
2757590109	285	77	285	3.9e-66	208.4	TIGR04484	sulfur oxidation c-type cytochrome SoxA
2757590110	113	7	105	6.6e-28	82.8	TIGR04490	thiosulfate oxidation carrier complex protein SoxZ
2757590112	138	45	133	9.4e-22	63.8	TIGR04485	sulfur oxidation c-type cytochrome SoxX
2757590119	629	18	629	0.0e+00	915.2	TIGR02188	acetate--CoA ligase
2757590120	199	71	199	1.1e-49	155.1	TIGR00645	TIGR00645 family protein
2757590121	280	10	280	4.9e-65	205.4	TIGR00722	hydro-lyases, Fe-S type, tartrate/fumarate subfamily, alpha region
2757590123	187	13	166	6.7e-62	194.5	TIGR00401	methionine-S-sulfoxide reductase
2757590124	465	14	462	0.0e+00	512.7	TIGR01125	ribosomal protein S12 methylthiotransferase RimO
2757590124	465	14	462	3.1e-95	306.4	TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family
2757590125	200	33	139	6.5e-44	135	TIGR01848	polyhydroxyalkanoate synthesis repressor PhaR
2757590126	212	1	211	8.1e-60	187.5	TIGR00187	riboflavin synthase, alpha subunit
2757590127	375	11	208	1.9e-74	235.6	TIGR00506	3,4-dihydroxy-2-butanone 4-phosphate synthase
2757590128	168	17	154	1.3e-42	131.3	TIGR00114	6,7-dimethyl-8-ribityllumazine synthase
2757590129	174	30	159	3.1e-36	110.7	TIGR01951	transcription antitermination factor NusB
2757590131	83	13	83	1.3e-34	106.4	TIGR02799	tol-pal system-associated acyl-CoA thioesterase
2757590131	83	16	83	1.1e-28	87.1	TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family
2757590149	301	1	300	2.4e-71	226.7	TIGR00383	magnesium Mg(2+) and cobalt Co(2+) transport protein (corA)
2757590150	253	2	250	5.7e-43	133.1	TIGR01704	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
2757590152	439	4	439	0.0e+00	655.7	TIGR01196	6-phosphogluconate dehydratase
2757590155	210	1	210	5.4e-88	280.2	TIGR00558	pyridoxamine-phosphate oxidase
2757590159	145	7	123	1.0e-74	234.6	TIGR02792	protocatechuate 4,5-dioxygenase, alpha subunit
2757590163	394	18	378	1.6e-99	319.5	TIGR01891	amidohydrolase
2757590166	171	52	169	1.9e-27	82	TIGR02281	clan AA aspartic protease, TIGR02281 family
2757590168	614	56	614	0.0e+00	639	TIGR00440	glutaminyl-tRNA synthetase
2757590172	236	12	230	4.5e-89	283.7	TIGR01983	ubiquinone biosynthesis O-methyltransferase
2757590173	221	65	188	1.2e-09	26.2	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
2757590173	221	78	182	6.4e-12	33.8	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
2757590173	221	8	218	1.9e-53	168.8	TIGR01449	2-phosphoglycolate phosphatase, prokaryotic
2757590177	361	90	360	2.4e-104	334.5	TIGR00064	signal recognition particle-docking protein FtsY
2757590178	310	25	308	1.4e-121	392.2	TIGR02392	alternative sigma factor RpoH
2757590178	310	59	306	3.4e-34	104.9	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2757590182	311	2	232	9.5e-46	142.4	TIGR00654	phenazine biosynthesis protein PhzF family
2757590195	735	137	731	0.0e+00	562.8	TIGR01511	copper-(or silver)-translocating P-type ATPase
2757590195	735	156	730	0.0e+00	609.4	TIGR01525	heavy metal translocating P-type ATPase
2757590195	735	193	719	4.8e-87	280.3	TIGR01494	ATPase, P-type (transporting), HAD superfamily, subfamily IC
2757590201	254	12	252	9.2e-57	178.4	TIGR01222	septum site-determining protein MinC
2757590202	271	2	270	9.7e-110	352	TIGR01968	septum site-determining protein MinD
2757590209	315	5	315	2.0e-125	404.2	TIGR03718	integral membrane protein, TerC family
2757590212	716	1	313	4.5e-116	375.1	TIGR03169	pyridine nucleotide-disulfide oxidoreductase family protein
2757590212	716	369	681	4.7e-93	298.7	TIGR00476	selenium donor protein
2757590214	223	1	187	1.2e-26	81	TIGR01493	Haloacid dehalogenase superfamily, subfamily IA, variant 2 with 3rd motif like haloacid dehalogenase
2757590214	223	1	201	2.9e-66	210.3	TIGR01428	2-haloalkanoic acid dehalogenase, type II
