,Position,value
contig_18488_1,0,1.0
contig_18488_1,1,1.0
contig_18488_1,2,1.0
contig_18488_1,3,1.0
contig_18488_1,4,1.0
contig_18488_1,5,1.0
contig_18488_1,6,1.0
contig_18488_1,7,1.0
contig_18488_1,8,1.0
contig_18488_1,9,0.0323119504391
contig_18488_1,10,1.0
contig_18488_1,11,1.0
contig_18488_1,12,0.0609999834159
contig_18488_1,13,1.0
contig_18488_1,14,1.0
contig_18488_1,15,0.162859792947
contig_18488_1,16,1.0
contig_18488_1,17,1.0
contig_18488_1,18,1.0
contig_18488_1,19,1.0
contig_18488_1,20,1.0
contig_18488_1,21,1.0
contig_18488_1,22,1.0
contig_18488_1,23,1.0
contig_18488_1,24,1.0
contig_18488_1,25,1.0
contig_18488_1,26,1.0
contig_18488_1,27,0.089845205094
contig_18488_1,28,1.0
contig_18488_1,29,1.0
contig_18488_1,30,1.0
contig_18488_1,31,1.0
contig_18488_1,32,1.0
contig_18488_1,33,1.0
contig_18488_1,34,1.0
contig_18488_1,35,1.0
contig_18488_1,36,1.34253735906e-08
contig_18488_1,37,1.0
contig_18488_1,38,1.0
contig_18488_1,39,1.0
contig_18488_1,40,1.0
contig_18488_1,41,1.0
contig_18488_1,42,0.00116372844271
contig_18488_1,43,1.0
contig_18488_1,44,1.0
contig_18488_1,45,0.0476180350327
contig_18488_1,46,1.0
contig_18488_1,47,1.0
contig_18488_1,48,0.158723618895
contig_18488_1,49,1.0
contig_18488_1,50,1.0
contig_18488_1,51,1.0
contig_18488_1,52,1.0
contig_18488_1,53,0.175427197109
contig_18488_1,54,0.0987630652062
contig_18488_1,55,1.0
contig_18488_1,56,0.00114362311039
contig_18488_1,57,3.28156168905e-09
contig_18488_1,58,1.44217970899e-13
contig_18488_1,59,1.0
contig_18488_1,60,0.18143676833
contig_18488_1,61,1.0
contig_18488_1,62,1.0
contig_18488_1,63,1.0
contig_18488_1,64,0.198244121794
contig_18488_1,65,1.0
contig_18488_1,66,8.48054182434e-10
contig_18488_1,67,1.0
contig_18488_1,68,0.0560155998855
contig_18488_1,69,1.0
contig_18488_1,70,1.0
contig_18488_1,71,1.0
contig_18488_1,72,1.0
contig_18488_1,73,0.0497027845912
contig_18488_1,74,1.0
contig_18488_1,75,1.0
contig_18488_1,76,1.0
contig_18488_1,77,1.0
contig_18488_1,78,1.0
contig_18488_1,79,1.0
contig_18488_1,80,1.0
contig_18488_1,81,0.0876479853666
contig_18488_1,82,1.0
contig_18488_1,83,1.0
contig_18488_1,84,1.0
contig_18488_1,85,1.0
contig_18488_1,86,1.0
contig_18488_1,87,0.128072543916
contig_18488_1,88,1.0
contig_18488_1,89,1.0
contig_18488_1,90,1.0
contig_18488_1,91,1.0
contig_18488_1,92,1.0
contig_18488_1,93,0.0340839183881
contig_18488_1,94,1.0
contig_18488_1,95,1.0
contig_18488_1,96,1.0
contig_18488_1,97,1.0
contig_18488_1,98,1.0
contig_18488_1,99,8.33111357679e-13
