gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2737843465	290	90.69	1	290	1	290	0.0e+00	610	KO:K01963	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]	EC:6.4.1.2	Yes
2737843466	208	70.05	1	207	1	207	6.1e-112	362	KO:K11209	GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]	EC:1.8.4.-	Yes
2737843468	510	80.94	1	509	1	509	0.0e+00	964	KO:K04567	lysyl-tRNA synthetase, class II [EC:6.1.1.6]	EC:6.1.1.6	Yes
2737843469	394	57.97	19	382	15	378	0.0e+00	499	KO:K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	EC:1.3.8.7	Yes
2737843472	608	55.96	7	607	8	603	0.0e+00	731	KO:K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]	EC:6.2.1.3	Yes
2737843473	276	64.96	3	276	1	273	5.5e-124	403	KO:K01996	branched-chain amino acid transport system ATP-binding protein		Yes
2737843474	401	51.88	3	398	9	405	0.0e+00	472	KO:K01999	branched-chain amino acid transport system substrate-binding protein		Yes
2737843476	196	64.64	11	191	5	185	5.0e-93	307	KO:K00452	3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]	EC:1.13.11.6	Yes
2737843477	325	59.26	1	324	1	316	0.0e+00	458	KO:K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	EC:4.3.3.7	Yes
2737843478	514	51.91	3	509	203	753	0.0e+00	587	KO:K03520	carbon-monoxide dehydrogenase large subunit [EC:1.2.99.2]	EC:1.2.99.2	Yes
2737843482	272	32.58	2	256	3	269	8.5e-38	153	KO:K02406	flagellin		Yes
2737843486	183	52.3	5	178	14	185	4.1e-56	201	KO:K12262	cytochrome b561		Yes
2737843490	338	74.68	27	338	26	337	0.0e+00	556	KO:K03781	catalase [EC:1.11.1.6]	EC:1.11.1.6	Yes
2737843496	221	43.44	1	219	35	255	9.5e-60	215	KO:K01992	ABC-2 type transport system permease protein		Yes
2737843497	517	63.99	3	513	2	512	0.0e+00	810	KO:K10027	phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]	EC:1.3.99.26	Yes
2737843497	517	63.99	3	513	2	512	0.0e+00	810	KO:K10027	phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]	EC:1.3.99.28	Yes
2737843497	517	63.99	3	513	2	512	0.0e+00	810	KO:K10027	phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]	EC:1.3.99.29	Yes
2737843497	517	63.99	3	513	2	512	0.0e+00	810	KO:K10027	phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]	EC:1.3.99.31	Yes
2737843499	65	73.77	1	61	1	61	1.1e-28	111	KO:K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	EC:5.3.2.6	Yes
