gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2757601860	342	73	338	18	273	8.6e-60	202	pfam03401	TctC	274
2757601861	117	18	113	5	94	2.4e-34	117.4	pfam00254	FKBP_C	94
2757601862	224	59	222	11	165	3.2e-45	153.6	pfam01025	GrpE	166
2757601863	643	4	605	1	598	0.0e+00	860.7	pfam00012	HSP70	599
2757601864	379	6	68	1	63	3.6e-27	94.2	pfam00226	DnaJ	63
2757601864	379	125	338	2	146	2.8e-40	137.6	pfam01556	DnaJ_C	146
2757601864	379	152	212	1	67	1.4e-14	54.1	pfam00684	DnaJ_CXXCXGXG	67
2757601867	156	6	117	1	114	1.1e-20	74.3	pfam13470	PIN_3	116
2757601869	609	87	261	1	175	7.8e-49	165.7	pfam00270	DEAD	176
2757601869	609	294	404	5	111	3.4e-27	94.9	pfam00271	Helicase_C	111
2757601871	127	8	38	3	31	5.1e-07	29.4	pfam00460	Flg_bb_rod	31
2757601872	142	8	35	3	28	9.9e-07	28.4	pfam00460	Flg_bb_rod	31
2757601872	142	79	139	29	72	1.3e-11	44.3	pfam06429	Flg_bbr_C	74
2757601873	232	13	83	11	74	4.8e-19	68.3	pfam03963	FlgD	75
2757601873	232	91	228	3	58	1.7e-09	37.6	pfam13861	FLgD_tudor	58
2757601873	232	109	186	10	78	1.1e-14	53.9	pfam13860	FlgD_ig	81
2757601874	1439	3	33	3	31	6.2e-08	32.3	pfam00460	Flg_bb_rod	31
2757601874	1439	178	501	2	53	1.6e-08	35.1	pfam07559	FlaE	124
2757601874	1439	1359	1437	2	74	7.6e-16	57.9	pfam06429	Flg_bbr_C	74
2757601876	152	4	151	2	148	1.2e-26	93.5	pfam14588	YjgF_endoribonc	148
2757601879	813	15	210	9	174	3.7e-26	91.7	pfam13567	DUF4131	176
2757601879	813	251	533	1	267	5.5e-54	183.1	pfam03772	Competence	271
2757601879	813	563	756	4	188	7.6e-13	48.8	pfam00753	Lactamase_B	197
2757601880	96	4	95	1	89	1.8e-18	66.8	pfam05016	ParE_toxin	90
2757601881	96	8	46	3	39	3.9e-09	36	pfam01402	RHH_1	39
2757601883	363	38	324	3	282	6.7e-62	209.3	pfam03480	DctP	286
2757601884	330	29	327	2	279	1.3e-22	80.8	pfam13304	AAA_21	303
2757601887	859	204	316	1	106	1.1e-08	34.8	pfam08443	RimK	188
2757601887	859	477	688	1	192	4.0e-21	75.8	pfam08245	Mur_ligase_M	192
2757601887	859	712	798	1	81	3.4e-12	46.3	pfam02875	Mur_ligase_C	91
2757601889	181	59	137	4	74	7.0e-06	26.8	pfam13193	AMP-binding_C	74
2757601890	412	16	138	3	130	6.6e-21	74.6	pfam13173	AAA_14	131
2757601890	412	201	361	1	122	3.8e-25	88.3	pfam13635	DUF4143	122
2757601891	398	19	131	1	113	8.3e-32	110.1	pfam02771	Acyl-CoA_dh_N	113
2757601891	398	135	231	1	97	2.0e-18	66.2	pfam02770	Acyl-CoA_dh_M	97
2757601891	398	243	391	3	149	5.1e-29	101.3	pfam00441	Acyl-CoA_dh_1	150
2757601892	367	5	366	1	356	0.0e+00	436.7	pfam03054	tRNA_Me_trans	356
2757601893	864	6	102	2	75	1.4e-14	54	pfam01627	Hpt	85
2757601893	864	201	283	2	67	1.6e-06	28.3	pfam02895	H-kinase_dim	69
2757601893	864	303	446	3	110	2.3e-16	60.2	pfam02518	HATPase_c	111
2757601893	864	450	589	3	136	1.4e-17	63.5	pfam01584	CheW	138
2757601893	864	618	748	9	136	2.0e-08	33.8	pfam01584	CheW	138
2757601893	864	766	864	2	94	9.6e-18	64.3	pfam00072	Response_reg	112
2757601895	258	25	246	1	206	1.5e-12	48.4	pfam12697	Abhydrolase_6	212
2757601896	251	70	209	2	161	6.8e-15	55.4	pfam00849	PseudoU_synth_2	161
2757601897	355	15	94	1	62	2.3e-20	72.4	pfam02625	XdhC_CoxI	68
2757601897	355	176	318	1	125	8.3e-35	119.9	pfam13478	XdhC_C	125
2757601898	137	6	134	2	125	8.9e-30	103.1	pfam08780	NTase_sub_bind	126
2757601899	95	16	94	8	75	5.7e-06	26.4	pfam01909	NTP_transf_2	95
2757601901	294	7	66	1	59	1.6e-16	59.8	pfam00126	HTH_1	60
2757601901	294	91	294	10	203	1.8e-15	56.8	pfam03466	LysR_substrate	209
2757601902	332	94	298	1	178	3.6e-55	186.3	pfam03741	TerC	180
2757601903	174	28	169	2	146	1.1e-32	112.8	pfam09835	DUF2062	148
2757601904	217	19	109	1	90	7.2e-40	134.7	pfam12973	Cupin_7	91
2757601904	217	127	214	1	90	1.2e-35	121.1	pfam12973	Cupin_7	91
2757601907	214	5	74	17	75	1.7e-12	47.4	pfam02798	GST_N	76
2757601907	214	85	194	21	89	2.2e-08	34.1	pfam00043	GST_C	93
2757601908	317	13	72	3	60	5.9e-16	58	pfam00126	HTH_1	60
2757601908	317	96	312	2	207	6.4e-37	126.8	pfam03466	LysR_substrate	209
2757601909	284	21	273	2	256	1.6e-50	171.9	pfam04069	OpuAC	257
2757601910	293	16	290	2	273	5.8e-87	291.1	pfam03401	TctC	274
2757601913	102	15	69	1	53	3.2e-09	36.6	pfam01381	HTH_3	55
2757601914	131	39	128	2	90	5.4e-31	106.7	pfam14347	DUF4399	91
2757601916	459	34	459	21	494	3.5e-103	345.8	pfam06537	DHOR	494
2757601917	407	16	383	1	368	2.2e-124	415.2	pfam02515	CoA_transf_3	368
2757601918	324	11	286	2	261	1.1e-43	149.6	pfam00682	HMGL-like	264
2757601921	517	174	468	98	291	3.2e-11	43.4	pfam04909	Amidohydro_2	291
2757601922	657	48	211	16	130	7.5e-07	29.6	pfam01590	GAF	131
2757601922	657	338	506	3	166	1.6e-60	203.5	pfam00158	Sigma54_activat	168
2757601922	657	608	646	6	42	2.3e-09	36.8	pfam02954	HTH_8	42
2757601923	278	79	262	24	193	5.3e-33	114.3	pfam01435	Peptidase_M48	196
2757601924	348	27	347	26	295	2.3e-08	33.2	pfam07690	MFS_1	353
2757601925	89	17	89	8	74	1.5e-27	95.5	pfam06073	DUF934	107
2757601926	600	145	300	1	155	2.3e-36	124.6	pfam01077	NIR_SIR	159
2757601926	600	361	432	11	67	7.5e-12	44.8	pfam03460	NIR_SIR_ferr	69
2757601926	600	441	589	50	149	6.8e-12	45	pfam01077	NIR_SIR	159
2757601927	266	8	263	2	235	3.5e-47	160.9	pfam01925	TauE	236
2757601928	398	6	375	3	336	1.5e-32	113.4	pfam01266	DAO	336
2757601929	91	1	88	1	88	1.7e-43	146.1	pfam04362	Iron_traffic	88
2757601930	182	11	161	2	146	5.9e-42	143.4	pfam02600	DsbB	147
2757601931	451	26	274	1	187	2.3e-23	82.9	pfam00696	AA_kinase	241
2757601931	451	301	419	26	117	6.2e-10	39.2	pfam00583	Acetyltransf_1	117
2757601932	147	1	137	4	119	5.7e-07	29.9	pfam01850	PIN	122
2757601933	87	3	41	2	39	2.7e-04	20.6	pfam01402	RHH_1	39
2757601934	952	275	409	11	110	5.5e-11	42.7	pfam00271	Helicase_C	111
2757601934	952	470	590	3	81	6.1e-18	64.9	pfam04408	HA2	102
2757601934	952	512	705	31	113	6.4e-12	45.4	pfam07717	OB_NTP_bind	114
2757601934	952	718	950	1	221	8.7e-88	295.3	pfam11898	DUF3418	583
2757601935	206	1	206	53	250	1.2e-31	109.8	pfam00378	ECH_1	251
2757601936	389	11	120	4	113	3.4e-12	46.9	pfam02771	Acyl-CoA_dh_N	113
2757601936	389	124	217	1	97	1.0e-21	76.8	pfam02770	Acyl-CoA_dh_M	97
2757601936	389	229	385	1	149	7.7e-40	136.4	pfam00441	Acyl-CoA_dh_1	150
2757601937	538	42	441	8	422	4.1e-71	239.6	pfam00501	AMP-binding	423
2757601937	538	449	527	1	74	2.2e-20	73.3	pfam13193	AMP-binding_C	74
2757601939	443	143	320	1	188	1.7e-20	73.5	pfam02321	OEP	188
2757601941	182	23	167	2	145	6.0e-35	120.3	pfam13512	TPR_18	145
2757601942	337	117	273	2	161	6.7e-27	94.4	pfam00849	PseudoU_synth_2	161
2757601943	227	8	167	2	160	3.2e-49	166.5	pfam04079	SMC_ScpB	160
2757601944	346	41	85	3	48	1.5e-06	27.7	pfam01479	S4	48
2757601944	346	102	236	2	161	1.3e-16	61	pfam00849	PseudoU_synth_2	161
2757601945	141	4	138	1	131	9.1e-53	177.8	pfam00334	NDK	135
2757601946	369	105	222	6	93	2.2e-05	24.4	pfam13394	Fer4_14	118
2757601946	369	105	280	2	160	2.8e-14	53.7	pfam04055	Radical_SAM	167
2757601947	417	19	407	9	350	1.1e-108	363.3	pfam04551	GcpE	351
2757601948	431	10	312	1	310	1.8e-50	171.9	pfam13393	tRNA-synt_His	310
2757601948	431	330	423	14	79	5.8e-05	23	pfam03129	HGTP_anticodon	94
2757601949	219	17	212	1	192	1.2e-48	165.3	pfam09976	TPR_21	193
2757601950	379	75	304	3	236	2.2e-41	141.9	pfam13360	PQQ_2	237
2757601951	446	4	120	2	114	1.2e-27	96.1	pfam01926	MMR_HSR1	114
2757601951	446	182	300	2	114	1.3e-22	79.8	pfam01926	MMR_HSR1	114
2757601951	446	356	436	1	80	1.3e-23	82.9	pfam14714	KH_dom-like	80
2757601952	81	8	70	1	63	2.1e-31	107.2	pfam17209	Hfq	64
2757601953	377	13	101	2	89	1.8e-28	98.9	pfam13167	GTP-bdg_N	89
2757601953	377	103	182	1	79	4.0e-28	97.7	pfam16360	GTP-bdg_M	79
2757601953	377	189	312	2	114	2.8e-20	72.4	pfam01926	MMR_HSR1	114
2757601954	468	39	102	1	47	2.0e-07	30.8	pfam12221	HflK_N	47
2757601954	468	144	333	2	176	1.7e-24	86.7	pfam01145	Band_7	178
2757601955	298	23	225	2	174	2.8e-28	99	pfam01145	Band_7	178
2757601956	62	6	62	2	55	4.3e-20	71.4	pfam09838	DUF2065	56
2757601957	384	9	312	1	310	1.4e-105	352.9	pfam13393	tRNA-synt_His	310
2757601958	457	9	449	1	419	0.0e+00	549.6	pfam00709	Adenylsucc_synt	419
2757601959	174	12	162	2	157	1.5e-25	89.5	pfam00156	Pribosyltran	159
2757601960	328	4	316	1	296	3.1e-60	203.6	pfam01053	Cys_Met_Meta_PP	382
2757601962	564	32	515	1	426	0.0e+00	515	pfam00521	DNA_topoisoIV	427
2757601963	277	1	263	46	273	4.2e-84	281.5	pfam00793	DAHP_synth_1	275
2757601964	449	1	91	21	84	4.2e-05	23.7	pfam01225	Mur_ligase	88
2757601964	449	101	287	1	192	3.4e-25	89	pfam08245	Mur_ligase_M	192
2757601964	449	302	377	1	57	7.1e-08	32.5	pfam02875	Mur_ligase_C	91
2757601965	330	246	319	2	63	1.5e-06	28.4	pfam05036	SPOR	76
2757601968	540	131	479	66	367	6.4e-83	278.8	pfam01645	Glu_synthase	368
2757601970	307	5	201	1	45	5.7e-11	42.4	pfam01656	CbiA	128
2757601971	138	7	53	2	48	7.7e-14	51	pfam01479	S4	48
2757601972	856	285	403	2	116	4.9e-09	36.1	pfam02687	FtsX	121
2757601972	856	732	847	3	119	1.6e-11	44.1	pfam02687	FtsX	121
2757601974	1124	1	781	4	768	0.0e+00	752.3	pfam04257	Exonuc_V_gamma	768
2757601975	1204	3	457	12	311	2.7e-55	188	pfam00580	UvrD-helicase	315
2757601975	1204	660	825	248	344	3.2e-14	53	pfam13361	UvrD_C	349
2757601975	1204	946	1200	34	200	1.1e-06	28.7	pfam12705	PDDEXK_1	255
2757601976	580	153	356	5	178	2.0e-35	122.1	pfam13604	AAA_30	192
2757601976	580	510	558	2	50	2.5e-14	52.7	pfam13538	UvrD_C_2	52
2757601978	111	2	111	5	108	3.2e-35	120.4	pfam04273	DUF442	110
2757601979	210	129	210	1	79	2.9e-26	91.5	pfam01713	Smr	79
2757601980	234	113	233	1	120	3.5e-41	139.8	pfam04002	RadC	122
2757601981	149	4	112	5	76	2.3e-05	24.5	pfam00254	FKBP_C	94
2757601982	314	9	286	1	264	4.9e-95	317.6	pfam02401	LYTB	265
2757601983	438	1	110	1	108	7.0e-30	103.3	pfam02403	Seryl_tRNA_N	108
2757601983	438	231	413	8	179	5.6e-37	127.3	pfam00587	tRNA-synt_2b	179
2757601986	92	11	88	1	76	8.5e-23	80	pfam08681	DUF1778	80
2757601987	170	9	146	34	109	4.6e-05	23.5	pfam00583	Acetyltransf_1	117
2757601990	33	2	33	1	31	5.4e-08	32.4	pfam01370	Epimerase	241
2757601991	336	70	310	46	232	1.4e-15	57.2	pfam01075	Glyco_transf_9	249
2757601992	478	16	313	20	297	1.6e-40	139.2	pfam00294	PfkB	302
2757601992	478	348	453	2	96	3.2e-14	53.2	pfam01467	CTP_transf_like	143
2757601993	193	8	144	8	138	1.4e-28	99.5	pfam13580	SIS_2	138
2757601994	334	150	328	152	301	6.8e-12	44.9	pfam05686	Glyco_transf_90	396
2757601995	301	9	143	3	135	5.0e-07	29.8	pfam00892	EamA	137
2757601995	301	162	297	3	135	7.1e-12	45.5	pfam00892	EamA	137
2757601996	271	3	191	1	133	3.2e-17	62.7	pfam00535	Glycos_transf_2	170
2757601997	419	181	345	2	155	2.3e-19	69.4	pfam04932	Wzy_C	155
2757602000	282	16	264	1	217	6.3e-30	104.3	pfam00215	OMPdecase	225
2757602001	302	123	284	6	154	2.7e-36	124.7	pfam03167	UDG	155
2757602002	167	49	140	59	117	1.6e-13	50.8	pfam00583	Acetyltransf_1	117
2757602003	234	28	224	28	148	5.6e-24	85.1	pfam00814	Peptidase_M22	271
2757602004	328	15	163	2	135	4.6e-12	46.1	pfam00892	EamA	137
2757602004	328	176	316	2	134	7.4e-10	39	pfam00892	EamA	137
2757602005	472	30	469	3	443	1.1e-74	251.6	pfam02113	Peptidase_S13	444
2757602007	330	19	197	2	179	1.3e-48	164.7	pfam01300	Sua5_yciO_yrdC	179
2757602007	330	199	330	3	92	1.7e-20	73.2	pfam03481	SUA5	92
2757602008	398	115	296	4	171	1.1e-37	129.1	pfam02222	ATP-grasp	171
2757602009	164	5	154	2	146	4.4e-62	207.9	pfam00731	AIRC	148
2757602010	318	1	105	4	104	6.0e-26	90.3	pfam00085	Thioredoxin	104
2757602010	318	124	189	1	63	1.9e-09	37.8	pfam14559	TPR_19	68
2757602010	318	200	277	6	73	2.8e-13	49.9	pfam14561	TPR_20	90
2757602011	128	11	125	1	112	5.7e-29	100.4	pfam00072	Response_reg	112
2757602012	299	15	275	2	242	5.3e-102	340.6	pfam01259	SAICAR_synt	251
2757602013	354	4	328	1	280	2.6e-94	315.7	pfam01116	F_bP_aldolase	280
2757602014	477	3	346	3	341	1.3e-115	385.8	pfam00224	PK	348
2757602014	477	361	474	2	116	2.0e-29	102.1	pfam02887	PK_C	117
2757602015	235	42	131	2	86	2.0e-15	56.5	pfam00027	cNMP_binding	88
2757602015	235	186	215	1	26	2.5e-10	39.7	pfam00325	Crp	32
2757602016	362	57	325	2	245	4.6e-28	98.6	pfam00487	FA_desaturase	254
2757602017	169	29	167	3	139	2.4e-39	134.6	pfam00080	Sod_Cu	139
2757602018	397	11	383	7	379	0.0e+00	448.6	pfam00162	PGK	379
2757602019	75	1	69	12	78	3.7e-07	30.5	pfam12441	CopG_antitoxin	79
2757602020	112	6	107	3	99	6.6e-24	83.8	pfam05437	AzlD	99
2757602021	244	23	168	3	135	1.0e-29	103.6	pfam03591	AzlC	136
2757602022	319	1	188	2	180	2.6e-40	137.9	pfam00551	Formyl_trans_N	181
2757602022	319	209	307	1	99	3.8e-24	84.7	pfam02911	Formyl_trans_C	100
2757602023	169	3	154	3	157	2.0e-52	176.9	pfam01327	Pep_deformylase	159
2757602024	387	91	302	8	209	1.0e-74	250.2	pfam02481	DNA_processg_A	210
2757602025	162	1	162	1	153	1.3e-54	184	pfam04361	DUF494	153
2757602026	319	32	59	1	28	6.7e-09	34.8	pfam07549	Sec_GG	28
2757602026	319	105	293	4	187	1.5e-62	210.2	pfam02355	SecD_SecF	189
2757602027	631	1	108	1	103	7.3e-36	122.6	pfam13721	SecD-TM1	103
2757602027	631	119	146	5	28	1.2e-05	24.5	pfam07549	Sec_GG	28
2757602027	631	421	602	12	186	2.9e-19	69.1	pfam02355	SecD_SecF	189
2757602028	110	25	102	1	79	4.2e-29	100.1	pfam02699	YajC	80
2757602029	65	1	47	1	43	2.9e-13	49.3	pfam09957	VapB_antitoxin	47
2757602030	123	2	113	1	121	6.1e-08	33.1	pfam01850	PIN	122
2757602032	221	78	111	3	38	6.0e-07	29.8	pfam08238	Sel1	38
2757602032	221	112	147	1	38	7.9e-10	39	pfam08238	Sel1	38
2757602032	221	148	183	2	37	2.7e-09	37.3	pfam08238	Sel1	38
2757602033	983	4	143	1	100	2.2e-11	43.8	pfam01751	Toprim	103
2757602033	983	159	614	3	412	2.2e-111	372.7	pfam01131	Topoisom_bac	412
2757602033	983	682	746	1	60	1.0e-18	66.9	pfam13342	Toprim_Crpt	60
2757602033	983	797	858	1	60	3.4e-15	55.6	pfam13342	Toprim_Crpt	60
2757602033	983	912	982	5	74	4.4e-26	90.4	pfam02201	SWIB	74
2757602034	157	23	124	1	169	1.8e-17	64.1	pfam00856	SET	169
2757602035	270	29	160	23	119	1.2e-06	28.4	pfam03099	BPL_LplA_LipB	131
2757602036	427	46	217	2	149	1.2e-36	126.5	pfam03150	CCP_MauG	150
2757602036	427	222	390	2	91	4.0e-05	24.5	pfam00034	Cytochrom_C	92
2757602037	357	50	327	2	269	1.5e-20	74	pfam13416	SBP_bac_8	282
2757602038	537	63	262	10	183	5.5e-16	58.7	pfam00528	BPD_transp_1	185
2757602038	537	342	536	2	179	3.9e-10	39.6	pfam00528	BPD_transp_1	185
2757602039	365	20	165	2	136	2.2e-32	112.3	pfam00005	ABC_tran	137
2757602039	365	283	352	1	76	5.6e-08	32.7	pfam08402	TOBE_2	76
2757602040	477	24	168	2	141	7.9e-38	129.6	pfam08521	2CSK_N	141
2757602040	477	245	311	2	63	2.7e-14	52.8	pfam00512	HisKA	64
2757602040	477	358	476	2	107	2.3e-18	66.7	pfam02518	HATPase_c	111
2757602041	227	3	114	1	111	3.0e-26	91.7	pfam00072	Response_reg	112
2757602041	227	146	219	2	77	1.1e-21	76.5	pfam00486	Trans_reg_C	77
2757602042	162	55	120	8	68	1.2e-05	25.6	pfam13463	HTH_27	68
2757602043	353	15	277	1	263	0.0e+00	477.2	pfam00154	RecA	263
2757602044	169	48	168	1	118	6.8e-26	91	pfam02631	RecX	122
2757602045	308	5	107	60	114	1.1e-05	25.7	pfam01118	Semialdhyde_dh	121
2757602046	386	2	203	1	200	5.8e-78	260.9	pfam08442	ATP-grasp_2	202
2757602046	386	262	382	1	153	1.8e-27	95.9	pfam00549	Ligase_CoA	153
2757602047	297	6	102	1	96	1.0e-21	77.3	pfam02629	CoA_binding	96
2757602047	297	160	278	1	143	7.1e-15	55	pfam00549	Ligase_CoA	153
2757602048	170	3	29	1	26	1.1e-10	40.5	pfam07963	N_methyl	27
2757602048	170	37	170	1	109	7.8e-14	52.4	pfam00114	Pilin	109
2757602049	144	1	136	1	129	3.4e-55	185.5	pfam01967	MoaC	129
2757602050	473	34	227	22	194	1.8e-29	102.8	pfam01435	Peptidase_M48	196
2757602051	141	4	70	2	68	5.5e-29	99.8	pfam12512	DUF3717	68
2757602051	141	75	122	1	45	3.2e-16	58.7	pfam06945	DUF1289	48
2757602052	473	14	337	11	305	3.7e-50	171	pfam00206	Lyase_1	312
2757602052	473	349	463	1	115	1.5e-48	163.5	pfam08328	ASL_C	115
2757602053	204	3	85	1	72	3.5e-17	62.4	pfam13417	GST_N_3	75
2757602053	204	123	189	1	66	3.1e-10	39.7	pfam13410	GST_C_2	70
2757602054	153	15	132	5	76	4.0e-09	36.9	pfam12680	SnoaL_2	102
2757602055	260	17	205	3	190	1.1e-36	126	pfam00106	adh_short	195
2757602056	178	14	176	4	163	1.7e-70	235.7	pfam12915	DUF3833	163
2757602057	425	11	417	3	421	1.7e-40	138.8	pfam13347	MFS_2	427
2757602058	409	129	403	3	273	3.2e-75	252.8	pfam02353	CMAS	273
2757602059	263	11	253	3	236	5.5e-68	229.1	pfam07103	DUF1365	237
2757602062	341	114	212	89	158	9.4e-07	28.3	pfam01078	Mg_chelatase	207
2757602063	1287	35	197	1	161	3.3e-47	160.5	pfam11965	DUF3479	161
2757602063	1287	200	1264	2	1072	0.0e+00	1050.8	pfam02514	CobN-Mg_chel	1073
2757602064	188	37	181	3	133	2.0e-29	102.2	pfam03073	TspO_MBR	135
2757602065	101	33	98	1	66	3.2e-22	78.5	pfam01355	HIPIP	66
2757602066	632	5	276	1	273	3.2e-122	406.9	pfam13292	DXP_synthase_N	273
2757602066	632	311	475	4	173	9.8e-40	136	pfam02779	Transket_pyr	178
2757602066	632	489	605	1	123	1.9e-28	98.7	pfam02780	Transketolase_C	124
2757602067	359	35	322	3	284	8.9e-56	189.2	pfam03480	DctP	286
2757602068	347	12	282	204	415	5.6e-60	203.2	pfam06808	DctM	416
2757602070	422	2	234	2	240	3.1e-50	170.9	pfam00696	AA_kinase	241
2757602070	422	278	338	5	60	3.3e-10	39.4	pfam01842	ACT	67
2757602070	422	350	413	6	65	5.7e-15	54.7	pfam13840	ACT_7	65
2757602071	340	41	222	2	181	1.6e-47	161.5	pfam01171	ATP_bind_3	182
2757602071	340	269	334	3	66	1.0e-09	38.6	pfam09179	TilS	67
2757602072	325	6	149	1	144	4.4e-66	221	pfam03255	ACCA	144
2757602073	215	53	195	2	102	3.1e-10	40.4	pfam00730	HhH-GPD	108
2757602074	461	15	318	2	299	6.9e-126	419.5	pfam01406	tRNA-synt_1e	301
2757602074	461	346	401	1	63	2.1e-16	60	pfam09190	DALR_2	63
2757602075	172	56	87	4	32	1.8e-03	18.7	pfam13174	TPR_6	33
2757602075	172	89	122	1	33	4.8e-06	26.1	pfam07719	TPR_2	34
2757602076	198	29	196	2	157	5.3e-45	153.4	pfam00160	Pro_isomerase	159
2757602077	168	5	167	2	157	8.9e-46	155.9	pfam00160	Pro_isomerase	159
2757602078	265	22	234	2	137	6.1e-09	36.2	pfam12850	Metallophos_2	165
2757602080	292	7	244	1	245	9.5e-69	231.6	pfam00483	NTP_transferase	248
2757602081	182	7	181	1	167	1.9e-65	219.5	pfam00908	dTDP_sugar_isom	169
2757602082	126	10	118	5	91	2.7e-20	72.9	pfam00816	Histone_HNS	92
2757602083	298	31	274	1	241	1.0e-43	149.5	pfam00696	AA_kinase	241
2757602084	205	28	74	1	45	2.7e-12	46.1	pfam00440	TetR_N	47
2757602085	252	15	250	1	232	7.7e-57	192.4	pfam13561	adh_short_C2	234
2757602086	288	72	283	2	217	4.8e-69	232.2	pfam01557	FAA_hydrolase	218
2757602087	292	36	203	1	157	5.0e-13	49.1	pfam01171	ATP_bind_3	182
2757602088	124	11	119	2	108	2.5e-18	66.5	pfam02152	FolB	111
2757602089	258	17	247	1	234	9.4e-35	120.1	pfam13561	adh_short_C2	234
2757602090	366	75	302	2	262	2.8e-43	148.3	pfam02636	Methyltransf_28	263
2757602091	64	2	64	2	63	9.1e-18	64.1	pfam11146	DUF2905	63
2757602092	419	91	331	14	214	4.6e-16	58.6	pfam16576	HlyD_D23	214
2757602093	1031	3	1019	2	1020	0.0e+00	1047.7	pfam00873	ACR_tran	1021
2757602094	127	3	127	2	121	4.5e-40	137.1	pfam00873	ACR_tran	1021
2757602097	351	139	237	245	317	8.3e-05	21.9	pfam10282	Lactonase	344
2757602098	545	22	449	10	422	1.8e-85	287	pfam00501	AMP-binding	423
2757602098	545	457	533	2	74	8.0e-13	49.1	pfam13193	AMP-binding_C	74
2757602099	335	84	301	6	225	1.9e-09	37	pfam12146	Hydrolase_4	239
2757602100	259	10	258	4	249	2.6e-81	272.5	pfam00378	ECH_1	251
2757602101	264	9	264	2	251	2.1e-58	197.4	pfam00378	ECH_1	251
2757602102	146	55	130	1	78	1.9e-11	44	pfam03061	4HBT	79
2757602103	432	41	334	156	371	8.6e-16	57.4	pfam00501	AMP-binding	423
2757602103	432	335	430	1	96	5.4e-24	84.2	pfam14535	AMP-binding_C_2	96
2757602104	591	277	394	2	118	2.4e-45	153.6	pfam05299	Peptidase_M61	118
2757602105	244	35	90	1	53	5.9e-17	60.7	pfam10411	DsbC_N	54
2757602105	244	118	240	2	109	9.7e-30	103.1	pfam13098	Thioredoxin_2	109
2757602106	372	116	328	160	347	2.4e-15	56.6	pfam01494	FAD_binding_3	356
