,Position,value
contig_19336_2,0,-1.40516821503
contig_19336_2,1,23.5284125956
contig_19336_2,2,-1.58834149249
contig_19336_2,3,-1.56575886817
contig_19336_2,4,-1.60756690481
contig_19336_2,5,-1.58834149249
contig_19336_2,6,-1.54813031547
contig_19336_2,7,-1.52561120489
contig_19336_2,8,-1.80823504205
contig_19336_2,9,-1.80823504205
contig_19336_2,10,-1.82832654252
contig_19336_2,11,-1.78841818161
contig_19336_2,12,-1.86879652685
contig_19336_2,13,-1.9100309087
contig_19336_2,14,-1.90869254439
contig_19336_2,15,-1.90869254439
contig_19336_2,16,-1.86879652685
contig_19336_2,17,-1.84971414316
contig_19336_2,18,-1.84841804299
contig_19336_2,19,-1.9692694584
contig_19336_2,20,-2.10993156257
contig_19336_2,21,-2.08983697626
contig_19336_2,22,-2.0876784909
contig_19336_2,23,-2.06942454813
contig_19336_2,24,-2.04933304766
contig_19336_2,25,-2.06760465925
contig_19336_2,26,-2.04964780364
contig_19336_2,27,-1.7683235953
contig_19336_2,28,-1.7664971846
contig_19336_2,29,-1.78939737762
contig_19336_2,30,-1.72786904018
contig_19336_2,31,-1.72634952132
contig_19336_2,32,-1.70897502357
contig_19336_2,33,-1.72908061208
contig_19336_2,34,-1.70627568967
contig_19336_2,35,-1.68768603925
contig_19336_2,36,-1.64750303832
contig_19336_2,37,-1.64605419474
contig_19336_2,38,-1.60732003738
contig_19336_2,39,-1.64750303832
contig_19336_2,40,3.4203675965
contig_19336_2,41,-1.3865264554
contig_19336_2,42,-1.30686325332
contig_19336_2,43,-1.30479905681
contig_19336_2,44,-1.32603903084
contig_19336_2,45,-1.32487288845
contig_19336_2,46,-1.32603903084
contig_19336_2,47,-1.3449467201
contig_19336_2,48,-1.34707443034
contig_19336_2,49,-1.36502055174
contig_19336_2,50,2.9397733262
contig_19336_2,51,-1.36643186909
contig_19336_2,52,-1.38631353224
contig_19336_2,53,-1.40640503271
contig_19336_2,54,3.68903091999
contig_19336_2,55,-1.34633728278
contig_19336_2,56,-1.34633728278
contig_19336_2,57,-1.34633728278
contig_19336_2,58,-1.30479905681
contig_19336_2,59,-1.30614811016
contig_19336_2,60,-1.32603903084
contig_19336_2,61,-1.32624269647
contig_19336_2,62,-1.36622203177
contig_19336_2,63,3.74386907586
contig_19336_2,64,-1.36502055174
contig_19336_2,65,-1.36502055174
contig_19336_2,66,1.6390716895
contig_19336_2,67,-1.40662104171
contig_19336_2,68,-1.40516821503
contig_19336_2,69,-1.46667953411
contig_19336_2,70,-1.48677103458
contig_19336_2,71,-1.48677103458
contig_19336_2,72,197.482848514
contig_19336_2,73,-1.46538970996
contig_19336_2,74,-1.46690480064
contig_19336_2,75,-1.54728314588
contig_19336_2,76,-1.52561120489
contig_19336_2,77,-1.50791913844
contig_19336_2,78,-1.52695403551
contig_19336_2,79,-1.48677103458
contig_19336_2,80,-1.46690480064
contig_19336_2,81,2.22588637152
contig_19336_2,82,-1.42524204667
contig_19336_2,83,-1.42749678439
contig_19336_2,84,1.27312786843
contig_19336_2,85,2.36689107141
contig_19336_2,86,-1.30594753037
contig_19336_2,87,3.64187712525
contig_19336_2,88,-1.18622972224
contig_19336_2,89,-1.16612413373
contig_19336_2,90,-1.20442989859
contig_19336_2,91,-1.18622972224
contig_19336_2,92,-1.18622972224
contig_19336_2,93,-1.16428223531
contig_19336_2,94,-1.08510766075
contig_19336_2,95,-1.08494102523
contig_19336_2,96,5.83643576189
contig_19336_2,97,-1.10406074038
contig_19336_2,98,-1.12512402617
contig_19336_2,99,-1.14521552663
contig_19336_2,100,-1.12512402617
contig_19336_2,101,-1.14420840366
contig_19336_2,102,-1.24654648778
contig_19336_2,103,-1.24586435123
contig_19336_2,104,-1.26665207629
contig_19336_2,105,-1.26576452944
contig_19336_2,106,-1.24586435123
contig_19336_2,107,-1.22576976492
contig_19336_2,108,36.4077269609
contig_19336_2,109,11.5344505461
contig_19336_2,110,-1.14539141968
contig_19336_2,111,37.158626479
contig_19336_2,112,55.9407173257
contig_19336_2,113,-1.18622972224
contig_19336_2,114,-1.18435606695
contig_19336_2,115,10.1142393966
contig_19336_2,116,-1.18539852757
contig_19336_2,117,-1.18539852757
contig_19336_2,118,-1.20549002804
contig_19336_2,119,-1.20549002804
contig_19336_2,120,1.50817533018
contig_19336_2,121,-1.36622203177
contig_19336_2,122,-1.30614811016
contig_19336_2,123,-1.48677103458
contig_19336_2,124,-1.46770796142
contig_19336_2,125,-1.46770796142
contig_19336_2,126,33.3544022889
contig_19336_2,127,-1.48699938695
contig_19336_2,128,-1.48699938695
contig_19336_2,129,112.927088514
contig_19336_2,130,3.2403700634
contig_19336_2,131,-1.50686253504
contig_19336_2,132,-1.44658803364
contig_19336_2,133,125.424291223
contig_19336_2,134,-1.42671562802
contig_19336_2,135,-1.46667953411
contig_19336_2,136,115.929643102
contig_19336_2,137,-1.58722853691
contig_19336_2,138,7.97280858323
contig_19336_2,139,-1.60756690481
contig_19336_2,140,-1.68794525006
contig_19336_2,141,109.192917647
contig_19336_2,142,-2.32856447061
