,Position,0,1,2,3,4,5,6,7
contig_20045_1,7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,13,0.024,0.0,0.976,0.0,1.0,0.0,0.0,0.0
contig_20045_1,16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,18,0.032,0.0,0.968,0.0,0.0,0.0,1.0,0.0
contig_20045_1,25,0.984,0.0,0.016,0.0,1.0,0.0,0.0,0.0
contig_20045_1,37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,40,0.0,0.04,0.96,0.0,0.0,0.0,1.0,0.0
contig_20045_1,43,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
contig_20045_1,46,0.0,0.768,0.232,0.0,0.0,0.0,1.0,0.0
contig_20045_1,48,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,49,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,52,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,55,0.996,0.004,0.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,58,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,64,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
contig_20045_1,67,0.0,0.012,0.988,0.0,0.0,0.0,1.0,0.0
contig_20045_1,79,0.98,0.0,0.02,0.0,0.0,0.0,1.0,0.0
contig_20045_1,91,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,92,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,103,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,106,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,109,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,115,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_20045_1,145,0.468,0.0,0.532,0.0,0.0,0.0,1.0,0.0
contig_20045_1,148,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_20045_1,151,0.0,0.0,0.212,0.788,1.0,0.0,0.0,0.0
contig_20045_1,154,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,157,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,160,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,162,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,166,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,169,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,171,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,172,0.0,0.976,0.0,0.024,0.0,1.0,0.0,0.0
contig_20045_1,175,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,178,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,183,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,184,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,185,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_20045_1,187,0.0,0.012,0.988,0.0,0.0,1.0,0.0,0.0
contig_20045_1,190,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,192,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,193,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_20045_1,196,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,199,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,205,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,208,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_20045_1,214,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,217,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,220,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_20045_1,223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_20045_1,226,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,229,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
contig_20045_1,232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,235,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,238,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,241,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,244,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,247,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
contig_20045_1,250,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,253,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
contig_20045_1,256,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,259,0.104,0.0,0.896,0.0,0.0,0.0,1.0,0.0
contig_20045_1,262,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,265,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,268,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,271,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,274,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,277,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,280,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,283,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,292,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_20045_1,295,0.0,0.208,0.792,0.0,0.0,0.0,1.0,0.0
contig_20045_1,298,0.896,0.104,0.0,0.0,0.0,1.0,0.0,0.0
contig_20045_1,301,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,303,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
contig_20045_1,304,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,310,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_20045_1,312,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_20045_1,313,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
